Date,RUPA
2013-01-01,144.85
2013-01-02,140.1
2013-01-03,140.15
2013-01-04,143.05
2013-01-07,147.0
2013-01-08,141.55
2013-01-09,147.3
2013-01-10,146.5
2013-01-11,141.0
2013-01-14,140.05
2013-01-15,141.25
2013-01-16,140.5
2013-01-18,140.25
2013-01-21,143.75
2013-01-22,140.05
2013-01-23,140.05
2013-01-24,140.0
2013-01-25,140.0
2013-01-28,140.0
2013-01-29,143.65
2013-01-30,140.0
2013-01-31,140.0
2013-02-01,143.65
2013-02-04,140.0
2013-02-05,141.0
2013-02-06,144.0
2013-02-07,140.0
2013-02-08,140.3
2013-02-11,140.2
2013-02-12,140.2
2013-02-13,144.0
2013-02-14,140.0
2013-02-15,140.0
2013-02-18,144.9
2013-02-19,140.15
2013-02-20,140.0
2013-02-21,144.05
2013-02-22,172.85
2013-02-25,153.55
2013-02-26,168.85
2013-02-27,169.4
2013-02-28,166.3
2013-03-01,170.95
2013-03-04,165.05
2013-03-05,165.0
2013-03-06,165.45
2013-03-07,164.35
2013-03-08,166.0
2013-03-11,167.0
2013-03-12,168.3
2013-03-13,169.0
2013-03-14,169.5
2013-03-15,169.45
2013-03-18,169.0
2013-03-19,167.0
2013-03-20,170.0
2013-03-25,162.15
2013-03-26,163.85
2013-03-28,165.0
2013-04-01,164.5
2013-04-02,169.0
2013-04-03,165.0
2013-04-04,169.6
2013-04-12,162.0
2013-04-15,165.0
2013-04-16,165.0
2013-04-17,169.9
2013-04-22,165.0
2013-04-23,165.0
2013-04-30,165.0
2013-05-08,165.0
2013-05-16,170.0
2013-05-17,170.0
2013-05-20,179.95
2013-05-27,165.2
2013-05-28,170.2
2013-05-29,170.05
2013-05-31,173.2
2013-06-03,184.0
2013-06-04,189.8
2013-06-11,180.0
2013-06-18,167.2
2013-06-21,165.0
2013-06-25,165.0
2013-06-26,165.0
2013-06-27,165.0
2013-07-02,165.0
2013-07-04,165.0
2013-07-05,165.0
2013-07-09,165.0
2013-07-10,165.0
2013-07-11,166.0
2013-07-17,165.0
2013-07-18,165.0
2013-07-22,165.0
2013-07-23,165.0
2013-07-24,165.0
2013-07-26,165.0
2013-08-02,165.0
2013-08-05,168.85
2013-08-06,165.0
2013-08-08,169.0
2013-08-13,168.95
2013-08-16,165.0
2013-08-29,165.0
2013-08-30,165.0
2013-09-04,165.0
2013-09-12,165.0
2013-09-16,165.0
2013-09-17,170.0
2013-09-19,165.0
2013-09-20,165.0
2013-10-04,165.0
