Date,TARMAT
2013-01-01,17.8
2013-01-02,18.65
2013-01-03,18.0
2013-01-07,17.65
2013-01-08,17.75
2013-01-10,18.0
2013-01-11,17.55
2013-01-14,17.6
2013-01-15,17.55
2013-01-16,18.05
2013-01-17,17.55
2013-01-18,17.85
2013-01-21,18.05
2013-01-22,17.45
2013-01-23,17.9
2013-01-24,18.55
2013-01-25,17.05
2013-01-28,16.6
2013-01-29,16.75
2013-01-30,16.2
2013-01-31,16.15
2013-02-01,17.4
2013-02-04,17.5
2013-02-06,17.0
2013-02-07,16.55
2013-02-08,15.6
2013-02-12,16.0
2013-02-13,16.4
2013-02-14,15.6
2013-02-15,16.1
2013-02-18,14.6
2013-02-19,15.0
2013-02-20,15.0
2013-02-21,16.0
2013-02-22,15.05
2013-02-25,15.35
2013-02-26,13.85
2013-02-27,14.0
2013-02-28,13.35
2013-03-01,14.15
2013-03-04,13.65
2013-03-05,13.0
2013-03-06,13.15
2013-03-07,13.0
2013-03-08,13.3
2013-03-11,13.3
2013-03-12,12.8
2013-03-13,12.5
2013-03-14,13.1
2013-03-15,14.0
2013-03-18,12.45
2013-03-19,12.45
2013-03-20,12.4
2013-03-21,14.45
2013-03-22,13.45
2013-03-25,12.85
2013-03-26,12.0
2013-03-28,11.55
2013-04-02,11.15
2013-04-03,13.25
2013-04-04,12.35
2013-04-05,12.5
2013-04-08,13.0
2013-04-09,13.15
2013-04-10,12.5
2013-04-16,12.75
2013-04-17,13.55
2013-04-18,13.75
2013-04-22,12.1
2013-04-23,12.15
2013-04-25,13.1
2013-04-26,12.2
2013-04-29,12.4
2013-04-30,11.4
2013-05-02,11.85
2013-05-03,11.75
2013-05-06,12.5
2013-05-07,13.95
2013-05-08,12.2
2013-05-09,12.05
2013-05-10,12.35
2013-05-13,13.6
2013-05-15,13.5
2013-05-17,12.1
2013-05-20,12.15
2013-05-21,11.6
2013-05-22,12.45
2013-05-23,12.1
2013-05-24,12.3
2013-05-27,12.05
2013-05-28,12.0
2013-05-29,11.75
2013-05-30,11.6
2013-05-31,11.9
2013-06-03,11.5
2013-06-04,11.3
2013-06-05,10.75
2013-06-06,11.6
2013-06-10,10.8
2013-06-11,10.3
2013-06-12,10.0
2013-06-13,9.45
2013-06-14,10.45
2013-06-17,10.05
2013-06-18,10.1
2013-06-19,11.35
2013-06-20,10.6
2013-06-21,10.65
2013-06-24,10.05
2013-06-25,10.55
2013-06-26,9.3
2013-06-27,9.05
2013-06-28,9.8
2013-07-01,9.3
2013-07-02,9.35
2013-07-05,9.3
2013-07-08,9.75
2013-07-09,9.3
2013-07-10,9.1
2013-07-11,8.8
2013-07-12,9.45
2013-07-15,9.4
2013-07-16,9.85
2013-07-17,9.0
2013-07-18,9.05
2013-07-19,8.85
2013-07-22,9.45
2013-07-23,8.9
2013-07-24,8.5
2013-07-25,8.9
2013-07-26,8.8
2013-07-29,8.3
2013-07-30,8.05
2013-07-31,7.8
2013-08-01,7.05
2013-08-02,7.05
2013-08-05,7.25
2013-08-06,7.0
2013-08-08,7.0
2013-08-12,7.25
2013-08-14,7.9
2013-08-16,8.65
2013-08-19,8.95
2013-08-20,9.35
2013-08-21,9.3
2013-08-22,8.85
2013-08-23,8.6
2013-08-26,8.35
2013-08-27,8.25
2013-08-28,8.65
2013-12-02,6.2
2013-12-03,6.5
2013-12-04,6.8
2013-12-06,7.1
2013-12-09,6.8
2013-12-10,6.8
2013-12-13,6.55
2013-12-16,6.85
2013-12-17,7.15
2013-12-23,6.9
2013-12-24,6.85
2013-12-27,7.15
2013-12-30,7.15
2014-01-01,6.85
2014-01-02,7.15
2014-01-06,7.5
2014-01-07,7.85
2014-01-09,7.55
2014-01-14,7.9
2014-01-15,8.0
2014-01-21,8.0
2014-01-23,7.8
2014-01-24,7.85
2014-02-03,8.2
2014-02-05,8.0
2014-02-07,7.75
2014-02-10,7.8
2014-02-13,8.15
2014-02-17,7.8
2014-02-18,7.65
2014-02-19,7.4
2014-02-24,7.4
2014-02-25,7.75
2014-02-26,7.85
2014-09-09,22.1
2014-09-10,23.1
2014-09-11,23.35
2014-09-12,24.5
2014-09-15,25.7
2014-09-16,26.95
2014-09-17,28.25
2014-09-18,27.25
2014-09-19,26.0
2014-09-22,25.35
2014-09-23,24.5
2014-09-24,24.8
2014-09-25,23.6
2014-09-26,22.6
2014-09-29,23.7
2014-09-30,24.75
2014-10-01,25.95
2014-10-07,27.2
2014-10-08,29.9
2014-10-09,27.2
2014-10-10,25.5
2014-10-13,25.05
2014-10-14,26.95
2014-10-16,24.75
2014-10-17,24.75
2014-10-20,25.0
2014-10-21,24.5
2014-10-22,23.75
2014-10-23,26.1
2014-10-27,26.1
2014-10-28,24.1
2014-10-29,22.8
2014-10-30,22.5
2014-10-31,24.3
2014-11-03,24.5
2014-11-05,24.5
2014-11-10,23.85
2014-11-11,28.5
2014-11-12,30.0
2014-11-13,27.25
2014-11-14,29.0
2014-11-17,29.0
2014-11-18,29.2
2014-11-19,29.75
2014-11-20,30.9
2014-11-21,29.6
2014-11-24,27.1
2014-11-25,26.05
2014-11-26,26.5
2014-11-27,26.25
2014-11-28,25.1
2014-12-01,23.55
2014-12-02,26.7
2014-12-03,25.1
2014-12-04,25.0
2014-12-05,26.0
2014-12-08,24.5
2014-12-09,24.55
2014-12-10,24.55
2014-12-11,25.2
2014-12-12,23.55
2014-12-15,24.5
2014-12-17,21.35
2014-12-18,21.4
2014-12-19,22.95
2014-12-22,22.45
2014-12-24,22.45
2014-12-26,23.0
2014-12-29,22.6
2014-12-30,24.0
2014-12-31,23.0
2015-01-01,24.0
2015-01-02,25.45
2015-01-05,24.0
2015-01-06,26.6
2015-01-07,24.0
2015-01-08,25.0
2015-01-09,25.9
2015-01-12,25.0
2015-01-13,24.5
2015-01-14,23.3
2015-01-15,23.5
2015-01-16,23.55
2015-01-19,22.6
2015-01-20,22.5
2015-01-21,22.5
2015-01-22,22.5
2015-01-27,22.05
2015-01-28,25.65
2015-01-29,23.25
2015-01-30,24.1
2015-02-02,24.4
2015-02-03,24.35
2015-02-04,23.75
2015-02-05,22.6
2015-02-06,24.1
2015-02-09,25.4
2015-02-11,23.05
2015-02-13,26.85
2015-02-16,27.35
2015-02-18,32.8
2015-02-19,31.0
2015-02-20,30.1
2015-02-23,31.0
2015-02-24,30.95
2015-02-25,32.4
2015-02-26,30.1
2015-02-27,32.5
2015-02-28,31.15
2015-03-02,34.25
2015-03-03,33.45
2015-03-04,34.6
2015-03-05,32.2
2015-03-09,32.9
2015-03-10,32.85
2015-03-11,31.25
2015-03-12,32.95
2015-03-13,30.15
2015-03-16,29.3
2015-03-17,29.3
2015-03-18,27.4
2015-03-19,26.55
2015-03-20,27.1
2015-03-23,28.9
2015-03-24,28.5
2015-03-25,29.6
2015-03-26,29.15
2015-03-27,26.7
2015-03-30,26.75
2015-03-31,27.15
2015-04-01,30.75
2015-04-06,28.1
2015-04-07,29.6
2015-04-08,30.0
2015-04-09,29.25
2015-04-10,30.0
2015-04-13,29.0
2015-04-15,28.8
2015-04-16,29.65
2015-04-17,28.2
2015-04-20,28.25
2015-04-21,29.0
2015-04-22,27.0
2015-04-23,28.4
2015-04-24,29.65
2015-04-27,27.5
2015-04-28,26.5
2015-04-30,27.05
2015-05-04,29.6
2015-05-05,26.4
2015-05-06,25.45
2015-05-11,26.0
2015-05-13,27.7
2015-05-15,25.0
2015-05-18,25.2
2015-05-19,25.65
2015-05-20,24.45
2015-05-21,25.2
2015-05-25,24.3
2015-05-26,23.25
2015-05-27,25.2
2015-05-28,25.0
2015-05-29,24.5
2015-06-01,25.0
2015-06-02,25.95
2015-06-03,25.0
2015-06-04,23.4
2015-06-05,25.0
2015-06-08,24.95
2015-06-10,22.8
2015-06-12,24.0
2015-06-15,25.0
2015-06-16,26.0
2015-06-17,27.2
2015-06-18,27.65
2015-06-19,28.55
2015-06-23,28.0
2015-06-24,26.7
2015-06-25,26.8
2015-06-30,27.05
2015-07-01,27.1
2015-07-02,26.9
2015-07-03,28.35
2015-07-06,29.0
2015-07-07,28.55
2015-07-08,31.1
2015-07-09,28.6
2015-07-10,34.3
2015-07-13,31.7
2015-07-14,31.05
2015-07-15,30.8
2015-07-16,30.8
2015-07-17,29.6
2015-07-20,28.15
2015-07-21,29.0
2015-07-22,29.0
2015-07-23,29.05
2015-07-24,29.45
2015-07-27,29.6
2015-07-28,31.75
2015-07-29,32.0
2015-07-30,31.9
2015-07-31,31.25
2015-08-03,33.4
2015-08-04,31.0
2015-08-05,32.75
2015-08-06,31.0
2015-08-07,30.45
2015-08-10,29.75
2015-08-11,30.1
2015-08-12,31.65
2015-08-13,30.0
2015-08-14,30.0
2015-08-17,28.95
2015-08-18,28.75
2015-08-19,27.9
2015-08-20,28.0
2015-08-21,28.35
2015-08-24,24.8
2015-08-25,23.1
2015-08-26,25.6
2015-08-27,24.8
2015-08-28,24.5
2015-09-01,23.15
2015-09-02,23.35
2015-09-03,23.1
2015-09-04,24.4
2015-09-07,23.4
2015-09-08,24.8
2015-09-09,23.55
2015-09-10,24.55
2015-09-15,23.25
2015-09-18,23.55
2015-09-22,23.65
2015-09-23,23.0
2015-09-30,22.65
2015-10-01,25.35
2015-10-05,24.15
2015-10-07,26.6
2015-10-08,25.0
2015-10-12,24.0
2015-10-13,23.8
2015-10-14,23.25
2015-10-15,24.5
2015-10-16,25.0
2015-10-19,23.7
2015-10-20,24.0
2015-10-21,23.65
2015-10-23,24.2
2015-10-28,26.9
2015-10-29,25.15
2015-10-30,24.0
2015-11-02,24.95
2015-11-03,25.0
2015-11-04,25.4
2015-11-05,25.15
2015-11-06,24.0
2015-11-09,25.2
2015-11-11,26.45
2015-11-13,27.75
2015-11-16,27.0
2015-11-17,28.0
2015-11-19,26.6
2015-11-20,26.0
2015-11-23,26.05
2015-11-24,27.35
2015-11-26,27.7
2015-11-27,26.65
2015-11-30,27.95
2015-12-01,29.0
2015-12-02,28.7
2015-12-03,27.6
2015-12-04,27.35
2015-12-07,28.4
2015-12-08,29.7
2015-12-09,28.25
2015-12-10,27.85
2015-12-14,27.0
2015-12-16,28.15
2015-12-17,27.35
2015-12-18,26.35
2015-12-21,27.5
2015-12-22,27.5
2015-12-23,28.45
2015-12-24,29.35
2015-12-28,29.8
2015-12-29,28.4
2015-12-30,28.25
2015-12-31,27.05
2016-01-01,27.5
2016-01-04,27.0
2016-01-05,28.35
2016-01-06,28.75
2016-01-07,28.2
2016-01-08,27.6
2016-01-11,28.7
2016-01-12,28.3
2016-01-13,26.9
2016-01-14,26.6
2016-01-15,27.4
2016-01-21,28.4
2016-01-22,27.0
2016-01-25,26.9
2016-01-27,26.15
2016-01-28,26.85
2016-01-29,25.65
2016-02-01,26.9
2016-02-02,25.75
2016-02-04,26.15
2016-02-05,27.5
2016-02-08,29.0
2016-02-09,26.1
2016-02-10,25.65
2016-02-11,24.2
2016-02-12,24.8
2016-02-15,25.25
2016-02-16,25.9
2016-02-17,25.35
2016-02-18,26.15
2016-02-19,25.8
2016-02-22,26.0
2016-02-23,25.8
2016-02-25,25.45
2016-02-26,26.05
2016-02-29,24.3
2016-03-01,26.5
2016-03-02,25.45
2016-03-03,25.25
2016-03-04,23.2
2016-03-08,26.15
2016-03-09,24.3
2016-03-10,23.2
2016-03-11,24.15
2016-03-14,24.9
2016-03-15,25.0
2016-03-16,24.65
2016-03-17,24.35
2016-03-18,22.8
2016-03-21,23.0
2016-03-22,22.4
