Date,VENKEYS
2013-01-01,467.65
2013-01-02,482.15
2013-01-03,481.7
2013-01-04,477.65
2013-01-07,473.7
2013-01-08,474.3
2013-01-09,480.55
2013-01-10,474.2
2013-01-11,468.05
2013-01-14,469.15
2013-01-15,470.35
2013-01-16,464.5
2013-01-17,461.95
2013-01-18,462.1
2013-01-21,459.8
2013-01-22,452.1
2013-01-23,452.55
2013-01-24,443.05
2013-01-25,437.35
2013-01-28,432.75
2013-01-29,433.05
2013-01-30,421.45
2013-01-31,416.65
2013-02-01,419.75
2013-02-04,426.1
2013-02-05,433.6
2013-02-06,480.75
2013-02-07,447.2
2013-02-08,477.25
2013-02-11,497.7
2013-02-12,503.3
2013-02-13,489.9
2013-02-14,485.45
2013-02-15,479.55
2013-02-18,498.5
2013-02-19,495.85
2013-02-20,515.35
2013-02-21,497.75
2013-02-22,503.1
2013-02-25,493.05
2013-02-26,475.15
2013-02-27,480.55
2013-02-28,484.75
2013-03-01,475.25
2013-03-04,503.1
2013-03-05,505.3
2013-03-06,522.1
2013-03-07,535.75
2013-03-08,561.4
2013-03-11,548.75
2013-03-12,547.3
2013-03-13,527.75
2013-03-14,537.3
2013-03-15,520.65
2013-03-18,520.0
2013-03-19,504.95
2013-03-20,477.9
2013-03-21,478.55
2013-03-22,484.65
2013-03-25,513.9
2013-03-26,506.5
2013-03-28,501.65
2013-04-01,515.8
2013-04-02,574.3
2013-04-03,546.8
2013-04-04,538.45
2013-04-05,540.5
2013-04-08,551.3
2013-04-09,567.75
2013-04-10,563.1
2013-04-11,546.1
2013-04-12,541.7
2013-04-15,554.0
2013-04-16,560.5
2013-04-17,546.5
2013-04-18,539.35
2013-04-22,539.75
2013-04-23,546.45
2013-04-25,540.05
2013-04-26,532.5
2013-04-29,537.55
2013-04-30,537.6
2013-05-02,533.9
2013-05-03,550.6
2013-05-06,547.65
2013-05-07,544.1
2013-05-08,565.25
2013-05-09,566.1
2013-05-10,565.25
2013-05-11,556.85
2013-05-13,547.85
2013-05-14,552.0
2013-05-15,560.2
2013-05-16,554.4
2013-05-17,549.0
2013-05-20,541.3
2013-05-21,525.45
2013-05-22,523.2
2013-05-23,513.6
2013-05-24,516.5
2013-05-27,526.65
2013-05-28,531.75
2013-05-29,525.55
2013-05-30,506.35
2013-05-31,507.55
2013-06-03,503.45
2013-06-04,509.3
2013-06-05,515.75
2013-06-06,514.95
2013-06-07,507.85
2013-06-10,494.95
2013-06-11,474.25
2013-06-12,468.85
2013-06-13,470.45
2013-06-14,474.85
2013-06-17,472.5
2013-06-18,478.3
2013-06-19,476.2
2013-06-20,463.2
2013-06-21,466.95
2013-06-24,465.85
2013-06-25,460.15
2013-06-26,459.75
2013-06-27,462.75
2013-06-28,462.5
2013-07-01,468.7
2013-07-02,467.25
2013-07-03,461.2
2013-07-04,464.4
2013-07-05,471.35
2013-07-08,460.6
2013-07-09,458.75
2013-07-10,454.7
2013-07-11,462.8
2013-07-12,464.2
2013-07-15,461.9
2013-07-16,449.25
2013-07-17,442.15
2013-07-18,440.2
2013-07-19,438.6
2013-07-22,451.7
2013-07-23,459.85
2013-07-24,452.2
2013-07-25,440.5
2013-07-26,444.15
2013-07-29,450.85
2013-07-30,455.55
2013-07-31,445.1
2013-08-01,436.6
2013-08-02,436.05
2013-08-05,433.15
2013-08-06,442.9
2013-08-07,445.6
2013-08-08,456.35
2013-08-12,450.65
2013-08-13,463.45
2013-08-14,446.0
2013-08-16,441.15
2013-08-19,435.1
2013-08-20,431.8
2013-08-21,434.85
2013-08-22,435.05
2013-08-23,435.3
2013-08-26,433.25
2013-08-27,430.95
2013-08-28,431.45
2013-08-29,434.8
2013-08-30,434.55
2013-09-02,430.05
2013-09-03,427.4
2013-09-04,433.7
2013-09-05,439.9
