Date,ORICONENT
2015-07-24,52.75
2015-07-27,51.15
2015-07-28,49.25
2015-07-29,54.7
2015-07-30,56.8
2015-07-31,57.4
2015-08-03,55.1
2015-08-04,51.35
2015-08-05,52.5
2015-08-06,52.1
2015-08-07,54.4
2015-08-10,56.6
2015-08-11,55.65
2015-08-12,52.95
2015-08-13,51.7
2015-08-14,53.25
2015-08-17,53.65
2015-08-18,52.85
2015-08-19,52.5
2015-08-20,55.35
2015-08-21,54.75
2015-08-24,46.1
2015-08-25,43.15
2015-08-26,43.6
2015-08-27,46.4
2015-08-28,47.7
2015-08-31,46.3
2015-09-01,42.45
2015-09-02,42.4
2015-09-03,44.4
2015-09-04,41.75
2015-09-07,39.8
2015-09-08,41.45
2015-09-09,42.75
2015-09-10,41.5
2015-09-11,41.35
2015-09-14,43.55
2015-09-15,44.1
2015-09-16,52.9
2015-09-18,56.4
2015-09-21,58.7
2015-09-22,55.7
2015-09-23,57.4
2015-09-24,60.25
2015-09-28,57.9
2015-09-29,57.95
2015-09-30,60.45
2015-10-01,61.75
2015-10-05,64.6
2015-10-06,62.55
2015-10-07,62.9
2015-10-08,66.7
2015-10-09,65.65
2015-10-12,66.45
2015-10-13,65.0
2015-10-14,66.7
2015-10-15,65.6
2015-10-16,66.8
2015-10-19,68.05
2015-10-20,66.55
2015-10-21,63.85
2015-10-23,59.85
2015-10-26,60.7
2015-10-27,60.7
2015-10-28,57.75
2015-10-29,58.0
2015-10-30,56.05
2015-11-02,56.55
2015-11-03,56.55
2015-11-04,55.15
2015-11-05,53.7
2015-11-06,53.0
2015-11-09,55.7
2015-11-10,55.2
2015-11-11,57.35
2015-11-13,58.15
2015-11-16,57.85
2015-11-17,56.05
2015-11-18,55.55
2015-11-19,61.55
2015-11-20,60.8
2015-11-23,61.95
2015-11-24,63.15
2015-11-26,61.15
2015-11-27,60.85
2015-11-30,61.15
2015-12-01,61.75
2015-12-02,62.25
2015-12-03,60.5
2015-12-04,58.85
2015-12-07,58.1
2015-12-08,57.65
2015-12-09,54.55
2015-12-10,55.7
2015-12-11,55.85
2015-12-14,55.4
2015-12-15,56.55
2015-12-16,55.7
2015-12-17,58.6
2015-12-18,57.4
2015-12-21,56.75
2015-12-22,58.5
2015-12-23,58.85
2015-12-24,60.4
2015-12-28,59.75
2015-12-29,62.55
2015-12-30,63.35
2015-12-31,63.55
2016-01-01,64.9
2016-01-04,61.95
2016-01-05,67.35
2016-01-06,67.65
2016-01-07,64.7
