Date,UTTAMSUGAR
2013-01-01,21.85
2013-01-02,21.45
2013-01-03,21.4
2013-01-04,21.25
2013-01-07,21.55
2013-01-08,21.55
2013-01-09,21.55
2013-01-10,21.4
2013-01-11,21.15
2013-01-14,20.6
2013-01-15,21.75
2013-01-16,21.5
2013-01-17,20.7
2013-01-18,21.1
2013-01-21,20.5
2013-01-22,20.45
2013-01-23,20.7
2013-01-24,20.7
2013-01-25,20.4
2013-01-28,20.4
2013-01-29,21.0
2013-01-30,21.45
2013-01-31,21.5
2013-02-01,21.55
2013-02-04,21.6
2013-02-05,21.6
2013-02-06,21.75
2013-02-07,21.85
2013-02-08,21.75
2013-02-11,21.3
2013-02-12,20.3
2013-02-13,20.35
2013-02-14,20.0
2013-02-15,20.25
2013-02-18,21.95
2013-02-19,21.65
2013-02-20,20.75
2013-02-21,21.05
2013-02-22,20.8
2013-02-25,20.75
2013-02-26,19.8
2013-02-27,19.95
2013-02-28,20.15
2013-03-01,20.0
2013-03-04,18.95
2013-03-05,18.25
2013-03-06,18.75
2013-03-07,18.75
2013-03-08,20.5
2013-03-11,20.3
2013-03-12,20.2
2013-03-13,20.15
2013-03-14,20.15
2013-03-15,19.6
2013-03-18,19.8
2013-03-19,19.7
2013-03-20,18.45
2013-03-21,17.5
2013-03-22,16.8
2013-03-25,17.25
2013-03-26,16.35
2013-03-28,16.55
2013-04-01,17.5
2013-04-02,18.7
2013-04-03,18.5
2013-04-04,19.0
2013-04-05,22.65
2013-04-08,22.05
2013-04-09,21.95
2013-04-10,21.7
2013-04-11,21.0
2013-06-14,16.75
2013-06-17,16.45
2013-06-18,16.5
2013-06-19,16.45
2013-06-20,15.65
2013-06-21,15.3
2013-06-24,15.05
2013-06-25,14.95
2013-06-26,14.45
2013-06-27,13.9
2013-06-28,14.2
2013-07-01,14.5
2013-07-02,14.9
2013-07-03,14.2
2013-07-04,14.75
2013-07-05,14.4
2013-07-09,14.0
2013-07-10,13.5
2013-07-11,14.0
2013-07-16,14.4
2013-07-19,13.5
2013-07-22,13.35
2013-07-23,12.6
2013-07-24,12.7
2013-07-25,12.8
2013-07-26,11.6
2013-07-30,12.75
2013-07-31,11.5
2013-08-01,11.6
2013-08-05,10.45
2013-08-12,11.45
2013-08-13,10.9
2013-08-16,11.95
2013-08-19,10.9
2013-08-20,9.85
2013-08-22,9.1
2013-08-23,10.0
2013-08-26,10.0
2013-08-27,11.0
2013-08-28,10.2
2013-08-29,10.15
2013-08-30,10.4
2013-09-02,11.4
2013-09-03,11.95
2013-09-04,12.0
2013-09-06,13.15
2013-09-11,13.1
2013-09-12,12.35
2013-09-13,12.0
2013-11-29,12.0
2013-12-02,12.5
2013-12-03,11.9
2013-12-05,12.0
2013-12-06,11.95
2013-12-09,12.4
2013-12-10,12.4
2013-12-11,13.0
2013-12-13,12.75
2013-12-16,13.0
2013-12-17,13.0
2013-12-18,12.35
2013-12-19,11.75
2013-12-20,12.3
2013-12-23,11.7
2013-12-24,11.2
2013-12-26,11.2
2013-12-27,11.75
2013-12-30,11.5
2013-12-31,11.55
2014-01-01,12.1
2014-01-02,12.6
2014-01-03,12.6
2014-01-06,12.8
2014-01-07,12.75
2014-01-08,12.95
2014-01-09,13.2
2014-01-13,12.55
2014-01-14,11.95
2014-01-15,11.65
2014-01-16,11.5
2014-01-17,11.5
2014-01-20,12.05
2014-01-21,11.95
2014-01-22,11.9
2014-01-23,11.5
2014-01-24,11.75
2014-01-27,11.35
2014-01-28,11.35
2014-01-29,11.6
2014-01-30,11.8
2014-01-31,11.45
2014-02-03,12.0
2014-02-04,12.4
2014-02-05,11.8
2014-02-06,11.8
2014-02-07,12.05
2014-02-10,11.75
2014-02-11,12.15
2014-02-12,12.4
2014-02-13,12.05
2014-02-14,12.5
2014-02-17,12.15
2014-02-18,11.6
2014-02-19,12.15
2014-02-20,12.15
2014-02-21,11.95
2014-02-24,12.1
2014-02-25,12.35
2014-02-26,12.0
2014-02-28,11.9
2014-03-03,11.8
2014-03-04,12.15
2014-03-05,12.6
2014-03-06,12.35
2014-03-07,12.65
2014-03-10,12.25
2014-03-11,12.0
2014-03-12,12.8
2014-03-13,13.7
2014-03-14,13.2
2014-03-18,13.8
2014-03-19,13.55
2014-03-20,13.6
2014-03-21,13.9
2014-03-22,13.1
2014-03-24,13.85
2014-03-25,13.25
2014-03-26,13.25
2014-03-27,13.0
2014-03-28,13.4
2014-03-31,13.7
2014-04-01,15.05
2014-04-02,16.3
2014-04-03,15.45
2014-04-04,16.95
2014-04-07,17.35
2014-04-09,17.2
2014-04-10,17.3
2014-04-11,17.15
2014-06-30,21.1
2014-07-01,21.25
2014-07-02,21.05
2014-07-03,20.55
2014-07-04,20.95
2014-07-07,20.9
2014-07-08,20.05
2014-07-09,19.3
2014-07-10,19.6
2014-07-11,19.05
2014-07-14,19.6
2014-07-15,19.7
2014-07-16,20.3
2014-07-17,20.55
2014-07-18,20.35
2014-07-21,19.9
2014-07-22,19.65
2014-07-23,18.75
2014-07-24,18.85
2014-07-25,18.5
2014-07-28,17.75
2014-07-30,17.8
2014-07-31,17.5
2014-08-01,17.8
2014-08-04,18.5
2014-08-05,18.5
2014-08-06,19.0
2014-08-07,18.6
2014-08-08,17.75
2014-08-11,17.95
2014-08-12,17.1
2014-08-13,16.3
2014-08-14,16.75
2014-08-18,17.15
2014-08-19,16.7
2014-08-20,16.55
2014-08-21,16.8
2014-08-22,18.35
2014-08-25,17.65
2014-08-26,16.85
2014-08-27,16.65
2014-08-28,16.4
2014-09-01,16.75
2014-09-02,17.2
2014-09-03,16.65
2014-09-04,16.5
2014-09-05,16.2
2014-09-08,16.7
2014-09-09,17.0
2014-09-10,17.35
2014-09-11,18.0
2014-09-12,18.1
2014-09-15,17.65
2014-09-16,17.1
2014-09-17,17.0
2014-09-18,17.15
2014-09-19,16.95
2014-09-22,17.0
