Date,RESPONIND
2013-01-01,92.1
2013-01-02,93.0
2013-01-03,96.5
2013-01-04,94.25
2013-01-07,94.75
2013-01-08,92.65
2013-01-09,94.0
2013-01-10,96.25
2013-01-11,94.0
2013-01-14,93.0
2013-01-15,92.0
2013-01-16,92.0
2013-01-17,94.0
2013-01-18,93.15
2013-01-21,94.0
2013-01-22,92.25
2013-01-23,94.0
2013-01-24,92.35
2013-01-25,93.95
2013-01-28,94.0
2013-01-29,93.95
2013-01-30,92.0
2013-01-31,93.9
2013-02-01,97.05
2013-02-04,95.25
2013-02-05,94.7
2013-02-06,93.55
2013-02-07,92.8
2013-02-08,94.0
2013-02-11,94.0
2013-02-12,93.45
2013-02-13,93.95
2013-02-14,92.6
2013-02-15,95.95
2013-02-18,96.35
2013-02-19,96.4
2013-02-20,93.2
2013-02-21,93.7
2013-02-22,96.0
2013-02-25,96.05
2013-02-26,95.9
2013-02-27,97.5
2013-02-28,94.0
2013-03-01,92.0
2013-03-04,93.35
2013-03-05,95.65
2013-03-06,93.25
2013-03-07,92.8
2013-03-08,94.55
2013-03-11,92.35
2013-03-12,90.1
2013-03-13,92.5
2013-03-14,93.65
2013-03-15,92.45
2013-03-18,92.75
2013-03-19,91.45
2013-03-20,90.55
2013-03-21,92.2
2013-03-22,92.0
2013-03-25,91.15
2013-03-26,91.85
2013-03-28,90.0
2013-04-01,89.4
2013-04-02,91.0
2013-04-03,89.4
2013-04-04,91.25
2013-04-05,90.0
2013-04-08,90.7
2013-04-09,84.1
2013-04-10,87.7
2013-04-11,86.6
2013-04-12,85.8
2013-04-15,83.55
2013-04-16,85.5
2013-04-17,90.6
2013-04-18,91.9
2013-04-22,91.5
2013-04-23,87.0
2013-04-25,85.4
2013-04-26,83.35
2013-04-29,89.5
2013-04-30,86.85
2013-05-02,89.5
2013-05-03,91.35
2013-05-06,87.45
2013-05-07,87.3
2013-05-08,89.05
2013-05-09,86.55
2013-05-10,86.5
2013-05-11,87.55
2013-05-13,86.45
2013-05-14,89.5
2013-05-15,89.7
2013-05-16,86.85
2013-05-17,89.25
2013-05-20,87.5
2013-05-21,87.0
2013-05-22,86.95
2013-05-23,86.9
2013-05-24,87.15
2013-05-27,87.5
2013-05-28,88.1
2013-05-29,87.05
2013-05-30,90.05
2013-05-31,92.65
2013-06-03,90.35
2013-06-04,94.45
2013-06-05,94.0
2013-06-06,93.2
2013-06-07,92.3
2013-06-10,90.45
2013-06-11,90.35
2013-06-12,92.7
2013-06-13,91.25
2013-06-14,92.0
2013-06-17,91.25
2013-06-18,89.9
2013-06-19,90.7
2013-06-20,89.85
2013-06-21,89.3
2013-06-24,89.4
2013-06-25,90.45
2013-06-26,91.4
2013-06-27,91.2
2013-06-28,90.3
2013-07-01,91.9
2013-07-02,92.5
2013-07-03,91.9
2013-07-04,91.85
2013-07-05,90.2
2013-07-08,92.1
2013-07-09,92.5
2013-07-10,91.05
2013-07-11,90.9
2013-07-12,92.45
2013-07-15,91.1
2013-07-16,90.7
2013-07-17,90.15
2013-07-18,90.0
2013-07-19,90.65
2013-07-22,89.1
2013-07-23,89.8
2013-07-24,90.05
2013-07-25,89.9
2013-07-26,81.85
2013-07-29,86.6
2013-07-30,87.25
2013-07-31,88.25
2013-08-01,89.15
2013-08-02,86.05
2013-08-05,88.0
2013-08-06,85.95
2013-08-07,85.75
2013-08-08,87.3
2013-08-12,90.2
2013-08-13,89.75
2013-08-14,88.35
2013-08-16,87.8
2013-08-19,87.7
2013-08-20,86.75
2013-08-21,87.75
2013-08-22,87.85
2013-08-23,87.45
2013-08-26,89.9
2013-08-27,87.75
2013-08-28,87.65
2013-08-29,86.3
2013-08-30,86.55
2013-09-02,85.7
2013-09-03,85.5
2013-09-04,86.7
2013-09-05,85.35
2013-09-06,86.0
2013-09-10,87.0
2013-09-11,86.05
2013-09-12,87.2
2013-09-13,86.75
2013-09-16,87.2
2013-09-17,87.25
2013-09-18,87.6
2013-09-19,86.75
2013-09-20,86.8
2013-09-23,87.2
2013-09-24,87.0
2013-09-25,87.2
2013-09-26,85.85
2013-09-27,87.0
2013-09-30,88.05
2013-10-01,90.7
2013-10-03,89.5
2013-10-04,87.2
2013-10-07,87.25
2013-10-08,86.75
2013-10-09,87.0
2013-10-10,86.9
2013-10-11,86.65
2013-10-14,86.7
2013-10-15,85.9
2013-10-17,84.3
2013-10-18,87.1
2013-10-21,87.25
2013-10-22,87.6
2013-10-23,87.5
2013-10-24,87.8
2013-10-25,86.55
2013-10-28,87.2
2013-10-29,86.7
2013-10-30,88.25
2013-10-31,87.1
2013-11-01,87.85
2013-11-03,91.6
2013-11-05,91.0
2013-11-06,91.5
2013-11-07,89.65
2013-11-08,89.1
2013-11-11,89.45
2013-11-12,88.45
2013-11-13,89.3
2013-11-14,89.05
2013-11-18,89.5
2013-11-19,92.15
2013-11-20,92.65
2013-11-21,92.0
2013-11-22,91.7
2013-11-25,91.55
2013-11-26,92.3
2013-11-27,92.05
2013-11-28,91.75
2013-11-29,91.7
2013-12-02,91.35
2013-12-03,90.7
2013-12-04,90.8
2013-12-05,91.4
2013-12-06,91.45
2013-12-09,91.75
2013-12-10,91.6
2013-12-11,91.1
2013-12-12,90.55
2013-12-13,90.3
2013-12-16,90.25
2013-12-17,90.3
2013-12-18,90.15
2013-12-19,89.4
2013-12-20,90.3
2013-12-23,92.2
2013-12-24,91.9
2013-12-26,94.35
2013-12-27,95.55
2013-12-30,95.85
2013-12-31,95.2
2014-01-01,95.3
2014-01-02,95.6
2014-01-03,95.25
2014-01-06,94.35
2014-01-07,94.45
2014-01-08,95.15
2014-01-09,97.2
2014-01-10,98.05
2014-01-13,98.85
2014-01-14,102.25
2014-01-15,101.5
2014-01-16,101.9
2014-01-17,101.9
2014-01-20,102.05
2014-01-21,101.15
2014-01-22,100.8
2014-01-23,99.85
2014-01-24,97.1
2014-01-27,97.05
2014-01-28,96.9
2014-01-29,94.8
2014-01-30,93.85
2014-01-31,93.85
2014-02-03,94.1
2014-02-04,93.9
2014-02-05,93.95
2014-02-06,93.9
2014-02-07,93.9
2014-02-10,93.9
2014-02-11,93.85
2014-02-12,93.9
2014-02-13,93.8
2014-02-14,93.9
2014-02-17,94.2
2014-02-18,94.25
2014-02-19,94.4
2014-02-20,94.2
2014-02-21,94.25
2014-02-24,94.25
2014-02-25,94.4
2014-02-26,94.65
2014-02-28,95.2
2014-03-03,95.2
2014-03-04,95.2
2014-03-05,95.1
2014-03-06,95.2
2014-03-07,96.1
2014-03-10,94.6
2014-03-11,94.65
2014-03-12,94.7
2014-03-13,96.2
2014-03-14,94.05
2014-03-18,94.1
2014-03-19,94.1
2014-03-20,93.9
2014-03-21,94.0
2014-03-22,94.05
2014-03-24,93.95
2014-03-25,93.55
2014-03-26,93.7
2014-03-27,93.75
2014-03-28,93.8
2014-03-31,95.75
2014-04-01,95.7
2014-04-02,93.65
2014-04-03,93.7
2014-04-04,93.65
2014-04-07,93.7
2014-04-09,91.15
2014-04-10,90.65
2014-04-11,90.5
2014-04-15,90.5
2014-04-16,90.4
