Date,GMRINFRA
2013-01-01,20.3
2013-01-02,20.4
2013-01-03,20.3
2013-01-04,19.95
2013-01-07,20.55
2013-01-08,21.0
2013-01-09,21.05
2013-01-10,20.75
2013-01-11,20.4
2013-01-14,20.75
2013-01-15,20.55
2013-01-16,20.05
2013-01-17,20.0
2013-01-18,19.8
2013-01-21,20.15
2013-01-22,19.7
2013-01-23,19.15
2013-01-24,18.1
2013-01-25,18.75
2013-01-28,18.8
2013-01-29,18.65
2013-01-30,19.05
2013-01-31,18.85
2013-02-01,20.25
2013-02-04,19.3
2013-02-05,19.35
2013-02-06,19.8
2013-02-07,19.3
2013-02-08,18.95
2013-02-11,18.55
2013-02-12,18.15
2013-02-13,18.05
2013-02-14,17.8
2013-02-15,17.6
2013-02-18,18.35
2013-02-19,18.55
2013-02-20,18.7
2013-02-21,18.15
2013-02-22,18.15
2013-02-25,18.25
2013-02-26,18.25
2013-02-27,18.5
2013-02-28,17.65
2013-03-01,18.05
2013-03-04,18.75
2013-03-05,19.45
2013-03-06,19.45
2013-03-07,19.55
2013-03-08,19.5
2013-03-11,20.0
2013-03-12,19.95
2013-03-13,20.15
2013-03-14,20.35
2013-03-15,20.3
2013-03-18,21.15
2013-03-19,20.75
2013-03-20,20.0
2013-03-21,20.05
2013-03-22,19.95
2013-03-25,21.85
2013-03-26,20.85
2013-03-28,21.6
2013-04-01,22.65
2013-04-02,22.6
2013-04-03,22.0
2013-04-04,21.5
2013-04-05,22.15
2013-04-08,22.0
2013-04-09,21.1
2013-04-10,21.2
2013-04-11,21.25
2013-04-12,21.4
2013-04-15,21.55
2013-04-16,22.25
2013-04-17,21.85
2013-04-18,22.4
2013-04-22,22.3
2013-04-23,22.25
2013-04-25,22.1
2013-04-26,21.3
2013-04-29,21.1
2013-04-30,20.35
2013-05-02,21.4
2013-05-03,20.95
2013-05-06,21.5
2013-05-07,22.15
2013-05-08,21.8
2013-05-09,21.6
2013-05-10,22.2
2013-05-11,22.2
2013-05-13,21.3
2013-05-14,21.35
2013-05-15,22.85
2013-05-16,23.15
2013-05-17,24.2
2013-05-20,23.75
2013-05-21,23.25
2013-05-22,22.95
2013-05-23,20.9
2013-05-24,21.75
2013-05-27,21.75
2013-05-28,21.9
2013-05-29,21.15
2013-05-30,20.4
2013-05-31,20.85
2013-06-03,20.75
2013-06-04,20.7
2013-06-05,20.9
2013-06-06,20.9
2013-06-07,20.7
2013-06-10,20.5
2013-06-11,19.9
2013-06-12,19.7
2013-06-13,19.45
2013-06-14,19.75
2013-06-17,20.25
2013-06-18,19.9
2013-06-19,19.9
2013-06-20,18.85
2013-06-21,18.75
2013-06-24,17.9
2013-06-25,17.35
2013-06-26,17.15
2013-06-27,16.95
2013-06-28,17.6
2013-07-01,18.4
2013-07-02,18.05
2013-07-03,17.5
2013-07-04,17.75
2013-07-05,17.65
2013-07-08,17.7
2013-07-09,17.8
2013-07-10,17.5
2013-07-11,17.75
2013-07-12,17.7
2013-07-15,17.5
2013-07-16,17.0
2013-07-17,16.0
2013-07-18,16.15
2013-07-19,16.0
2013-07-22,17.15
2013-07-23,17.2
2013-07-24,16.8
2013-07-25,15.7
2013-07-26,15.55
2013-07-29,14.7
2013-07-30,13.85
2013-07-31,12.85
2013-08-01,12.65
2013-08-02,11.95
2013-08-05,12.2
2013-08-06,11.5
2013-08-07,11.9
2013-08-08,12.65
2013-08-12,12.9
2013-08-13,12.85
2013-08-14,13.35
2013-08-16,12.75
2013-08-19,12.8
2013-08-20,12.8
2013-08-21,12.35
2013-08-22,12.6
2013-08-23,12.9
2013-08-26,13.65
2013-08-27,13.45
2013-08-28,13.5
2013-08-29,13.25
2013-08-30,13.7
2013-09-02,14.0
2013-09-03,13.9
2013-09-04,14.05
2013-09-05,14.85
2013-09-06,15.4
2013-09-10,16.45
2013-09-11,18.0
2013-09-12,17.85
2013-09-13,18.85
2013-09-16,18.95
2013-09-17,19.35
2013-09-18,19.8
2013-09-19,20.9
2013-09-20,21.55
2013-09-23,21.15
2013-09-24,21.85
2013-09-25,21.7
2013-09-26,22.15
2013-09-27,22.15
2013-09-30,21.7
2013-10-01,22.35
2013-10-03,22.45
2013-10-04,22.4
2013-10-07,22.35
2013-10-08,22.6
2013-10-09,22.75
2013-10-10,22.8
2013-10-11,22.35
2013-10-14,22.2
2013-10-15,22.4
2013-10-17,21.9
2013-10-18,22.7
2013-10-21,22.45
2013-10-22,22.3
2013-10-23,22.45
2013-10-24,22.75
2013-10-25,22.55
2013-10-28,21.9
2013-10-29,22.35
2013-10-30,22.15
2013-10-31,22.05
2013-11-01,23.1
2013-11-03,23.1
2013-11-05,23.2
2013-11-06,23.2
2013-11-07,22.3
2013-11-08,23.45
2013-11-11,22.25
2013-11-12,22.0
2013-11-13,20.85
2013-11-14,22.1
2013-11-18,22.35
