Date,STARPAPER
2013-01-01,14.5
2013-01-02,14.55
2013-01-03,14.0
2013-01-04,14.35
2013-01-07,14.5
2013-01-08,14.6
2013-01-09,14.05
2013-01-10,13.7
2013-01-11,13.55
2013-01-14,14.25
2013-01-15,13.5
2013-01-16,13.65
2013-01-17,13.7
2013-01-18,13.8
2013-01-21,13.5
2013-01-22,12.55
2013-01-23,13.45
2013-01-24,12.75
2013-01-25,12.45
2013-01-28,12.25
2013-01-29,12.8
2013-01-30,12.45
2013-01-31,12.75
2013-02-01,12.6
2013-02-04,12.3
2013-02-05,11.95
2013-02-06,11.85
2013-02-07,11.75
2013-02-08,12.0
2013-02-11,12.2
2013-02-12,12.0
2013-02-13,11.55
2013-02-14,11.0
2013-02-15,10.3
2013-02-18,11.0
2013-02-19,11.1
2013-02-20,11.5
2013-02-21,11.8
2013-02-22,11.3
2013-02-25,10.9
2013-02-26,10.8
2013-02-27,11.45
2013-02-28,11.3
2013-03-01,11.2
2013-03-04,10.2
2013-03-05,11.1
2013-03-06,10.7
2013-03-07,10.7
2013-03-08,11.1
2013-03-11,10.35
2013-03-12,11.0
2013-03-13,10.65
2013-03-14,11.5
2013-03-15,10.35
2013-03-18,10.35
2013-03-20,9.9
2013-03-21,9.6
2013-03-25,9.15
2013-03-26,8.75
2013-03-28,8.4
2013-04-01,9.2
2013-04-02,9.95
2013-04-03,9.35
2013-04-04,9.0
2013-04-05,8.95
2013-04-18,8.1
2013-04-22,7.85
2013-04-25,8.6
2013-04-30,8.75
2013-05-02,8.5
2013-05-03,8.5
2013-05-06,8.5
2013-05-08,8.5
2013-05-14,8.5
2013-05-16,8.1
2013-05-20,7.8
2013-05-21,7.55
2013-05-22,7.5
2013-05-27,7.2
2013-05-30,7.55
2013-05-31,7.9
2013-06-10,7.9
2013-06-14,7.8
2013-06-17,7.5
2013-06-18,7.3
2013-06-19,7.3
2013-06-21,6.95
2013-06-28,7.25
2013-07-22,7.6
2013-07-31,7.85
2013-08-06,7.5
2013-08-07,7.5
2013-08-12,7.5
2013-08-13,7.15
2013-08-16,6.85
2013-08-20,6.55
2013-08-28,6.55
2013-08-29,6.55
2013-08-30,6.55
2013-09-03,6.55
2013-09-04,6.85
2013-09-05,7.05
2013-09-06,6.85
2013-09-12,7.15
2013-09-17,7.0
2013-09-18,7.0
2013-09-19,7.0
2013-10-21,7.0
2013-10-23,6.65
2013-10-25,6.7
2013-10-28,6.95
2013-10-31,6.95
2013-11-03,7.25
2013-11-06,6.9
2013-11-07,6.95
2013-11-14,6.65
2013-11-18,6.35
2013-11-19,6.65
2013-11-21,6.4
2013-11-22,6.1
2013-11-27,6.1
2013-11-29,6.25
2013-12-02,6.55
2013-12-03,6.55
2013-12-05,6.25
2013-12-06,6.55
2013-12-09,6.25
2013-12-10,6.05
2013-12-11,6.15
2013-12-12,6.45
2013-12-19,6.3
2013-12-20,6.4
2013-12-23,6.35
2013-12-24,6.1
2013-12-26,6.2
2013-12-27,6.5
2013-12-30,6.45
2013-12-31,6.45
2014-01-03,6.45
2014-01-06,6.7
2014-08-25,8.95
2014-08-26,9.35
2014-08-27,9.7
2014-08-28,9.25
2014-09-01,9.7
2014-09-02,9.6
2014-09-03,10.0
2014-09-04,9.5
2014-09-05,8.75
2014-09-08,9.6
2014-09-09,10.1
2014-09-10,10.95
2014-09-11,10.95
2014-09-12,11.9
2014-09-15,11.4
2014-09-16,10.95
2014-09-17,10.5
2014-09-18,10.5
2014-09-19,11.0
2014-09-22,10.7
2014-09-23,10.55
2014-09-24,10.2
2014-09-25,9.9
2014-09-26,10.1
2014-09-30,9.95
2014-10-07,10.4
2014-10-13,11.4
2014-10-14,10.5
2014-10-16,10.45
2014-10-17,11.4
2014-10-20,11.0
2014-10-21,11.85
2014-10-22,11.95
2014-10-27,11.9
2014-10-28,11.8
2014-10-29,11.95
2014-10-30,11.35
2014-10-31,11.75
2014-11-03,10.75
2014-11-05,11.8
2014-11-07,11.8
2014-11-10,12.1
2014-11-11,14.5
2014-11-12,14.05
2014-11-13,14.0
2014-11-14,13.45
2014-11-17,14.8
2014-11-18,17.65
2014-11-19,18.15
2014-11-20,21.7
2014-11-21,19.95
2014-11-24,19.95
2014-11-25,18.65
2014-11-26,17.65
2014-11-27,17.55
2014-11-28,17.3
2014-12-01,16.95
2014-12-02,17.25
2014-12-03,17.25
2014-12-04,17.15
2014-12-05,19.6
2014-12-08,23.35
2014-12-09,23.75
2014-12-10,22.55
2014-12-11,21.35
2014-12-12,18.95
2014-12-15,19.6
2014-12-16,18.0
2014-12-17,17.8
2014-12-18,19.45
2014-12-19,20.5
2014-12-22,22.45
2014-12-23,23.95
2014-12-24,25.2
2014-12-26,24.55
2014-12-29,22.95
2014-12-30,22.95
2014-12-31,22.35
2015-01-01,21.75
2015-01-02,22.05
2015-01-05,23.9
2015-01-06,23.25
2015-01-07,22.4
2015-01-08,22.85
2015-01-09,22.9
2015-01-12,22.75
2015-01-13,22.65
2015-01-14,22.35
2015-01-15,21.85
2015-01-16,21.25
2015-01-19,21.85
2015-01-20,21.75
2015-01-21,21.15
2015-01-22,20.25
2015-01-23,20.65
2015-01-27,19.85
2015-01-28,19.3
2015-01-29,19.8
2015-01-30,20.25
2015-02-02,20.1
2015-02-03,20.1
2015-02-04,20.35
2015-02-05,20.65
2015-02-06,19.7
2015-02-09,19.35
2015-02-10,18.8
2015-02-11,22.5
2015-02-12,21.05
2015-02-13,19.95
2015-02-16,20.45
2015-02-18,21.65
2015-02-19,20.1
2015-02-20,20.2
2015-02-23,19.65
2015-02-24,20.15
2015-02-25,20.15
