Date,JINDALPOLY
2013-01-01,177.9
2013-01-02,178.6
2013-01-03,181.05
2013-01-04,179.3
2013-01-07,178.65
2013-01-08,179.2
2013-01-09,177.45
2013-01-10,176.1
2013-01-11,174.65
2013-01-14,174.9
2013-01-15,176.05
2013-01-16,183.05
2013-01-17,183.65
2013-01-18,179.7
2013-01-21,179.5
2013-01-22,176.8
2013-01-23,174.15
2013-01-24,168.65
2013-01-25,167.35
2013-01-28,173.65
2013-01-29,170.0
2013-01-30,169.05
2013-01-31,169.35
2013-02-01,168.2
2013-02-04,168.2
2013-02-05,165.5
2013-02-06,163.85
2013-02-07,161.5
2013-02-08,159.7
2013-02-11,159.45
2013-02-12,155.4
2013-02-13,154.4
2013-02-14,143.4
2013-02-15,138.95
2013-02-18,141.8
2013-02-19,163.2
2013-02-20,167.1
2013-02-21,157.5
2013-02-22,169.65
2013-02-25,165.85
2013-02-26,158.85
2013-02-27,159.05
2013-02-28,157.25
2013-03-01,154.6
2013-03-04,152.8
2013-03-05,153.95
2013-03-06,156.25
2013-03-07,177.6
2013-03-08,178.6
2013-03-11,177.45
2013-03-12,180.6
2013-03-13,171.5
2013-03-14,173.3
2013-03-15,168.3
2013-03-18,165.5
2013-03-19,161.7
2013-03-20,154.5
2013-03-21,151.0
2013-03-22,146.4
2013-03-25,144.95
2013-03-26,145.0
2013-03-28,146.4
2013-04-01,154.85
2013-04-02,163.25
2013-04-03,156.15
2013-04-04,152.2
2013-04-05,151.35
2013-04-08,150.7
2013-04-09,150.25
2013-04-10,150.25
2013-04-11,150.7
2013-04-12,147.5
2013-04-15,146.85
2013-04-16,150.2
2013-04-17,150.45
2013-04-18,149.8
2013-04-22,152.35
2013-04-23,153.75
2013-04-25,157.5
2013-04-26,152.8
2013-04-29,154.7
2013-04-30,153.65
2013-05-02,155.8
2013-05-03,153.5
2013-05-06,169.0
2013-05-07,164.95
2013-05-08,168.25
2013-05-09,165.15
2013-05-10,169.4
2013-05-11,167.5
2013-05-13,165.7
2013-05-14,167.05
2013-05-15,169.75
2013-05-16,174.75
2013-05-17,174.3
2013-05-20,174.55
2013-05-21,168.65
2013-05-22,168.85
2013-05-23,159.7
2013-05-24,159.3
2013-05-27,163.2
2013-05-28,162.9
2013-05-29,160.6
2013-05-30,161.85
2013-05-31,155.0
2013-06-03,155.5
2013-06-04,157.75
2013-06-05,156.3
2013-06-06,156.35
2013-06-07,159.05
2013-06-10,156.85
2013-06-11,150.65
2013-06-12,150.25
2013-06-13,148.4
2013-06-14,151.7
2013-06-17,150.95
2013-06-18,149.35
2013-06-19,164.9
2013-06-20,154.95
2013-06-21,149.2
2013-06-24,147.35
2013-06-25,145.45
2013-06-26,139.95
2013-06-27,141.9
2013-06-28,145.3
2013-07-01,149.2
2013-07-02,154.6
2013-07-03,154.0
2013-07-04,153.1
2013-07-05,154.45
2013-07-08,151.0
2013-07-09,151.8
2013-07-10,153.85
2013-07-11,155.5
2013-07-12,155.4
2013-07-15,156.05
2013-07-16,151.3
2013-07-31,113.0
2013-08-01,118.55
2013-08-02,121.9
2013-08-05,119.75
2013-08-06,108.1
2013-08-07,114.35
2013-08-08,116.65
2013-08-12,122.1
2013-08-13,128.6
2013-08-14,132.0
2013-08-16,126.75
2013-08-19,126.4
2013-08-20,132.95
2013-08-21,131.15
2013-08-22,132.7
2013-08-23,135.65
2013-08-26,136.2
2013-08-27,134.35
2013-08-28,131.65
2013-08-29,132.75
2013-08-30,134.9
2013-09-02,132.9
2013-09-03,130.85
2013-09-04,130.6
2013-09-05,131.6
2013-09-06,132.15
2013-09-10,133.55
2013-09-11,134.15
2013-09-12,135.3
2013-09-13,137.55
2013-09-16,137.15
2013-09-17,135.35
2013-09-18,134.05
2013-09-19,135.05
2013-09-20,132.1
2013-09-23,132.0
2013-09-24,135.15
2013-09-25,136.25
2013-09-26,134.7
2013-09-27,131.95
2013-09-30,129.55
2013-10-01,135.45
2013-10-03,136.7
2013-10-04,137.65
2013-10-07,137.6
2013-10-08,139.65
2013-10-09,138.8
2013-10-10,141.25
2013-10-11,141.85
2013-10-14,143.3
2013-10-15,139.25
2013-10-17,139.7
2013-10-18,139.1
2013-10-21,141.05
2013-10-22,141.55
2013-10-23,140.1
2013-10-24,144.1
2013-10-25,138.65
2013-10-28,138.25
2013-10-29,139.05
2013-10-30,140.6
2013-10-31,139.35
2013-11-01,140.5
2013-11-03,144.1
2013-11-05,145.9
2013-11-06,148.45
2013-11-07,147.8
2013-11-08,145.45
2013-11-11,145.6
2013-11-12,142.4
2013-11-13,141.5
2013-11-14,141.1
2013-11-18,141.2
2013-11-19,140.8
2013-11-20,140.5
2013-11-21,138.7
2013-11-22,135.7
2013-11-25,138.55
2013-11-26,137.45
2013-11-27,137.05
2013-11-28,138.9
2013-11-29,141.7
2013-12-02,158.7
2013-12-03,159.1
2013-12-04,150.05
2013-12-05,151.1
2013-12-06,149.85
2013-12-09,149.45
2013-12-10,146.9
2013-12-11,146.45
2013-12-12,148.4
2013-12-13,145.35
2013-12-16,146.45
2013-12-17,147.25
2013-12-18,148.0
2013-12-19,145.9
2013-12-20,149.2
2013-12-23,149.95
2013-12-24,150.3
2013-12-26,150.95
2013-12-27,154.35
2013-12-30,156.95
2013-12-31,157.7
2014-01-01,159.0
2014-01-02,152.9
2014-01-03,152.2
2014-01-06,154.05
2014-01-07,155.4
2014-01-08,153.3
2014-01-09,152.55
2014-01-10,153.15
2014-01-13,152.8
2014-01-14,152.75
2014-01-15,151.7
2014-01-16,150.25
2014-01-17,150.4
2014-01-20,150.95
2014-01-21,151.9
2014-01-22,153.7
2014-01-23,152.65
2014-01-24,151.5
2014-01-27,146.3
2014-01-28,142.6
2014-01-29,141.75
2014-01-30,137.25
2014-01-31,139.7
2014-02-03,138.1
2014-02-04,138.15
2014-02-05,140.0
2014-02-06,139.75
2014-02-07,141.6
2014-02-10,141.45
2014-02-11,142.4
2014-02-12,143.75
2014-02-13,141.75
2014-02-14,142.2
2014-02-17,140.85
2014-02-18,145.65
2014-02-19,146.05
2014-02-20,146.15
2014-02-21,146.4
2014-02-24,144.6
2014-02-25,141.95
2014-02-26,140.45
2014-02-28,137.35
2014-03-03,137.25
2014-03-04,139.35
2014-03-05,141.15
2014-03-06,143.85
2014-03-07,143.1
