Date,PDPL
2013-03-01,104.65
2013-03-04,99.75
2013-03-05,99.0
2013-03-06,102.45
2013-03-07,109.25
2013-03-08,107.0
2013-03-11,108.8
2013-03-12,112.75
2013-03-13,107.25
2013-03-14,117.9
2013-03-15,110.05
2013-03-18,111.3
2013-03-19,103.0
2013-03-20,101.0
2013-03-21,96.65
2013-03-22,94.0
2013-03-25,91.95
2013-03-26,90.2
2013-03-28,88.0
2013-04-01,96.8
2013-04-02,106.45
2013-04-03,110.0
2013-04-04,109.95
2013-04-05,108.9
2013-04-08,108.1
2013-04-09,106.85
2013-04-10,106.45
2013-04-11,103.05
2013-04-12,103.5
2013-04-15,100.95
2013-04-16,101.0
2013-04-17,100.5
2013-04-18,100.25
2013-04-22,103.65
2013-04-23,106.0
2013-04-25,102.9
2013-04-26,100.55
2013-04-29,100.85
2013-04-30,99.5
2013-05-02,99.9
2013-05-03,96.45
2013-05-06,96.35
2013-05-07,97.2
2013-05-08,98.4
2013-05-09,97.85
2013-05-10,97.25
2013-05-11,100.95
2013-05-13,95.55
2013-05-14,97.05
2013-05-15,98.9
2013-05-16,118.65
2013-05-17,111.65
2013-05-20,108.9
2013-05-21,106.0
2013-05-22,103.2
2013-05-23,98.8
2013-05-24,100.7
2013-05-27,101.7
2013-05-28,98.05
2013-05-29,98.5
2013-05-30,96.1
2013-05-31,101.15
2013-06-03,101.5
2013-06-04,101.85
2013-06-05,101.15
2013-06-06,98.3
2013-06-07,98.5
2013-06-10,92.3
2013-06-11,88.3
2013-06-12,91.7
2013-06-13,86.0
2013-06-14,87.7
2013-06-17,70.85
2013-06-18,72.0
2013-06-19,74.4
2013-06-20,71.0
2013-06-21,70.2
2013-06-24,67.15
2013-06-25,69.1
2013-06-26,69.1
2013-06-27,72.2
2013-06-28,75.2
2013-07-01,76.1
2013-07-02,75.15
2013-07-03,74.5
2013-07-04,66.25
2013-07-05,66.4
2013-07-08,63.95
2013-07-09,66.95
2013-07-10,66.95
2013-07-11,67.95
2013-07-12,68.05
2013-07-15,66.3
2013-07-16,66.6
2013-07-17,65.0
2013-07-18,60.45
2013-07-19,62.6
2013-07-22,57.85
2013-07-23,61.0
2013-07-24,57.55
2013-07-25,59.0
2013-07-26,58.55
2013-07-29,56.5
2013-07-30,54.6
2013-07-31,50.6
2013-08-01,50.55
2013-08-02,50.15
2013-08-05,53.95
2013-08-06,49.85
2013-08-07,48.35
2013-08-08,49.1
2013-08-12,49.55
2013-08-13,53.05
2013-08-14,49.05
2013-08-16,48.0
2013-08-19,47.05
2013-08-20,50.8
2013-08-21,46.5
2013-08-22,46.15
2013-08-23,48.0
2013-08-26,46.25
2013-08-27,45.05
2013-08-28,47.0
2013-08-29,48.75
2013-08-30,49.0
2013-09-02,49.5
2013-09-03,45.45
2013-09-04,45.0
2013-09-05,46.5
2013-09-06,46.0
2013-09-10,50.6
2013-09-11,54.6
2013-09-12,54.95
2013-09-13,44.0
2013-09-16,45.55
2013-09-17,45.05
2013-09-18,44.95
2013-09-19,45.35
2013-09-20,45.35
2013-09-23,44.05
2013-09-24,44.1
2013-09-25,44.55
2013-09-26,44.3
2013-09-27,45.25
2013-09-30,44.5
2013-10-01,44.6
2013-10-03,45.8
2013-10-04,45.6
2013-10-07,45.7
2013-10-08,45.55
2013-10-09,45.2
2013-10-10,45.1
2013-10-11,47.5
2013-10-14,45.45
2013-10-15,46.45
2013-10-17,45.05
2013-10-18,45.5
2013-10-21,46.3
2013-10-22,41.5
2013-10-23,44.05
2013-10-24,44.25
2013-10-25,43.35
2013-10-28,43.4
2013-10-29,43.5
2013-10-30,43.0
2013-10-31,42.25
2013-11-01,43.85
2013-11-03,44.75
2013-11-05,44.0
2013-11-06,42.85
2013-11-07,42.35
2013-11-08,45.85
2013-11-11,45.35
2013-11-12,45.3
2013-11-13,39.7
2013-11-14,40.15
