Date,KECL
2013-01-01,25.05
2013-01-02,25.35
2013-01-03,24.95
2013-01-04,25.0
2013-01-07,25.0
2013-01-08,24.85
2013-01-09,24.45
2013-01-10,24.15
2013-01-11,24.35
2013-01-14,24.2
2013-01-15,24.1
2013-01-16,24.0
2013-01-17,24.8
2013-01-18,25.0
2013-01-21,25.0
2013-01-22,24.7
2013-01-23,24.05
2013-01-24,23.5
2013-01-25,23.55
2013-01-28,23.4
2013-01-29,23.3
2013-01-30,24.0
2013-01-31,22.95
2013-02-01,23.0
2013-02-04,22.6
2013-02-05,22.3
2013-02-06,23.0
2013-02-07,21.15
2013-02-08,21.3
2013-02-11,21.55
2013-02-12,21.8
2013-02-13,21.05
2013-02-14,20.35
2013-02-15,20.45
2013-02-18,20.8
2013-02-19,21.35
2013-02-20,21.7
2013-02-21,21.4
2013-02-22,21.75
2013-02-25,21.25
2013-02-26,21.25
2013-02-27,20.6
2013-02-28,19.9
2013-03-01,20.0
2013-03-04,19.5
2013-03-05,19.6
2013-03-06,19.1
2013-03-07,19.45
2013-03-08,18.85
2013-03-11,19.4
2013-03-12,19.85
2013-03-13,19.6
2013-03-14,19.15
2013-03-15,18.35
2013-03-18,18.9
2013-03-19,18.1
2013-03-20,18.1
2013-03-21,17.3
2013-03-22,18.2
2013-03-25,17.85
2013-03-26,18.3
2013-03-28,17.85
2013-04-01,18.1
2013-04-02,19.9
2013-04-03,18.75
2013-04-04,17.3
2013-04-05,18.75
2013-04-08,18.45
2013-04-09,18.4
2013-04-10,18.5
2013-04-11,18.75
2013-04-12,17.9
2013-04-15,18.75
2013-04-16,18.1
2013-04-17,18.5
2013-04-18,18.6
2013-04-22,19.5
2013-04-23,20.05
2013-04-25,19.85
2013-04-26,22.9
2013-04-29,21.85
2013-04-30,21.15
2013-05-02,21.9
2013-05-03,21.15
2013-05-06,22.0
2013-05-07,21.25
2013-05-08,22.55
2013-05-09,21.55
2013-05-10,22.25
2013-05-11,22.5
2013-05-13,21.5
2013-05-14,20.9
2013-05-15,21.0
2013-05-16,21.5
2013-05-17,24.3
2013-05-20,24.25
2013-05-21,24.25
2013-05-22,23.8
2013-05-23,22.95
2013-05-24,22.3
2013-05-27,21.95
2013-05-28,22.2
2013-05-29,21.55
2013-05-30,21.15
2013-05-31,20.85
2013-06-03,21.5
2013-06-04,21.15
2013-06-05,20.0
2013-06-06,20.0
2013-06-07,20.0
2013-06-10,19.65
2013-06-11,19.1
2013-06-12,19.6
2013-06-13,18.9
2013-06-14,18.3
2013-06-17,18.15
2013-06-18,18.0
2013-06-19,19.05
2013-06-20,18.35
2013-06-21,18.45
2013-06-24,17.0
2013-06-25,16.35
2013-06-26,16.5
2013-06-27,17.1
2013-06-28,17.75
2013-07-01,18.4
2013-07-02,17.9
2013-07-03,16.9
2013-07-04,16.55
2013-07-05,16.6
2013-07-08,17.0
2013-07-09,17.25
2013-07-10,16.95
2013-07-11,17.0
2013-07-12,17.0
2013-07-15,16.9
2013-07-16,16.95
2013-07-17,17.0
2013-07-18,16.65
2013-07-19,16.7
2013-07-22,16.4
2013-07-23,16.4
2013-07-24,16.95
2013-07-25,16.5
2013-07-26,16.6
2013-07-29,16.1
2013-07-30,16.55
2013-07-31,15.9
2013-08-01,15.4
2013-08-02,15.8
2013-08-05,15.55
2013-08-06,14.25
2013-08-07,14.0
2013-08-08,16.05
2013-08-12,14.95
2013-08-13,15.05
2013-08-14,15.25
2013-08-16,14.95
2013-08-19,14.35
2013-08-20,14.1
2013-08-21,13.85
2013-08-22,13.75
2013-08-23,14.25
2013-08-26,14.75
2013-08-27,14.0
2013-08-28,14.0
2013-08-29,13.6
2013-09-02,14.3
2013-09-03,14.1
2013-09-04,14.0
2013-09-05,14.3
2013-09-06,14.35
2013-09-10,14.65
2013-09-11,14.85
2013-09-12,14.8
2013-09-13,14.65
2013-09-16,14.45
2013-09-17,14.7
2013-09-18,14.65
2013-09-19,14.5
2013-09-20,14.35
2013-09-23,14.25
2013-09-24,13.45
2013-09-25,14.3
2013-09-26,15.0
2013-09-27,14.9
2013-09-30,14.4
2013-10-01,14.5
2013-10-03,14.8
2013-10-04,15.0
2013-10-07,15.0
2013-10-08,15.55
2013-10-09,15.75
2013-10-10,16.65
2013-10-11,18.75
2013-10-14,18.9
2013-10-15,18.15
2013-10-17,17.55
2013-10-18,17.75
2013-10-21,18.25
2013-10-22,17.65
2013-10-23,18.25
2013-10-24,18.1
2013-10-25,18.0
2013-10-28,17.05
2013-10-29,17.0
2013-10-30,17.35
2013-10-31,16.9
2013-11-01,16.9
2013-11-03,18.0
2013-11-05,18.1
2013-11-06,18.05
2013-11-07,18.0
2013-11-08,17.5
2013-11-11,18.1
2013-11-12,18.25
2013-11-13,18.25
2013-11-14,17.95
2013-11-18,17.1
2013-11-19,17.8
2013-11-20,17.75
2013-11-21,18.15
2013-11-22,18.4
2013-11-25,18.25
2013-11-26,18.5
2013-11-27,18.35
2013-11-28,19.6
2013-11-29,20.55
2013-12-02,21.35
2013-12-03,21.0
2013-12-04,21.5
2013-12-05,21.5
2013-12-06,20.8
2013-12-09,20.35
2013-12-10,19.75
2013-12-11,22.8
2013-12-12,21.95
2013-12-13,21.45
2013-12-16,20.85
2013-12-17,19.85
2013-12-18,20.4
2013-12-19,19.8
2013-12-20,20.05
2013-12-23,20.1
2013-12-24,20.05
2013-12-26,21.35
2013-12-27,22.4
2013-12-30,21.2
2013-12-31,21.1
2014-01-01,21.35
2014-01-02,21.4
2014-01-03,20.85
2014-01-06,21.1
2014-01-07,21.05
2014-01-08,21.05
2014-01-09,21.6
2014-01-10,21.75
2014-01-13,21.9
2014-01-14,21.6
2014-01-15,21.0
2014-01-16,21.55
2014-01-17,20.9
2014-01-20,21.35
2014-01-21,20.6
2014-01-22,20.8
2014-01-23,20.95
2014-01-24,20.65
2014-01-27,20.5
2014-01-28,20.55
2014-01-29,20.2
2014-01-30,19.4
2014-01-31,19.2
2014-02-03,19.75
2014-02-04,19.85
2014-02-05,20.25
2014-02-06,19.95
2014-02-07,20.3
2014-02-10,19.5
2014-02-11,18.3
2014-02-12,17.9
2014-02-13,17.4
2014-02-14,16.5
2014-02-17,16.05
2014-02-18,16.6
2014-02-19,17.2
2014-02-20,17.0
2014-02-21,17.2
2014-02-24,16.85
2014-02-25,16.7
2014-02-26,17.0
2014-02-28,16.85
2014-03-03,16.9
2014-03-04,17.05
2014-03-05,17.4
2014-03-06,17.25
2014-03-07,17.25
2014-03-10,17.05
2014-03-11,17.15
2014-03-12,17.05
2014-03-13,17.45
2014-03-14,17.05
2014-03-18,17.4
2014-03-19,17.3
2014-03-20,17.15
2014-03-21,17.35
2014-03-22,18.4
2014-03-24,22.05
2014-03-25,25.9
2014-03-26,25.3
2014-03-27,27.8
2014-03-28,30.55
2014-03-31,33.6
2014-04-01,35.25
2014-04-02,37.0
2014-04-03,35.15
2014-04-04,33.4
2014-04-07,31.75
2014-04-09,30.2
2014-04-10,31.0
2014-04-11,31.0
2014-06-30,31.95
2014-07-01,33.5
2014-07-02,33.2
2014-07-03,32.0
2014-07-04,32.35
2014-07-07,32.0
2014-07-08,31.45
2014-07-09,30.75
2014-07-10,32.25
2014-07-11,31.35
2014-07-14,30.25
2014-07-15,31.15
2014-07-16,31.4
2014-07-17,31.95
2014-07-18,32.65
2014-07-21,34.05
2014-07-22,33.8
2014-07-23,32.6
2014-07-24,33.35
2014-07-25,32.0
2014-07-28,31.25
2014-07-30,30.45
2014-07-31,30.85
2014-08-01,30.9
2014-08-04,31.2
2014-08-05,31.4
2014-08-06,31.15
2014-08-07,31.35
2014-08-08,30.9
2014-08-11,30.9
2014-08-12,30.2
2014-08-13,27.8
2014-08-14,26.95
2014-08-18,26.85
2014-08-19,26.95
2014-08-20,26.8
2014-08-21,28.95
2014-08-22,27.9
2014-08-25,27.05
2014-08-26,27.35
2014-08-27,27.6
2014-08-28,27.3
2014-09-01,27.0
2014-09-02,26.75
2014-09-03,26.85
2014-09-04,26.35
2014-09-05,27.5
2014-09-08,33.0
2014-09-09,33.15
2014-09-10,31.45
2014-09-11,31.35
2014-09-12,32.15
2014-09-15,31.9
2014-09-16,29.25
2014-09-17,29.0
2014-09-18,29.8
2014-09-19,29.4
2014-09-22,35.25
2014-09-23,38.8
2014-09-24,37.65
2014-09-25,35.7
2014-09-26,33.35
2014-09-29,33.85
2014-09-30,34.9
2014-10-01,33.8
2014-10-07,32.3
2014-10-08,32.1
2014-10-09,32.7
2014-10-10,32.25
2014-10-13,33.65
2014-10-14,32.3
2014-10-16,32.05
2014-10-17,30.85
2014-10-20,30.8
2014-10-21,31.0
2014-10-22,31.05
2014-10-23,32.15
2014-10-27,32.25
2014-10-28,32.85
2014-10-29,34.15
2014-10-30,33.75
2014-10-31,34.35
2014-11-03,34.05
2014-11-05,35.15
2014-11-07,35.0
2014-11-10,34.15
2014-11-11,33.95
2014-11-12,34.05
2014-11-13,29.75
2014-11-14,30.2
2014-11-17,30.65
2014-11-18,30.7
2014-11-19,30.05
2014-11-20,29.45
2014-11-21,29.35
2014-11-24,29.0
2014-11-25,28.15
2014-11-26,29.0
2014-11-27,28.35
2014-11-28,28.45
2014-12-01,27.7
2014-12-02,29.25
2014-12-03,30.2
2014-12-04,29.8
2014-12-05,30.3
2014-12-08,29.6
2014-12-09,28.7
2014-12-10,28.6
2014-12-11,28.35
2014-12-12,28.15
2014-12-15,27.85
2014-12-16,25.4
2014-12-17,26.0
2014-12-18,25.95
2014-12-19,26.5
2014-12-22,26.1
2014-12-23,26.6
2014-12-24,27.3
2014-12-26,26.65
2014-12-29,26.55
2014-12-30,28.8
2014-12-31,27.95
2015-01-01,28.1
2015-01-02,28.35
2015-01-05,28.2
2015-01-06,26.75
2015-01-07,26.55
2015-01-08,26.6
2015-01-09,26.85
2015-01-12,27.05
2015-01-13,25.8
2015-01-14,26.6
2015-01-15,26.25
2015-01-16,25.65
2015-01-19,29.4
2015-01-20,30.9
2015-01-21,31.9
2015-01-22,31.25
2015-01-23,30.75
2015-01-27,30.5
2015-01-28,30.65
2015-01-29,30.5
2015-01-30,29.8
2015-02-02,29.4
2015-02-03,29.05
2015-02-04,31.55
2015-02-05,30.15
2015-02-06,29.2
2015-02-09,28.25
2015-02-10,28.55
2015-02-11,29.3
2015-02-12,29.0
2015-02-13,28.85
2015-02-16,28.4
2015-02-18,29.0
2015-02-19,28.7
2015-02-20,28.8
2015-02-23,29.4
2015-02-24,28.45
2015-02-25,28.5
2015-02-26,27.95
2015-02-27,27.7
2015-02-28,27.9
2015-03-02,27.8
2015-03-03,28.4
2015-03-04,27.75
2015-03-05,27.4
2015-03-09,27.2
2015-03-10,27.3
2015-03-11,27.05
2015-03-12,26.55
2015-03-13,26.85
2015-03-16,26.1
2015-03-17,26.75
2015-03-18,25.65
2015-03-19,26.85
2015-03-20,25.85
2015-03-23,25.15
2015-03-24,24.3
2015-03-25,24.65
2015-03-26,23.35
2015-03-27,26.85
2015-03-30,26.9
2015-03-31,30.1
2015-04-01,30.15
2015-04-06,29.1
2015-04-07,30.15
2015-04-08,29.1
2015-04-09,29.65
2015-04-10,30.55
2015-04-13,30.1
2015-04-15,30.7
2015-04-16,29.85
2015-04-17,29.8
2015-04-20,28.15
2015-04-21,27.85
2015-04-22,27.8
