Date,ATULAUTO
2013-06-26,188.0
2013-06-27,184.9
2013-06-28,185.0
2013-07-01,188.8
2013-07-02,194.5
2013-07-03,186.8
2013-07-04,192.0
2013-07-05,190.0
2013-07-08,187.9
2013-07-09,188.0
2013-07-10,191.7
2013-07-11,190.0
2013-07-12,190.0
2013-07-15,190.75
2013-07-16,187.8
2013-07-17,190.0
2013-07-18,191.45
2013-07-19,193.45
2013-07-22,194.5
2013-07-23,190.0
2013-07-24,191.25
2013-07-25,189.7
2013-07-26,185.3
2013-07-29,183.5
2013-07-30,182.75
2013-07-31,178.1
2013-08-01,182.45
2013-08-02,184.0
2013-08-05,182.0
2013-08-06,173.2
2013-08-07,183.0
2013-08-08,168.35
2013-08-12,180.1
2013-08-13,174.9
2013-08-14,176.75
2013-08-16,168.45
2013-08-19,160.1
2013-08-20,163.6
2013-08-21,158.45
2013-08-22,159.95
2013-08-23,153.85
2013-08-26,155.0
2013-08-27,153.4
2013-08-28,152.05
2013-08-29,149.0
2013-08-30,153.7
2013-09-02,169.85
2013-09-03,163.85
2013-09-04,170.0
2013-09-05,168.5
2013-09-06,165.25
2013-09-10,173.95
2013-09-11,174.65
2013-09-12,172.1
2013-09-13,176.2
2013-09-16,177.15
2013-09-17,178.5
2013-09-18,179.0
2013-09-19,177.4
2013-09-20,185.0
2013-09-23,179.8
2013-09-24,179.5
2013-09-25,179.8
2013-09-26,180.0
2013-09-27,180.0
2013-09-30,182.0
2013-10-01,189.9
2013-10-03,188.25
2013-10-04,192.75
2013-10-07,197.4
2013-10-08,201.15
2013-10-09,202.0
2013-10-10,205.0
2013-10-11,206.95
2013-10-14,227.6
2013-10-15,222.7
2013-10-17,227.1
2013-10-18,225.8
2013-10-21,225.15
2013-10-22,239.95
2013-10-23,246.15
2013-10-24,242.25
2013-10-25,245.6
2013-10-28,233.3
2013-10-29,236.8
2013-10-30,243.3
2013-10-31,243.9
2013-11-01,252.25
2013-11-03,258.5
2013-11-05,259.0
2013-11-06,288.05
2013-11-07,286.9
2013-11-08,283.65
2013-11-11,278.9
2013-11-12,270.5
2013-11-13,270.75
2013-11-14,276.4
2013-11-18,277.55
2013-11-19,284.15
2013-11-20,294.8
2013-11-21,293.4
2013-11-22,309.35
2013-11-25,307.1
2013-11-26,301.6
2013-11-27,293.0
2013-11-28,295.8
2014-03-03,298.1
2014-03-04,306.85
2014-03-05,302.95
2014-03-06,318.0
2014-03-07,321.1
2014-03-10,320.95
2014-03-11,316.0
2014-03-12,316.85
2014-03-13,317.25
2014-03-14,310.9
