Date,ARCOTECH
2014-04-16,175.0
2014-04-17,176.0
2014-04-21,179.55
2014-04-22,187.2
2014-04-23,189.1
2014-04-25,190.55
2014-04-28,208.9
2014-04-29,250.65
2014-04-30,250.05
2014-05-02,257.6
2014-05-05,242.45
2014-05-06,247.0
2014-05-07,249.55
2014-05-08,248.3
2014-05-09,249.3
2014-05-12,245.5
2014-05-13,259.25
2014-05-14,250.35
2014-05-15,252.4
2014-05-16,254.4
2014-05-19,255.9
2014-05-20,256.45
2014-05-21,257.2
2014-05-22,261.25
2014-05-23,261.85
2014-05-26,266.0
2014-05-27,260.35
2014-05-28,258.85
2014-05-29,255.8
2014-05-30,254.75
2014-06-02,255.55
2014-06-03,256.1
2014-06-04,255.3
2014-06-05,258.15
2014-06-06,260.25
2014-06-09,262.35
2014-06-10,259.5
2014-06-11,259.0
2014-06-12,257.5
2014-06-13,257.5
2014-06-16,264.2
2014-06-17,268.85
2014-06-18,272.85
2014-06-19,275.0
2014-06-20,281.7
2014-06-23,288.0
2014-06-24,301.15
2014-06-25,300.75
2014-06-26,301.5
2014-06-27,306.0
2014-06-30,305.95
2014-07-01,304.25
2014-07-02,305.1
2014-07-03,305.65
2014-07-04,307.3
2014-07-07,313.85
2014-07-08,312.4
2014-07-09,312.9
2014-07-10,318.3
2014-07-11,317.0
2014-07-14,316.4
2014-07-15,320.1
2014-07-16,319.8
2014-07-17,320.0
2014-07-18,320.8
2014-07-21,323.05
2014-07-22,327.8
2014-07-23,331.0
2014-07-24,330.35
2014-07-25,330.0
2014-07-28,328.95
2014-07-30,329.95
2014-07-31,330.35
2014-08-01,334.95
2014-08-04,339.0
2014-08-05,348.0
2014-08-06,346.45
2014-08-07,347.6
2014-08-08,346.15
2014-08-11,349.7
2014-08-12,370.0
2014-08-13,365.05
2014-08-14,364.5
2014-08-18,365.75
2014-08-19,367.05
2014-08-20,366.75
2014-08-21,366.95
2014-08-22,368.0
2014-08-25,368.25
2014-08-26,366.45
2014-08-27,368.0
2014-08-28,366.7
2014-09-01,368.5
2014-09-02,370.5
2014-09-03,367.3
2014-09-04,362.3
2014-09-05,362.6
2014-09-08,365.1
2014-09-09,362.35
2014-09-10,361.65
2014-09-11,367.75
2014-09-12,364.25
2014-09-15,362.0
2014-09-16,362.35
2014-09-17,363.35
2014-09-18,363.8
2014-09-19,364.65
2014-09-22,364.95
2014-09-23,363.3
2014-09-24,374.65
2014-09-25,373.2
2014-09-26,380.65
2014-09-29,370.0
2014-09-30,379.9
2014-10-01,375.85
2014-10-07,371.2
2014-10-08,373.25
2014-10-09,385.1
2014-10-10,394.35
2014-10-13,399.35
2014-10-14,396.4
2014-10-16,389.1
2014-10-17,394.55
2014-10-20,394.35
2014-10-21,389.75
2014-10-22,364.95
2014-10-23,379.9
2014-10-27,377.2
2014-10-28,380.25
2014-10-29,380.5
2014-10-30,386.35
2014-10-31,387.6
2014-11-03,382.55
2014-11-05,383.05
2014-11-07,382.3
2014-11-10,381.8
2014-11-11,382.2
2014-11-12,383.45
2014-11-13,383.45
2014-11-14,386.8
2014-11-17,380.95
2014-11-18,371.7
2014-11-19,373.85
2014-11-20,372.65
2014-11-21,374.0
2014-11-24,375.65
2014-11-25,371.4
2014-11-26,371.55
2014-11-27,373.0
2014-11-28,373.65
2014-12-01,368.35
2014-12-02,366.3
2014-12-03,371.8
2014-12-04,372.5
2014-12-05,366.75
2014-12-08,363.7
2014-12-09,362.45
2014-12-10,366.25
2014-12-11,365.3
2014-12-12,363.4
2014-12-15,355.45
2014-12-16,352.85
2014-12-17,351.2
2014-12-18,357.8
2014-12-19,358.85
2014-12-22,359.55
2014-12-23,353.45
2014-12-24,352.85
2014-12-26,353.35
2014-12-29,353.5
2014-12-30,352.35
