Date,IMFA
2013-01-01,267.65
2013-01-02,269.85
2013-01-03,293.2
2013-01-04,297.95
2013-01-07,299.35
2013-01-08,297.65
2013-01-09,294.0
2013-01-10,290.05
2013-01-11,291.65
2013-01-14,295.0
2013-01-15,295.6
2013-01-16,289.3
2013-01-17,283.7
2013-01-18,293.8
2013-01-21,284.0
2013-01-22,281.7
2013-01-23,284.9
2013-01-24,277.25
2013-01-25,281.15
2013-01-28,285.8
2013-01-29,283.7
2013-01-30,282.15
2013-01-31,290.3
2013-02-01,289.1
2013-02-04,280.1
2013-02-05,284.75
2013-02-06,290.25
2013-02-07,283.55
2013-02-08,280.2
2013-02-11,280.4
2013-02-12,279.95
2013-02-13,279.75
2013-02-14,275.25
2013-02-15,270.05
2013-02-18,273.3
2013-02-19,285.55
2013-02-20,288.0
2013-02-21,280.5
2013-02-22,287.3
2013-02-25,287.85
2013-02-26,279.95
2013-02-27,272.35
2013-02-28,270.05
2013-03-01,269.6
2013-03-04,262.2
2013-03-05,263.2
2013-03-06,264.3
2013-03-07,264.7
2013-03-08,264.9
2013-03-11,268.6
2013-03-12,267.45
2013-03-13,267.05
2013-03-14,264.05
2013-03-15,259.5
2013-03-18,256.05
2013-03-19,245.45
2013-03-20,229.45
2013-03-21,230.05
2013-03-22,237.95
2013-03-25,231.0
2013-03-26,225.75
2013-03-28,225.65
2013-04-01,239.05
2013-04-02,255.75
2013-04-03,248.8
2013-04-04,241.1
2013-04-05,245.55
2013-04-08,239.85
2013-04-09,241.6
2013-04-10,235.85
2013-04-11,237.9
2013-04-12,238.25
2013-04-15,240.15
2013-04-16,229.8
2013-04-17,232.8
2013-04-18,231.0
2013-04-22,240.75
2013-04-23,213.95
2013-04-25,224.45
2013-04-26,225.4
2013-04-29,222.15
2013-04-30,224.85
2013-05-02,225.8
2013-05-03,223.05
2013-05-06,221.0
2013-05-07,219.3
2013-05-08,227.55
2013-05-09,225.4
2013-05-10,225.8
2013-05-11,229.25
2013-05-13,224.75
2013-05-14,226.05
2013-05-15,233.75
2013-05-16,221.0
2013-05-17,217.1
2013-05-20,218.95
2013-05-21,216.55
2013-05-22,215.95
2013-05-23,218.7
2013-05-24,219.55
2013-05-27,214.5
2013-05-28,212.3
2013-05-29,211.65
2013-05-30,215.3
2013-05-31,210.0
2013-06-03,210.2
2013-06-04,204.05
2013-06-05,201.5
2013-06-06,201.55
2013-06-07,199.4
2013-06-10,196.95
2013-06-11,191.3
2013-06-12,193.05
2013-06-13,187.55
2013-06-14,191.95
2013-06-17,187.25
2013-06-18,193.45
2013-06-19,196.95
2013-06-20,188.5
2013-06-21,189.45
2013-06-24,190.3
2013-06-25,189.05
2013-06-26,192.35
2013-06-27,187.85
2013-06-28,188.1
2013-07-01,189.75
2013-07-02,186.9
2013-07-03,188.85
2013-07-04,185.8
2013-07-05,186.1
2013-07-08,186.15
2013-07-09,183.95
2013-07-10,183.4
2013-07-11,188.6
2013-07-12,187.0
2013-07-15,184.05
2013-07-16,183.85
2013-07-17,183.15
2013-07-18,180.7
2013-07-19,181.05
2013-07-22,182.3
2013-07-23,184.45
2013-07-24,178.05
2013-07-25,177.05
2013-07-26,172.8
2013-07-29,172.1
2013-07-30,159.15
2013-07-31,156.8
2013-08-01,152.25
2013-08-02,142.6
2013-08-05,147.65
2013-08-06,138.9
2013-08-07,139.5
2013-08-08,142.95
2013-08-12,171.4
2013-08-13,184.0
2013-08-14,193.3
2013-08-16,191.5
2013-08-19,190.15
2013-08-20,196.25
2013-08-21,181.5
2013-08-22,183.4
2013-08-23,187.3
2013-08-26,183.7
2013-08-27,186.6
2013-08-28,192.15
2013-08-29,228.7
2013-08-30,216.4
2013-09-02,216.0
2013-09-03,215.9
2013-09-04,228.25
2013-09-05,249.35
2013-09-06,256.85
2013-09-10,258.05
2013-09-11,250.2
2013-09-12,244.55
2013-09-13,231.95
2013-09-16,232.85
2013-09-17,231.05
2013-09-18,224.55
2013-09-19,226.8
2013-09-20,218.9
2013-09-23,217.7
2013-09-24,213.3
2013-09-25,213.35
2013-09-26,216.6
2013-09-27,212.0
2013-09-30,210.0
2013-10-01,211.0
2013-10-03,213.0
2013-10-04,216.65
2013-10-07,214.4
2013-10-08,220.55
2013-10-09,227.35
2013-10-10,229.05
2013-10-11,226.0
2013-10-14,221.95
2013-10-15,221.1
2013-10-17,221.95
2013-10-18,226.0
2013-10-21,219.9
2013-10-22,220.0
2013-10-23,220.0
2013-10-24,221.75
2013-10-25,219.0
2013-10-28,213.55
2013-10-29,219.15
2013-10-30,210.1
2013-10-31,220.4
2013-11-01,218.95
2013-11-03,226.15
2013-11-05,230.5
2013-11-06,225.2
2013-11-07,233.2
2013-11-08,233.3
2013-11-11,233.5
2013-11-12,221.65
2013-11-13,214.85
2013-11-14,210.7
2013-11-18,211.85
2013-11-19,217.05
2013-11-20,219.45
2013-11-21,216.0
2013-11-22,217.95
2013-11-25,223.8
2013-11-26,219.05
2013-11-27,222.25
2013-11-28,220.4
2013-11-29,221.9
2013-12-02,222.95
2013-12-03,218.25
2013-12-04,221.0
2013-12-05,216.0
2013-12-06,218.25
2013-12-09,215.3
2013-12-10,210.3
2013-12-11,210.35
2013-12-12,208.8
2013-12-13,209.55
2013-12-16,209.0
2013-12-17,205.3
2013-12-18,203.95
2013-12-19,204.55
2013-12-20,206.7
2013-12-23,205.0
2013-12-24,207.75
2013-12-26,205.8
2013-12-27,206.0
2013-12-30,202.65
2013-12-31,206.1
2014-01-01,214.35
2014-01-02,209.0
2014-01-03,206.0
2014-01-06,205.4
2014-01-07,206.75
2014-01-08,216.95
2014-01-09,210.15
2014-01-10,206.5
2014-01-13,205.7
2014-01-14,211.8
2014-01-15,226.35
2014-01-16,224.25
2014-01-17,220.65
2014-01-20,220.05
2014-01-21,222.1
2014-01-22,216.0
2014-01-23,225.55
2014-01-24,212.1
2014-01-27,204.5
2014-01-28,205.95
2014-01-29,202.25
2014-01-30,199.85
2014-01-31,200.1
2014-02-03,202.5
2014-02-04,201.35
2014-02-05,199.4
2014-02-06,192.95
2014-02-07,192.0
2014-02-10,194.0
2014-02-11,196.9
2014-02-12,193.85
2014-02-13,190.25
2014-02-14,187.15
2014-02-17,188.0
2014-02-18,195.35
2014-02-19,189.25
2014-02-20,187.25
2014-02-21,188.0
2014-02-24,187.0
2014-02-25,189.5
2014-02-26,189.85
2014-02-28,187.2
2014-03-03,189.25
2014-03-04,193.85
2014-03-05,189.7
2014-03-06,196.1
2014-03-07,200.15
2014-03-10,201.75
2014-03-11,200.55
2014-03-12,196.0
2014-03-13,201.0
2014-03-14,198.0
2014-03-18,234.35
2014-03-19,220.9
2014-03-20,217.05
2014-03-21,249.4
2014-03-22,247.05
2014-03-24,230.35
2014-03-25,239.45
2014-03-26,237.0
2014-03-27,236.85
2014-03-28,240.0
2014-03-31,255.95
2014-04-01,261.2
2014-04-02,260.4
2014-04-03,252.15
2014-04-04,262.2
2014-04-07,256.25
2014-04-09,263.95
2014-04-10,259.9
2014-04-11,265.75
2014-04-15,269.7
2014-04-16,284.15
2014-04-17,289.25
2014-04-21,289.45
2014-04-22,290.1
2014-04-23,279.1
2014-04-25,266.8
2014-04-28,270.1
2014-04-29,267.1
2014-04-30,255.35
2014-05-02,254.15
2014-05-05,244.65
2014-05-06,248.7
2014-05-07,252.7
2014-05-08,251.45
2014-05-09,250.55
2014-05-12,260.8
2014-05-13,263.85
2014-05-14,270.0
2014-05-15,276.5
2014-05-16,286.45
2014-05-19,343.7
2014-05-20,379.25
2014-05-21,382.25
2014-05-22,411.4
2014-05-23,439.25
2014-05-26,422.5
2014-05-27,428.05
2014-05-28,435.35
2014-05-29,413.85
2014-05-30,407.9
2014-06-02,401.5
2014-06-03,400.35
2014-06-04,399.55
2014-06-05,394.5
2014-06-06,386.25
2014-06-09,416.0
2014-06-10,419.85
2014-06-11,424.1
2014-06-12,420.35
2014-06-13,424.85
2014-06-16,411.3
2014-06-17,415.55
2014-06-18,416.05
2014-06-19,403.45
2014-06-20,388.9
2014-06-23,384.85
2014-06-24,399.25
2014-06-25,401.35
2014-06-26,398.4
2014-06-27,399.65
2014-06-30,405.0
2014-07-01,416.65
2014-07-02,411.5
2014-07-03,403.5
2014-07-04,406.85
2014-07-07,404.6
2014-07-08,414.55
2014-07-09,400.0
2014-07-10,405.45
2014-07-11,375.85
2014-07-14,374.0
2014-07-15,391.35
2014-07-16,391.0
2014-07-17,382.3
2014-07-18,375.0
2014-07-21,401.0
2014-07-22,378.5
2014-07-23,377.7
2014-07-24,371.0
2014-07-25,365.05
2014-07-28,356.6
2014-07-30,362.2
2014-07-31,360.1
2014-08-01,363.15
2014-08-04,361.9
2014-08-05,361.4
2014-08-06,369.45
2014-08-07,362.1
2014-08-08,362.0
2014-08-11,360.1
2014-08-12,359.75
2014-08-13,372.65
2014-08-14,388.8
2014-08-18,392.7
2014-08-19,391.0
2014-08-20,385.6
2014-08-21,376.8
