Date,SHAHALLOYS
2013-01-01,6.75
2013-01-02,6.75
2013-01-03,7.05
2013-01-04,7.25
2013-01-07,7.25
2013-01-08,7.0
2013-01-09,7.0
2013-01-11,7.0
2013-01-15,7.0
2013-01-16,7.0
2013-01-18,6.7
2013-01-21,6.9
2013-01-22,6.6
2013-01-23,6.7
2013-01-24,6.5
2013-01-25,6.8
2013-01-29,6.55
2013-01-30,6.25
2013-01-31,6.55
2013-02-01,6.85
2013-02-04,7.15
2013-02-05,6.8
2013-02-06,7.0
2013-02-07,7.0
2013-02-08,6.65
2013-02-11,6.5
2013-02-13,6.2
2013-02-14,5.9
2013-02-15,5.8
2013-02-18,6.05
2013-02-19,5.85
2013-02-20,5.65
2013-02-21,5.9
2013-02-22,5.65
2013-02-25,5.5
2013-02-26,5.25
2013-02-27,5.3
2013-02-28,5.05
2013-03-01,5.0
2013-03-04,4.75
2013-03-05,4.75
2013-03-06,4.95
2013-03-08,5.0
2013-03-11,5.25
2013-03-12,5.15
2013-03-13,5.15
2013-03-15,5.35
2013-03-18,5.4
2013-03-19,5.3
2013-03-20,5.05
2013-04-01,4.45
2013-04-02,4.65
2013-04-03,4.65
2013-04-04,4.65
2013-04-05,4.75
2013-04-12,4.9
2013-04-25,5.0
2013-05-07,5.0
2013-05-09,5.25
2013-07-23,5.5
2013-08-26,5.25
2013-08-27,5.0
2013-08-28,5.2
2013-12-02,4.75
2013-12-09,4.95
2013-12-10,5.15
2013-12-11,4.9
2013-12-19,5.05
2013-12-31,5.25
2014-01-17,5.0
2014-01-20,4.75
2014-01-21,4.75
2014-01-22,4.75
2014-01-23,4.75
2014-01-24,4.75
2014-01-27,4.55
2014-01-29,4.35
2014-01-30,4.55
2014-02-03,4.75
2014-02-04,4.95
2014-02-05,4.85
2014-02-06,4.85
2014-02-07,5.05
2014-02-11,4.8
2014-02-12,4.9
2014-02-13,5.1
2014-02-14,5.1
2014-02-18,4.85
2014-02-19,4.65
2014-02-20,4.45
2014-02-21,4.3
2014-02-24,4.15
2014-02-25,4.35
2014-02-26,4.2
2014-02-28,4.25
2014-08-06,10.05
2014-08-07,9.95
2014-08-08,9.95
