Date,LUMAXTECH
2013-01-01,159.7
2013-01-02,158.05
2013-01-03,156.2
2013-01-04,156.95
2013-01-07,155.95
2013-01-08,156.4
2013-01-09,155.0
2013-01-10,154.0
2013-01-11,152.95
2013-01-14,153.95
2013-01-15,151.95
2013-01-16,150.15
2013-01-17,151.2
2013-01-18,148.15
2013-01-21,148.0
2013-01-22,149.2
2013-01-23,153.45
2013-01-24,152.35
2013-01-25,151.8
2013-01-28,149.45
2013-01-29,149.0
2013-01-30,146.15
2013-01-31,146.0
2013-02-01,145.0
2013-02-04,149.8
2013-02-05,149.05
2013-02-06,148.0
2013-02-07,148.0
2013-02-08,144.0
2013-02-11,144.95
2013-02-12,143.55
2013-02-13,139.55
2013-02-14,142.65
2013-02-15,142.4
2013-02-18,145.5
2013-02-19,148.05
2013-02-20,149.05
2013-02-21,146.9
2013-02-22,149.7
2013-02-25,148.05
2013-02-26,148.35
2013-02-27,146.2
2013-02-28,146.25
2013-03-01,146.5
2013-03-04,142.85
2013-03-05,140.7
2013-03-06,142.9
2013-03-07,147.65
2013-03-08,147.25
2013-03-11,145.0
2013-03-12,144.9
2013-03-13,141.7
2013-03-14,142.85
2013-03-15,143.15
2013-03-18,145.5
2013-03-19,142.35
2013-03-20,140.15
2013-03-21,136.25
2013-03-22,135.0
2013-03-25,138.0
2013-03-26,134.95
2013-03-28,133.75
2013-04-01,136.05
2013-04-02,137.75
2013-04-03,139.8
2013-04-04,137.9
2013-04-08,135.3
2013-04-09,136.7
2013-04-10,133.65
2013-04-11,135.15
2013-04-12,130.85
2013-04-15,131.15
2013-04-16,129.75
2013-04-17,126.3
2013-04-18,127.6
2013-04-22,131.0
2013-04-23,136.35
2013-04-25,136.6
2013-04-26,135.0
2013-04-29,135.45
2013-04-30,134.25
2013-05-02,135.75
2013-05-03,133.0
2013-05-06,129.7
2013-05-07,131.35
2013-05-08,131.05
2013-05-09,127.55
2013-05-10,127.4
2013-05-11,126.4
2013-05-13,125.45
2013-05-14,128.4
2013-05-15,126.75
2013-05-16,121.35
2013-05-17,123.75
2013-05-20,123.0
2013-05-21,122.75
2013-05-22,124.15
2013-05-23,122.85
2013-05-24,119.85
2013-05-27,117.9
