Date,CNOVAPETRO
2014-02-03,18.5
2014-02-04,18.0
2014-02-05,18.0
2014-02-06,18.0
2014-02-12,18.0
2014-02-18,18.0
2014-02-19,18.0
2014-02-20,18.0
2014-02-21,18.0
2014-02-26,18.0
2014-03-04,18.0
2014-03-06,19.5
2014-03-07,19.0
2014-03-10,19.0
2014-03-12,19.8
2014-03-13,20.75
2014-03-14,21.0
2014-03-19,21.0
2014-03-21,22.0
2014-03-24,22.0
2014-03-25,23.0
2014-03-26,23.0
2014-03-28,23.8
2014-03-31,24.0
2014-04-01,24.05
2014-04-02,24.05
2014-04-03,24.9
2014-04-04,26.0
2014-04-07,26.0
2014-04-09,26.0
2014-04-10,27.0
2014-04-11,27.0
2014-04-15,27.0
2014-04-16,28.0
2014-04-17,28.05
2014-04-21,29.0
2014-04-22,29.0
2014-04-23,29.0
2014-04-28,30.0
2014-04-29,31.0
2014-04-30,30.1
2014-05-02,30.05
2014-05-05,30.0
2014-05-06,31.0
2014-05-07,31.0
2014-05-08,32.5
2014-05-09,32.5
2014-05-12,33.0
2014-05-13,33.0
2014-05-14,33.0
2014-05-15,31.0
2014-05-16,33.0
2014-05-19,32.95
2014-05-20,30.05
2014-05-21,32.65
2014-05-22,30.0
2014-05-23,29.0
2014-05-26,31.8
2014-05-27,28.65
2014-05-28,30.1
2014-05-29,28.0
2014-05-30,30.35
2014-06-02,28.3
2014-06-03,30.9
2014-06-04,32.0
2014-06-05,33.95
2014-06-06,30.6
2014-06-09,31.2
2014-06-10,29.6
2014-06-11,27.2
2014-06-12,27.6
2014-06-13,27.75
2014-06-16,27.0
2014-06-17,26.0
2014-06-18,24.95
2014-06-19,23.35
2014-06-20,24.0
2014-06-23,26.4
2014-06-24,25.8
2014-06-25,24.8
2014-06-26,23.2
2014-06-27,22.6
2014-06-30,23.55
2014-07-01,23.75
2014-07-02,23.15
2014-07-03,23.0
2014-07-04,24.15
2014-07-07,23.05
2014-07-08,22.05
2014-07-09,23.15
2014-07-10,24.3
2014-07-11,23.1
2014-07-14,23.5
2014-07-15,23.95
2014-07-16,24.5
2014-07-17,23.3
2014-07-18,23.0
2014-07-21,22.95
2014-07-22,23.5
2014-07-23,22.85
2014-07-24,22.85
2014-07-25,21.8
2014-07-28,22.0
2014-07-30,20.9
2014-07-31,19.9
2014-08-01,19.0
2014-08-04,18.5
2014-08-05,18.1
2014-08-06,17.65
