Date,MUTHOOTCAP
2015-08-24,149.8
2015-08-25,142.2
2015-08-26,135.15
2015-08-27,147.2
2015-08-28,148.9
2015-08-31,146.85
2015-09-01,145.1
2015-09-02,148.9
2015-09-03,144.0
2015-09-04,142.95
2015-09-07,139.7
2015-09-08,124.75
2015-09-09,130.0
2015-09-10,130.0
2015-09-11,130.0
2015-09-14,130.0
2015-09-15,131.1
2015-09-16,130.4
2015-09-18,136.0
2015-09-21,139.75
2015-09-22,127.55
2015-09-23,132.05
2015-09-24,143.0
2015-09-28,146.1
2015-09-29,143.4
2015-09-30,142.05
2015-10-01,146.0
2015-10-05,140.0
2015-10-06,147.9
2015-10-07,154.45
2015-10-08,157.3
2015-10-09,151.25
2015-10-12,150.15
2015-10-13,151.0
2015-10-14,153.0
2015-10-15,151.0
2015-10-16,149.25
2015-10-19,151.85
2015-10-20,150.15
2015-10-21,152.9
2015-10-23,154.7
2015-10-26,153.0
2015-10-27,155.0
2015-10-28,155.25
2015-10-29,152.0
2015-10-30,154.45
2015-11-02,147.45
2015-11-03,149.6
2015-11-04,147.45
2015-11-05,145.55
2015-11-06,149.75
2015-11-09,143.3
2015-11-10,147.1
2015-11-11,147.2
2015-11-13,154.1
2015-11-16,154.7
2015-11-17,148.35
2015-11-18,149.05
2015-11-19,150.25
2015-11-20,150.0
2015-11-23,153.95
2015-11-24,147.05
2015-11-26,153.65
2015-11-27,154.7
2015-11-30,154.05
2015-12-01,153.35
2015-12-02,151.3
2015-12-03,148.65
2015-12-04,148.0
2015-12-07,147.8
2015-12-08,146.6
2015-12-09,145.1
2015-12-10,144.8
2015-12-11,142.7
2015-12-14,144.0
2015-12-15,142.6
2015-12-16,143.15
2015-12-17,142.65
2015-12-18,144.9
2015-12-21,149.35
2015-12-22,151.65
2015-12-23,151.95
2015-12-24,151.9
2015-12-28,150.0
2015-12-29,150.9
2015-12-30,150.0
2015-12-31,150.8
2016-01-01,150.0
2016-01-04,151.0
2016-01-05,153.05
2016-01-06,151.0
2016-01-07,146.65
2016-01-08,147.0
2016-01-11,162.15
2016-01-12,160.6
2016-01-13,159.85
2016-01-14,157.65
2016-01-15,154.05
2016-01-18,150.75
2016-01-19,139.9
2016-01-20,137.5
2016-01-21,141.5
2016-01-22,145.1
2016-01-25,149.6
2016-01-27,152.0
2016-01-28,150.0
2016-01-29,147.95
2016-02-01,151.2
2016-02-02,147.5
2016-02-03,146.15
2016-02-04,143.0
2016-02-05,142.15
2016-02-08,142.6
2016-02-09,142.0
2016-02-10,140.4
2016-02-11,143.9
2016-02-12,134.35
2016-02-15,136.2
2016-02-16,136.0
2016-02-17,134.35
2016-02-18,133.15
2016-02-19,134.5
2016-02-22,146.35
2016-02-23,135.25
2016-02-24,135.0
2016-02-25,130.25
2016-02-26,135.0
2016-02-29,132.1
2016-03-01,134.4
2016-03-02,138.0
2016-03-03,136.9
2016-03-04,142.4
2016-03-08,144.35
2016-03-09,145.0
2016-03-10,149.85
2016-03-11,150.0
2016-03-14,150.0
2016-03-15,152.0
2016-03-16,151.95
2016-03-17,150.2
2016-03-18,149.1
2016-03-21,147.0
2016-03-22,144.0
2016-03-23,143.5
2016-03-28,147.15
2016-03-29,145.4
2016-03-30,145.0
2016-03-31,149.0
2016-04-01,151.2
2016-04-04,150.35
2016-04-05,150.0
2016-04-06,154.0
2016-04-07,155.0
2016-04-08,152.65
2016-04-11,151.2
2016-04-12,154.9
2016-04-13,152.8
2016-04-18,155.0
2016-04-20,164.5
2016-04-21,156.2
2016-04-22,156.4
2016-04-25,161.6
2016-04-26,167.05
2016-04-27,176.15
2016-04-28,180.15
2016-04-29,176.2
2016-05-02,177.2
2016-05-03,178.5
2016-05-04,175.45
2016-05-05,172.1
2016-05-06,173.75
2016-05-09,173.25
2016-05-10,170.25
2016-05-11,173.0
2016-05-12,175.25
2016-05-13,180.05
2016-05-16,182.7
2016-05-17,181.5
2016-05-18,187.3
2016-05-19,184.95
2016-05-20,180.25
2016-05-23,180.35
2016-05-24,179.45
2016-05-25,175.75
2016-05-26,178.0
2016-05-27,179.65
2016-05-30,182.5
2016-05-31,180.1
2016-06-01,181.65
2016-06-02,173.35
2016-06-03,176.2
2016-06-06,181.65
2016-06-07,180.45
2016-06-08,179.7
2016-06-09,174.0
2016-06-10,177.5
2016-06-13,172.9
2016-06-14,181.0
2016-06-15,203.9
2016-06-16,206.65
2016-06-17,204.05
2016-06-20,203.25
2016-06-21,203.2
2016-06-22,201.6
2016-06-23,206.3
2016-06-24,201.7
2016-06-27,218.85
2016-06-28,224.75
2016-06-29,221.7
2016-06-30,220.25
2016-07-01,211.55
2016-07-04,215.65
2016-07-05,212.6
2016-07-07,211.9
2016-07-08,213.55
2016-07-11,215.0
2016-07-12,215.6
2016-07-13,214.0
2016-07-14,208.5
2016-07-15,202.75
2016-07-18,203.3
2016-07-19,202.75
2016-07-20,200.4
2016-07-21,202.8
2016-07-22,209.5
2016-07-25,207.35
2016-07-26,211.6
2016-07-27,214.0
2016-07-28,223.6
2016-07-29,224.5
2016-08-01,226.7
2016-08-02,219.6
2016-08-03,208.4
2016-08-04,214.4
2016-08-05,212.8
2016-08-08,222.95
2016-08-09,215.4
2016-08-10,214.3
2016-08-11,210.45
2016-08-12,202.5
2016-08-16,200.3
2016-08-17,200.8
2016-08-18,205.75
2016-08-19,204.3
2016-08-22,202.6
2016-08-23,199.4
2016-08-24,199.45
2016-08-25,198.95
2016-08-26,200.2
2016-08-29,200.5
2016-08-30,202.35
2016-08-31,203.75
2016-09-01,202.0
2016-09-02,200.2
2016-09-06,200.05
2016-09-07,199.55
2016-09-08,198.5
2016-09-09,196.4
2016-09-12,193.35
2016-09-14,187.7
2016-09-15,188.3
2016-09-16,194.0
2016-09-19,189.85
2016-09-20,187.85
2016-09-21,186.5
2016-09-22,189.25
2016-09-23,185.45
2016-09-26,181.2
2016-09-27,178.5
2016-09-28,175.8
2016-09-29,171.45
2016-09-30,174.85
2016-10-03,180.15
2016-10-04,181.4
2016-10-05,181.95
2016-10-06,180.6
2016-10-07,179.45
2016-10-10,191.75
2016-10-13,191.65
2016-10-14,201.0
2016-10-17,221.6
2016-10-18,226.35
2016-10-19,231.1
2016-10-20,228.0
2016-10-21,231.85
2016-10-24,275.55
2016-10-25,327.15
2016-10-26,305.3
2016-10-27,313.5
2016-10-28,309.75
2016-10-30,313.35
2016-11-01,307.55
2016-11-02,300.65
2016-11-03,330.7
