Date,SYNCOM
2013-01-01,27.5
2013-01-02,28.0
2013-01-03,28.7
2013-01-04,27.0
2013-01-07,27.25
2013-01-08,26.85
2013-01-09,25.6
2013-01-10,27.2
2013-01-11,26.5
2013-01-14,26.8
2013-01-15,29.3
2013-01-16,30.35
2013-01-17,29.9
2013-01-18,29.05
2013-01-21,27.95
2013-01-22,29.35
2013-01-23,27.95
2013-01-24,25.65
2013-01-25,26.4
2013-01-28,25.9
2013-01-29,25.45
2013-01-30,25.15
2013-01-31,25.1
2013-02-01,25.2
2013-02-04,25.4
2013-02-05,25.25
2013-02-06,25.45
2013-02-07,24.05
2013-02-08,23.25
2013-02-11,23.55
2013-02-12,23.3
2013-02-13,24.2
2013-02-14,22.95
2013-02-15,21.7
2013-02-18,21.55
2013-02-19,21.95
2013-02-20,22.4
2013-02-21,21.1
2013-02-22,21.05
2013-02-25,21.05
2013-02-26,16.85
2013-02-27,13.5
2013-02-28,12.15
2013-03-01,10.95
2013-03-04,10.6
2013-03-05,10.1
2013-03-06,9.6
2013-03-07,9.2
2013-03-08,9.65
2013-03-11,10.1
2013-03-12,10.6
2013-03-13,11.1
2013-03-14,11.65
2013-03-15,12.2
2013-03-18,12.8
2013-03-19,13.05
2013-03-20,12.4
2013-03-21,11.8
2013-03-22,11.25
2013-03-25,10.7
2013-03-26,10.2
2013-03-28,9.75
2013-04-01,10.2
2013-06-14,7.5
2013-06-17,7.2
2013-06-18,7.05
2013-06-19,6.95
2013-06-20,6.9
2013-06-21,6.85
2013-06-24,6.75
2013-06-25,6.55
2013-06-26,6.4
2013-06-27,6.7
2013-06-28,7.0
2013-07-01,7.35
2013-07-02,7.65
2013-07-03,7.35
2013-07-04,7.5
2013-07-05,7.75
2013-07-08,7.75
2013-07-09,7.6
2013-07-10,8.3
2013-07-11,7.75
2013-07-12,7.35
2013-07-15,7.25
2013-07-16,7.95
2013-07-17,8.65
2013-07-18,7.8
2013-07-19,7.1
2013-07-22,6.5
