Date,SKMEGGPROD
2013-01-01,6.8
2013-01-02,6.9
2013-01-03,6.8
2013-01-04,6.95
2013-01-07,6.9
2013-01-08,6.55
2013-01-09,6.85
2013-01-10,6.55
2013-01-11,6.45
2013-01-14,6.5
2013-01-15,6.55
2013-01-16,6.35
2013-01-17,6.55
2013-01-18,6.15
2013-01-21,6.55
2013-01-22,6.35
2013-01-23,6.3
2013-01-24,6.2
2013-01-25,6.2
2013-01-28,6.15
2013-01-29,6.25
2013-01-30,6.2
2013-01-31,6.15
2013-02-01,5.8
2013-02-04,6.0
2013-02-05,5.95
2013-02-06,6.25
2013-02-07,6.0
2013-02-08,6.1
2013-02-11,6.2
2013-02-12,6.2
2013-02-13,6.2
2013-02-14,6.1
2013-02-15,6.25
2013-02-18,5.85
2013-02-19,5.8
2013-02-20,5.95
2013-02-21,6.0
2013-02-22,5.9
2013-02-25,5.65
2013-02-26,5.6
2013-02-27,5.75
2013-02-28,5.8
2013-03-01,5.85
2013-03-04,5.65
2013-03-05,5.75
2013-03-06,5.75
2013-03-07,5.8
2013-03-08,5.7
2013-03-11,5.6
2013-03-12,5.5
2013-03-13,5.85
2013-03-14,5.75
2013-03-15,5.9
2013-03-18,6.05
2013-03-19,5.85
2013-03-20,5.9
2013-03-21,5.9
2013-03-22,5.95
2013-03-25,5.7
2013-03-26,5.95
2013-03-28,5.85
2013-04-01,5.8
2013-04-02,5.75
2013-04-03,5.9
2013-04-04,5.95
2013-04-05,5.7
2013-04-09,6.0
2013-04-10,5.7
2013-04-11,5.8
2013-04-12,5.8
2013-04-15,5.55
2013-04-17,5.55
2013-04-18,6.65
2013-04-25,6.05
2013-04-26,6.85
2013-04-29,7.9
2013-05-02,6.7
2013-05-03,6.8
2013-05-06,6.15
2013-05-07,7.1
2013-05-10,6.45
2013-05-11,7.05
2013-05-14,7.5
2013-05-16,6.75
2013-05-17,7.15
2013-05-20,7.45
2013-05-24,7.9
2013-05-27,7.15
2013-05-28,6.55
2013-05-30,6.2
2013-05-31,6.0
2013-06-03,6.3
2013-06-04,6.0
2013-06-06,6.05
2013-06-07,5.75
2013-06-10,5.75
2013-06-11,5.75
2013-06-12,5.7
2013-06-13,5.95
2013-06-14,5.9
2013-06-17,5.8
2013-06-18,5.8
2013-06-19,5.7
2013-06-20,5.7
2013-06-21,5.8
2013-06-27,6.05
2013-06-28,6.35
2013-07-01,6.65
2013-07-03,6.35
2013-07-05,6.05
2013-07-11,5.75
2013-07-12,5.7
2013-07-15,5.6
2013-07-16,5.6
2013-07-18,5.85
2013-07-19,5.7
2013-07-22,5.95
2013-07-23,5.7
2013-07-24,5.55
2013-08-07,5.3
2013-08-08,5.2
2013-08-12,5.15
2013-08-13,5.15
2013-08-14,5.1
2013-08-16,5.35
2013-08-19,5.6
2013-08-21,5.85
2013-08-23,6.1
2013-08-26,5.9
2013-08-27,5.95
2013-08-29,5.85
2013-08-30,5.7
2013-09-03,5.95
2013-09-04,5.7
2013-09-06,5.7
2013-09-10,5.7
2013-09-11,5.45
2013-09-12,5.5
2013-09-17,5.75
2013-09-18,5.75
2013-09-19,5.75
2013-09-20,5.9
2013-09-23,6.15
2013-09-25,6.35
2013-09-26,6.45
2013-09-27,6.2
2013-10-01,6.1
2013-10-03,6.05
2013-10-04,5.95
2013-10-07,6.0
2013-10-08,6.0
2013-10-11,6.0
2013-10-14,6.0
2013-10-17,6.3
2013-10-18,6.5
2013-10-21,6.8
2013-10-22,6.5
2013-10-23,6.8
2013-10-28,7.1
2013-10-29,7.25
2013-10-30,6.9
2013-10-31,6.65
2013-11-01,6.4
2013-11-05,6.1
2013-11-06,6.2
2013-11-07,6.5
2013-11-08,6.8
2013-11-12,7.1
2013-11-13,6.8
2013-11-14,7.1
2013-11-18,6.95
2013-11-19,7.2
2013-11-20,6.85
2013-11-21,6.55
2013-11-22,6.35
2013-11-25,6.3
2013-11-26,6.1
2013-11-27,6.4
