Date,GILLANDERS
2013-03-01,71.8
2013-03-04,70.3
2013-03-05,72.05
2013-03-06,71.5
2013-03-07,73.35
2013-03-08,73.0
2013-03-11,72.0
2013-03-12,73.4
2013-03-13,70.85
2013-03-14,70.75
2013-03-15,70.55
2013-03-18,70.3
2013-03-19,69.05
2013-03-20,67.4
2013-03-21,67.3
2013-03-22,66.45
2013-03-25,66.5
2013-03-26,66.0
2013-03-28,66.8
2013-04-01,68.7
2013-04-02,72.2
2013-04-03,71.35
2013-04-04,69.6
2013-04-05,69.1
2013-04-08,67.4
2013-04-11,67.4
2013-04-12,67.6
2013-04-15,66.05
2013-04-17,66.2
2013-04-22,69.25
2013-04-23,67.5
2013-04-25,69.0
2013-04-26,69.5
2013-04-29,69.2
2013-04-30,70.2
2013-05-02,71.75
2013-05-03,71.7
2013-05-06,69.0
2013-05-07,68.3
2013-05-08,68.0
2013-05-09,69.0
2013-05-11,67.15
2013-05-15,67.1
2013-05-17,72.1
2013-05-20,69.3
2013-05-21,68.75
2013-05-22,69.0
2013-05-23,68.0
2013-05-27,67.5
2013-05-28,67.5
2013-05-30,67.6
2013-05-31,65.7
2013-06-03,75.0
2013-06-04,65.0
2013-06-05,65.0
2013-06-06,64.85
2013-06-07,66.0
2013-06-10,65.1
2013-06-11,65.1
2013-06-12,63.05
2013-06-17,61.1
2013-06-18,61.9
2013-06-19,60.25
2013-06-20,60.0
2013-06-21,59.25
2013-06-25,60.15
2013-06-26,63.5
2013-06-28,60.0
2013-07-02,59.95
2013-07-03,61.6
2013-07-05,61.6
2013-07-08,59.8
2013-07-09,61.3
2013-07-10,62.0
2013-07-11,58.85
2013-07-12,62.65
2013-07-16,60.0
2013-07-17,58.7
2013-07-18,59.5
2013-07-22,58.0
2013-07-23,57.9
2013-07-24,58.0
2013-07-25,56.9
2013-07-26,56.55
2013-07-29,56.0
2013-07-30,52.35
2013-08-01,53.05
2013-08-02,52.1
2013-08-07,54.4
2013-08-12,54.4
2013-08-13,54.0
2013-08-14,54.4
2013-08-16,52.4
2013-08-19,52.4
2013-08-20,54.4
2013-08-21,53.05
2013-08-22,52.05
2013-08-23,52.6
2013-08-26,54.4
2013-08-27,53.5
2013-08-28,55.0
