Date,SHARIABEES
2013-01-01,122.94
2013-01-02,125.8
2013-01-03,125.25
2013-01-04,123.5
2013-01-07,123.5
2013-01-08,123.6
2013-01-09,123.65
2013-01-10,126.0
2013-01-11,127.9
2013-01-14,125.0
2013-01-15,125.0
2013-01-16,127.0
2013-01-17,128.1
2013-01-18,128.3
2013-01-21,131.65
2013-01-22,130.69
2013-01-23,128.25
2013-01-24,131.0
2013-01-25,131.0
2013-01-28,127.76
2013-01-29,127.3
2013-01-30,127.2
2013-02-01,130.0
2013-02-04,126.99
2013-02-05,127.1
2013-02-06,127.05
2013-02-07,129.95
2013-02-08,127.01
2013-02-11,127.01
2013-02-12,127.13
2013-02-13,127.25
2013-02-14,124.61
2013-02-15,128.88
2013-02-18,129.93
2013-02-19,124.5
2013-02-25,129.27
2013-02-26,130.0
2013-02-27,129.95
2013-02-28,129.95
2013-03-01,129.19
2013-03-05,124.0
2013-03-07,124.0
2013-03-08,126.0
2013-03-12,124.6
2013-03-13,124.2
2013-03-14,121.35
2013-03-15,129.95
2013-03-19,125.0
2013-03-20,121.0
2013-03-21,119.45
2013-03-22,128.1
2013-03-25,119.25
2013-03-26,125.0
2013-03-28,114.18
2013-04-01,120.55
2013-04-04,123.0
2013-04-05,125.0
2013-04-08,120.0
2013-04-09,125.0
2013-04-10,125.0
2013-04-11,120.0
2013-04-15,117.05
2013-04-16,117.51
2013-04-17,123.0
2013-04-18,128.0
2013-04-22,126.0
2013-04-23,116.19
2013-04-25,124.0
2013-04-26,124.0
2013-04-30,121.0
2013-05-02,125.0
2013-05-03,125.0
2013-05-06,123.92
2013-05-07,123.0
2013-05-08,126.55
2013-05-09,120.55
2013-05-13,123.99
2013-05-14,122.0
2013-05-15,123.01
2013-05-16,125.98
2013-05-17,124.9
2013-05-20,130.0
2013-05-21,125.0
2013-05-23,116.63
2013-05-24,123.97
2013-05-27,123.5
2013-05-28,125.0
2013-05-29,124.0
2013-05-30,125.5
2013-06-03,124.72
2013-06-05,120.0
2013-06-06,122.99
2013-06-07,119.0
2013-06-12,118.15
2013-06-17,119.02
2013-06-21,127.79
2013-06-24,125.9
2013-06-26,119.0
2013-07-02,119.01
2013-07-03,118.5
2013-07-04,118.51
2013-07-05,120.0
2013-07-08,120.05
2013-07-18,125.0
2013-07-22,121.0
2013-07-23,130.0
2013-07-24,124.3
2013-07-25,128.81
2013-07-26,137.8
2013-07-29,133.95
2013-07-30,125.0
2013-07-31,131.5
2013-08-05,122.16
2013-08-06,127.95
2013-08-07,127.99
2013-08-08,134.0
2013-08-12,125.25
2013-08-13,126.25
2013-08-14,128.9
