Date,IITL
2013-01-01,144.95
2013-01-02,138.0
2013-01-03,144.0
2013-01-04,142.9
2013-01-07,135.8
2013-01-08,131.3
2013-01-11,137.4
2013-01-16,135.0
2013-01-17,131.0
2013-01-18,137.55
2013-01-21,142.0
2013-01-24,134.9
2013-01-25,130.0
2013-01-28,133.0
2013-01-29,132.0
2013-01-30,130.95
2013-01-31,133.75
2013-02-01,127.1
2013-02-05,120.8
2013-02-06,125.0
2013-02-07,124.0
2013-02-08,123.5
2013-02-15,120.0
2013-03-01,114.1
2013-03-05,108.4
2013-03-06,103.75
2013-03-11,108.9
2013-03-12,114.3
2013-03-13,108.8
2013-03-19,103.5
2013-03-20,98.5
2013-03-22,93.6
2013-03-25,88.95
2013-03-26,86.0
2013-03-28,81.7
2013-04-01,77.8
2013-04-02,80.0
2013-04-03,76.2
2013-04-04,72.75
2013-04-05,70.2
2013-06-04,73.7
2013-06-05,77.35
2013-06-06,81.2
2013-06-07,85.25
2013-06-10,89.5
2013-06-11,93.95
2013-08-05,89.3
2013-08-06,89.3
2013-08-27,89.3
2013-09-12,89.3
2013-10-01,84.85
2013-10-03,85.0
2013-10-30,80.75
2013-11-19,80.75
2013-12-18,77.5
2013-12-20,73.65
2013-12-23,70.0
2014-01-02,71.05
2014-01-03,72.95
2014-01-06,73.0
2014-01-08,74.0
2014-01-09,74.0
2014-01-13,74.0
2014-01-15,73.9
2014-01-22,70.5
2014-01-23,71.0
2014-01-24,70.0
2014-01-29,71.5
2014-02-03,70.9
2014-02-04,70.45
2014-02-10,69.0
2014-02-14,67.2
2014-02-17,64.0
2014-02-20,62.9
2014-02-21,60.0
2014-02-28,63.0
2014-03-03,60.2
2014-03-05,60.0
2014-03-07,59.0
2014-03-10,59.95
2014-03-11,62.0
2014-03-12,60.8
2014-03-14,58.15
2014-03-18,55.95
2014-03-19,53.25
2014-03-20,51.5
2014-03-21,52.5
2014-03-22,50.1
2014-03-24,51.0
2014-03-25,50.0
2014-03-26,52.5
2014-03-27,54.9
2014-03-28,54.05
2014-03-31,56.7
2014-04-01,59.4
2014-04-02,61.35
2014-04-03,62.3
2014-04-04,65.4
2014-04-07,65.85
2014-04-09,67.95
2014-04-10,64.6
2014-04-11,62.6
2014-04-15,64.0
2014-04-17,62.0
2014-04-21,62.0
2014-04-22,64.7
2014-04-25,61.8
2014-04-29,62.5
2014-04-30,61.65
2014-05-02,60.1
2014-05-05,57.6
2014-05-06,60.45
2014-05-07,58.0
2014-05-08,59.4
2014-05-09,59.0
2014-05-12,60.3
2014-05-13,60.0
2014-05-14,59.0
2014-05-16,54.2
2014-05-19,57.5
2014-05-20,63.25
2014-05-21,68.95
2014-05-22,72.15
2014-05-23,76.3
2014-05-26,76.5
2014-05-28,78.95
2014-05-29,76.25
2014-05-30,78.7
2014-06-02,75.7
2014-06-04,76.0
2014-06-05,77.95
2014-06-06,77.95
2014-06-09,78.6
2014-06-10,74.7
2014-06-11,77.9
2014-06-12,79.0
2014-06-13,76.7
2014-06-16,78.85
2014-06-17,79.55
2014-06-18,76.15
2014-06-19,77.2
2014-06-20,78.95
2014-06-23,82.85
2014-06-24,86.95
2014-06-25,91.25
2014-06-26,95.8
2014-06-27,100.55
2014-06-30,105.55
2014-07-01,110.8
2014-07-02,116.3
2014-07-03,114.8
2014-07-04,111.0
2014-07-07,105.45
2014-07-10,100.2
2014-07-14,95.2
2014-07-15,90.45
2014-07-16,87.4
2014-07-17,85.0
2014-07-18,85.0
2014-07-22,84.9
2014-07-23,84.0
2014-07-24,81.0
2014-07-25,82.35
2014-07-30,80.0
2014-07-31,77.0
2014-08-04,80.85
2014-08-05,83.5
2014-08-06,83.0
2014-08-07,83.5
2014-08-08,80.1
2014-08-11,80.35
2014-08-13,78.05
2014-08-14,78.1
2014-08-18,80.0
2014-08-19,83.55
2014-08-20,83.0
2014-08-21,82.0
2014-08-22,80.0
2014-08-25,82.95
2014-08-26,82.0
2014-08-27,78.95
2014-08-28,78.0
2014-09-01,78.85
2014-09-02,80.0
2014-09-03,80.0
2014-09-04,78.85
2014-09-05,80.1
2014-09-08,81.0
2014-09-09,79.55
2014-09-10,83.5
2014-09-11,87.0
2014-09-12,95.7
2014-09-15,97.2
2014-09-16,94.85
2014-09-17,93.5
2014-09-18,93.0
2014-09-19,92.9
2014-09-22,90.2
2014-09-23,90.0
2014-09-24,87.2
2014-09-25,86.1
2014-09-26,88.85
2014-09-29,84.75
2014-09-30,88.95
2014-10-01,88.15
2014-10-07,85.55
2014-10-16,89.0
2014-10-17,80.25
2014-10-23,88.25
2014-10-27,88.6
2014-10-28,90.9
2014-10-30,91.9
2014-10-31,88.0
2014-11-03,88.0
2014-11-07,88.0
2014-11-10,88.0
2014-11-11,85.95
2014-11-12,81.05
2014-11-14,80.1
2014-11-17,78.3
2014-11-19,78.0
2014-11-21,72.5
2014-11-24,75.15
2014-11-25,74.4
2014-11-27,76.0
2014-11-28,78.6
2014-12-01,76.0
2014-12-02,75.0
2014-12-03,75.75
2014-12-04,78.85
2014-12-05,74.25
2014-12-08,74.0
2014-12-09,72.35
2014-12-10,75.85
2014-12-15,71.75
2014-12-16,69.0
2014-12-17,70.35
2014-12-18,70.2
2014-12-19,70.8
2014-12-23,70.0
2014-12-24,76.0
2014-12-26,72.0
2014-12-30,73.5
2015-01-01,71.25
2015-01-05,84.3
2015-01-06,85.65
2015-01-07,79.85
2015-01-08,84.4
2015-01-09,88.65
2015-01-12,93.65
2015-01-13,85.35
2015-01-15,84.65
2015-01-16,92.0
2015-01-19,88.65
2015-01-20,90.95
2015-01-21,87.15
2015-01-22,87.65
2015-01-23,89.9
2015-01-27,83.3
2015-01-28,82.75
2015-01-30,82.3
2015-02-04,82.7
2015-02-05,86.05
2015-02-06,82.05
2015-02-09,82.1
2015-02-11,84.3
2015-02-12,86.65
2015-02-13,87.1
2015-02-16,84.5
2015-02-18,85.0
2015-02-19,87.0
2015-02-20,87.9
2015-02-23,87.95
2015-02-25,81.3
2015-02-26,86.0
2015-02-27,80.05
2015-02-28,82.5
2015-03-02,80.45
2015-03-03,79.95
2015-03-04,81.85
2015-03-05,77.9
2015-03-09,76.15
2015-03-10,76.25
2015-03-11,70.85
2015-03-12,72.0
2015-03-13,80.6
2015-03-16,75.75
2015-03-17,76.5
2015-03-18,73.6
2015-03-19,74.5
2015-03-20,74.0
2015-03-23,72.0
2015-03-24,75.7
2015-03-25,69.4
2015-03-26,67.5
2015-03-27,70.0
2015-03-30,72.0
2015-04-01,74.8
2015-04-06,75.3
2015-04-07,76.9
2015-04-08,79.9
2015-04-09,75.3
2015-04-10,79.65
2015-04-13,78.9
2015-04-15,82.85
2015-04-16,79.35
2015-04-17,80.0
2015-04-20,78.5
2015-04-21,76.15
2015-04-23,75.0
2015-04-24,75.4
2015-04-27,75.4
2015-04-28,74.65
2015-04-29,76.0
2015-04-30,75.95
2015-05-04,72.65
2015-05-05,72.15
2015-05-07,70.1
2015-05-08,73.9
2015-05-11,78.45
2015-05-12,73.3
2015-05-13,70.25
2015-05-14,74.6
2015-05-15,71.5
2015-05-22,74.75
2015-05-26,70.05
2015-05-27,69.1
2015-06-02,72.35
2015-06-04,69.5
2015-06-05,69.3
2015-06-08,66.55
2015-06-11,65.5
2015-06-17,71.85
2015-06-18,69.55
2015-06-22,66.65
2015-06-25,71.7
2015-07-02,69.0
2015-07-06,72.05
2015-07-07,67.75
2015-07-08,70.0
2015-07-09,67.65
