Date,ALICON
2013-01-01,73.4
2013-01-02,75.9
2013-01-03,75.35
2013-01-04,75.75
2013-01-07,74.85
2013-01-08,75.0
2013-01-09,75.6
2013-01-10,74.6
2013-01-11,74.0
2013-01-14,73.0
2013-01-15,73.9
2013-01-16,72.0
2013-01-17,71.8
2013-01-18,71.75
2013-01-21,71.35
2013-01-22,69.15
2013-01-23,72.0
2013-01-24,71.5
2013-01-25,68.5
2013-01-28,68.0
2013-01-29,68.5
2013-01-30,72.95
2013-01-31,69.25
2013-02-01,70.2
2013-02-04,68.05
2013-02-05,67.9
2013-02-06,69.0
2013-02-07,67.0
2013-02-08,67.1
2013-02-11,66.25
2013-02-12,66.0
2013-02-14,65.25
2013-02-15,63.5
2013-02-18,63.2
2013-02-19,66.0
2013-02-20,68.0
2013-02-21,66.95
2013-02-25,64.2
2013-02-26,64.0
2013-02-27,64.0
2013-02-28,62.9
2013-03-01,62.9
2013-03-05,60.8
2013-03-06,64.45
2013-03-07,61.0
2013-03-08,62.5
2013-03-11,61.9
2013-03-13,64.8
2013-03-14,62.5
2013-03-15,62.15
2013-03-18,63.9
2013-03-19,63.25
2013-03-20,60.0
2013-03-21,57.35
2013-03-22,56.15
2013-03-25,56.75
2013-03-26,54.75
2013-03-28,56.2
2013-04-02,57.3
2013-04-03,58.0
2013-04-04,53.75
2013-04-05,52.85
2013-04-17,50.8
2013-04-18,55.0
2013-04-23,54.5
2013-04-30,53.0
2013-05-02,55.0
2013-05-03,53.1
2013-05-06,56.0
2013-05-07,57.0
2013-05-08,58.0
2013-05-09,65.0
2013-05-10,69.9
2013-05-13,69.3
2013-06-19,61.6
2013-06-20,61.6
2013-06-21,61.6
2013-06-24,60.6
2013-06-25,59.5
2013-06-27,62.0
2013-07-01,52.0
2013-07-02,58.0
2013-07-04,57.5
2013-07-08,55.75
2013-07-09,59.0
2013-07-10,57.85
2013-07-22,55.0
2013-07-23,52.25
2013-07-25,59.9
2013-08-01,52.0
2013-08-05,45.0
2013-08-07,40.05
2013-08-28,44.05
2013-09-03,48.45
2013-09-10,46.2
2013-09-18,48.5
2013-09-19,50.0
2013-09-24,50.0
2013-09-30,48.2
2013-10-08,50.6
2013-10-10,53.1
2013-10-11,55.75
2013-10-14,58.0
2013-10-17,60.9
2013-10-18,63.7
2013-10-21,66.0
2013-10-28,65.0
2013-10-29,66.0
2013-10-30,66.0
2013-10-31,67.0
2013-11-01,68.0
2013-11-03,64.6
2013-11-06,63.8
2013-11-07,67.35
2013-11-08,68.0
2013-11-18,64.0
2013-11-19,60.0
2013-11-25,60.1
2013-11-27,65.9
2013-11-29,67.0
2013-12-12,60.3
2013-12-13,60.0
2013-12-17,61.5
2013-12-18,60.0
2013-12-19,59.5
2013-12-20,60.55
2013-12-23,59.2
2013-12-24,64.9
2013-12-26,67.5
2013-12-27,67.5
2013-12-30,64.35
2013-12-31,67.75
2014-01-01,67.75
2014-01-09,69.5
2014-01-13,67.0
2014-01-14,69.65
2014-01-16,68.9
2014-01-17,70.4
2014-01-20,74.05
2014-01-21,75.0
2014-01-22,74.45
2014-01-23,72.45
2014-01-24,68.9
2014-01-27,66.9
2014-01-28,65.0
2014-01-29,69.0
2014-01-30,68.3
2014-01-31,68.3
2014-02-03,72.6
2014-02-04,72.85
2014-02-05,72.25
2014-02-06,73.75
2014-02-07,74.0
2014-02-10,75.25
2014-02-11,76.75
2014-02-12,82.75
2014-02-13,79.9
2014-02-14,74.0
2014-02-17,75.75
2014-02-18,76.3
2014-02-19,76.5
2014-02-20,77.2
2014-02-21,80.95
2014-02-24,80.5
2014-02-25,82.0
2014-02-26,83.0
2014-02-28,83.0
2014-03-03,82.85
2014-03-04,81.4
2014-03-05,82.0
2014-03-06,81.0
2014-03-07,82.8
2014-03-10,83.9
2014-03-11,77.7
2014-03-12,79.0
2014-03-13,79.2
2014-03-14,77.0
2014-03-18,81.45
2014-03-19,78.7
2014-03-20,79.7
2014-03-21,84.55
2014-03-22,87.75
2014-03-24,84.05
2014-03-25,86.4
2014-03-26,83.0
2014-03-27,84.0
2014-03-28,82.6
2014-03-31,84.3
2014-04-02,83.75
2014-04-03,82.8
2014-04-04,80.65
2014-04-09,84.5
2014-04-10,81.0
2014-04-11,80.95
2014-04-15,82.45
2014-04-16,80.6
2014-04-17,88.55
2014-04-21,95.2
2014-04-22,102.9
2014-04-23,108.9
2014-04-25,101.5
2014-04-28,99.9
2014-04-29,97.95
2014-04-30,99.1
2014-05-02,103.8
2014-05-05,111.25
2014-05-06,126.4
2014-05-07,122.85
2014-05-08,122.95
2014-05-09,120.65
2014-05-12,130.05
2014-05-13,131.1
2014-05-14,133.55
2014-05-15,140.9
2014-05-16,146.2
2014-05-19,156.55
2014-05-20,147.75
2014-05-21,155.1
2014-05-22,154.05
2014-05-23,153.3
2014-05-26,144.25
2014-05-27,139.4
2014-05-28,142.45
2014-05-29,142.3
2014-05-30,143.6
2014-06-02,150.8
2014-06-03,150.75
2014-06-04,159.2
2014-06-05,160.6
2014-06-06,169.5
2014-06-09,163.3
2014-06-10,163.55
2014-06-11,157.2
2014-06-12,152.3
2014-06-13,147.65
2014-06-16,146.05
2014-06-17,156.55
2014-06-18,155.6
2014-06-19,172.35
2014-06-20,167.55
2014-06-23,167.4
2014-06-24,171.7
2014-06-25,171.05
2014-06-26,169.65
2014-06-27,168.05
2014-06-30,174.6
2014-07-01,177.75
2014-07-02,181.95
2014-07-03,175.6
2014-07-04,190.45
2014-07-07,184.85
2014-07-08,170.6
2014-07-09,168.1
2014-07-10,167.75
2014-07-11,162.55
2014-07-14,163.05
2014-07-15,169.8
2014-07-16,181.85
2014-07-17,177.95
2014-07-18,178.05
2014-07-21,179.4
2014-07-22,177.45
2014-07-23,174.8
2014-07-24,186.75
2014-07-25,191.15
