Date,SHIRPUR-G
2013-03-01,66.95
2013-03-04,65.75
2013-03-05,66.7
2013-03-06,65.85
2013-03-07,68.45
2013-03-08,72.35
2013-03-11,73.25
2013-03-12,71.55
2013-03-13,68.1
2013-03-14,66.0
2013-03-15,64.9
2013-03-18,60.0
2013-03-19,58.25
2013-03-20,54.55
2013-03-21,53.7
2013-03-22,54.0
2013-03-25,52.7
2013-03-26,56.0
2013-03-28,56.65
2013-04-01,57.0
2013-04-02,59.0
2013-04-03,64.9
2013-04-04,67.8
2013-04-05,67.95
2013-04-08,68.35
2013-04-09,62.4
2013-04-10,62.25
2013-04-11,60.45
2013-06-14,61.65
2013-06-17,61.85
2013-06-18,62.0
2013-06-19,59.0
2013-06-20,60.45
2013-06-21,58.0
2013-06-24,58.65
2013-06-25,55.75
2013-06-26,58.5
2013-06-27,60.9
2013-06-28,60.2
2013-07-01,57.2
2013-07-02,57.0
2013-07-03,58.4
2013-07-04,58.1
2013-07-05,54.95
2013-07-08,54.2
2013-07-09,55.8
2013-07-10,55.25
2013-07-11,55.25
2013-07-12,53.5
2013-07-15,53.4
2013-07-16,51.1
2013-07-17,49.05
2013-07-18,49.5
2013-07-19,52.0
2013-07-22,50.0
2013-07-23,49.95
2013-07-24,49.55
2013-07-25,49.55
2013-07-26,47.5
2013-07-29,45.15
2013-07-30,41.75
2013-07-31,45.4
2013-08-01,49.9
2013-08-02,53.35
2013-08-05,53.95
2013-08-06,52.9
2013-08-07,51.85
2013-08-12,49.3
2013-08-13,47.25
2013-08-14,46.5
2013-08-16,48.8
2013-08-19,46.4
2013-08-20,44.25
2013-08-21,46.0
2013-08-22,43.7
2013-08-23,45.85
2013-08-26,47.2
2013-08-27,46.25
2013-08-28,46.5
2013-08-29,45.65
2013-08-30,46.2
2013-09-02,44.7
2013-09-03,45.0
2013-09-04,44.05
2013-09-05,43.5
2013-09-06,44.5
2013-09-10,48.05
2013-09-11,48.95
2013-09-12,48.2
2013-09-13,48.9
2013-09-16,48.75
2013-09-17,47.9
2013-09-18,49.55
2013-09-19,46.55
2013-09-20,47.7
2013-09-23,46.65
2013-09-24,46.25
2013-09-25,45.1
2013-09-26,46.25
2013-09-27,46.95
2013-09-30,45.35
2013-10-01,44.0
2013-10-03,43.55
2013-10-04,44.45
2013-10-07,44.4
2013-10-08,44.6
2013-10-09,45.1
2013-10-10,46.8
2013-10-11,46.55
2013-10-14,47.4
2013-10-15,44.95
2013-10-17,44.35
2013-10-18,44.0
2013-10-21,44.0
2013-10-22,46.0
2013-10-23,46.5
2013-10-24,46.5
2013-10-25,46.2
2013-10-28,44.7
2013-10-29,45.6
2013-10-30,45.6
2013-10-31,46.0
2013-11-01,46.0
2013-11-03,45.3
2013-11-05,45.3
2013-11-06,47.25
2013-11-07,56.7
2013-11-08,62.9
2013-11-11,55.75
2013-11-12,49.15
2013-11-13,48.15
2013-11-14,53.8
2013-11-18,56.7
2013-11-19,53.9
2013-11-20,51.9
2013-11-21,50.9
2014-03-03,52.2
2014-03-05,54.8
2014-03-06,54.45
2014-03-07,53.3
2014-03-10,53.75
2014-03-11,55.3
2014-03-13,54.0
2014-03-14,52.2
2014-03-18,52.0
2014-03-19,52.15
2014-03-20,53.45
2014-03-21,52.75
2014-03-24,54.05
2014-03-25,52.65
2014-03-26,52.2
2014-03-27,52.75
2014-03-28,51.35
2014-03-31,52.0
2014-04-01,53.75
2014-04-02,56.95
2014-04-03,58.7
2014-04-04,58.65
2014-04-07,58.0
2014-04-09,57.3
2014-04-10,59.7
2014-04-11,65.65
2014-04-15,72.2
2014-04-16,70.35
2014-04-17,68.65
2014-04-21,66.65
2014-04-22,63.35
2014-04-23,66.0
2014-04-25,63.65
2014-04-28,64.2
2014-04-29,63.5
2014-04-30,63.2
2014-05-02,63.3
2014-05-05,62.3
2014-05-06,63.4
2014-05-07,62.65
2014-05-08,65.55
2014-05-09,72.1
2014-05-12,68.85
2014-05-13,67.5
2014-05-14,66.4
2014-05-15,67.15
2014-05-16,65.7
2014-05-19,70.4
2014-05-20,74.75
2014-05-21,75.5
2014-05-22,83.05
2014-05-23,88.95
2014-05-26,84.55
2014-05-27,80.35
2014-05-28,76.55
2014-05-29,72.8
2014-05-30,73.85
2014-06-02,73.55
2014-06-03,75.65
2014-06-04,79.4
2014-06-05,80.95
2014-06-06,79.8
2014-06-09,81.05
2014-06-10,78.3
2014-06-11,76.6
2014-06-12,76.25
2014-06-13,73.0
2014-06-16,70.75
2014-06-17,71.15
2014-06-18,70.55
2014-06-19,70.0
2014-06-20,73.5
2014-06-23,75.0
2014-06-24,73.35
2014-06-25,73.9
2014-06-26,74.8
2014-06-27,74.8
2014-06-30,73.9
2014-07-01,74.0
2014-07-02,73.8
2014-07-03,73.95
2014-07-04,77.6
2014-07-07,79.35
2014-07-08,75.0
2014-07-09,72.5
2014-07-10,75.5
2014-07-11,71.8
2014-07-14,70.45
2014-07-15,75.25
2014-07-16,80.15
2014-07-17,79.75
2014-07-18,78.0
2014-07-21,77.25
2014-07-22,76.15
2014-07-23,75.0
2014-07-24,79.55
2014-07-25,79.9
2014-07-28,77.7
2014-07-30,74.0
2014-07-31,74.0
2014-08-01,73.6
2014-08-04,76.0
2014-08-05,75.2
2014-08-06,78.55
2014-08-07,78.8
2014-08-08,76.65
2014-08-11,78.15
2014-08-12,78.2
2014-08-13,79.4
2014-08-14,79.95
2014-08-18,79.65
2014-08-19,77.65
2014-08-20,77.45
2014-08-21,75.95
2014-08-22,77.6
2014-08-25,76.7
2014-08-26,73.0
2014-08-27,73.9
2014-08-28,76.7
2014-09-01,76.3
2014-09-02,77.95
