Date,JBCHEPHARM
2013-01-01,93.85
2013-01-02,93.6
2013-01-03,91.9
2013-01-04,91.55
2013-01-07,92.8
2013-01-08,91.15
2013-01-09,90.0
2013-01-10,88.65
2013-01-11,87.05
2013-01-14,90.25
2013-01-15,90.3
2013-01-16,88.3
2013-01-17,87.45
2013-01-18,87.05
2013-01-21,86.5
2013-01-22,85.6
2013-01-23,86.25
2013-01-24,84.45
2013-01-25,86.05
2013-01-28,84.65
2013-01-29,84.75
2013-01-30,84.55
2013-01-31,84.25
2013-02-01,85.6
2013-02-04,87.4
2013-02-05,86.7
2013-02-06,88.1
2013-02-07,86.55
2013-02-08,84.25
2013-02-11,82.35
2013-02-12,82.2
2013-02-13,81.9
2013-02-14,81.9
2013-02-15,80.6
2013-02-18,81.5
2013-02-19,82.0
2013-02-20,83.55
2013-02-21,81.65
2013-02-22,82.5
2013-02-25,81.3
2013-02-26,81.45
2013-02-27,82.85
2013-02-28,81.65
2013-03-01,81.3
2013-03-04,79.6
2013-03-05,80.1
2013-03-06,81.3
2013-03-07,81.45
2013-03-08,83.1
2013-03-11,81.6
2013-03-12,81.85
2013-03-13,81.6
2013-03-14,82.75
2013-03-15,81.55
2013-03-18,81.25
2013-03-19,80.7
2013-03-20,74.4
2013-03-21,74.9
2013-03-22,74.1
2013-03-25,72.4
2013-03-26,72.0
2013-03-28,74.15
2013-04-01,75.9
2013-04-02,82.4
2013-04-03,82.1
2013-04-04,81.6
2013-04-05,81.6
2013-04-08,81.5
2013-04-09,81.5
2013-04-10,81.85
2013-04-11,81.55
2013-04-12,80.1
2013-04-15,79.45
2013-04-16,79.8
2013-04-17,79.95
2013-04-18,80.0
2013-04-22,79.95
2013-04-23,80.0
2013-04-25,79.8
2013-04-26,78.45
2013-04-29,79.55
2013-04-30,77.65
2013-05-02,77.35
2013-05-03,78.05
2013-05-06,77.5
2013-05-07,82.6
2013-05-08,83.4
2013-05-09,84.05
2013-05-10,83.7
2013-05-11,84.05
2013-05-13,82.45
2013-05-14,83.55
2013-05-15,84.5
2013-05-16,82.7
2013-05-17,83.35
2013-05-20,85.15
2013-05-21,83.6
2013-05-22,83.45
2013-05-23,82.6
2013-05-24,82.75
2013-05-27,84.9
2013-05-28,82.75
2013-05-29,83.8
2013-05-30,82.9
2013-05-31,82.75
2013-06-03,80.1
2013-06-04,81.8
2013-06-05,79.15
2013-06-06,78.8
2013-06-07,77.65
2013-06-10,77.2
2013-06-11,76.7
2013-06-12,78.15
2013-06-13,78.2
2013-06-14,77.65
2013-06-17,78.8
2013-06-18,78.3
2013-06-19,79.0
2013-06-20,77.75
2013-06-21,78.05
2013-06-24,74.05
2013-06-25,75.1
2013-06-26,74.05
2013-06-27,74.7
2013-06-28,76.3
2013-07-01,76.1
2013-07-02,76.15
2013-07-03,74.35
2013-07-04,74.8
2013-07-05,74.2
2013-07-08,74.25
2013-07-09,74.15
2013-07-10,80.2
2013-07-11,82.2
2013-07-12,80.25
2013-07-15,79.5
2013-07-16,78.15
2013-07-17,75.0
2013-07-18,78.7
2013-07-19,76.85
2013-07-22,78.55
2013-07-23,79.65
2013-07-24,77.3
2013-07-25,77.8
2013-07-26,76.85
2013-07-29,79.8
2013-07-30,77.05
2013-07-31,79.45
2013-08-01,74.85
2013-08-02,75.3
2013-08-05,75.25
2013-08-06,75.0
2013-08-07,77.45
2013-08-08,77.45
2013-08-12,80.0
2013-08-13,83.85
2013-08-14,82.6
2013-08-16,81.65
2013-08-19,79.0
2013-08-20,80.4
2013-08-21,79.75
2013-08-22,81.75
2013-08-23,81.7
2013-08-26,81.85
2013-08-27,81.95
2013-08-28,82.55
2013-08-29,83.75
2013-08-30,82.9
2013-09-02,81.95
2013-09-03,81.6
2013-09-04,83.3
2013-09-05,83.7
2013-09-06,85.0
2013-09-10,84.05
2013-09-11,84.5
2013-09-12,84.0
2013-09-13,84.8
2013-09-16,83.6
2013-09-17,82.95
2013-09-18,82.95
2013-09-19,85.15
2013-09-20,83.45
2013-09-23,84.25
2013-09-24,87.0
2013-09-25,86.95
2013-09-26,87.45
2013-09-27,85.7
2013-09-30,84.9
2013-10-01,86.1
2013-10-03,87.6
2013-10-04,88.5
2013-10-07,89.9
2013-10-08,89.3
2013-10-09,90.0
2013-10-10,89.35
2013-10-11,91.05
2013-10-14,93.8
2013-10-15,92.65
2013-10-17,94.1
2013-10-18,93.85
2013-10-21,94.45
2013-10-22,97.55
2013-10-23,94.6
2013-10-24,93.15
2013-10-25,93.05
2013-10-28,95.9
2013-10-29,97.4
2013-10-30,95.65
2013-10-31,101.5
2013-11-01,100.4
2013-11-03,103.9
2013-11-05,101.65
2013-11-06,101.25
2013-11-07,102.4
2013-11-08,103.75
2013-11-11,107.75
2013-11-12,112.35
2013-11-13,109.9
2013-11-14,107.75
2013-11-18,107.8
2013-11-19,109.75
2013-11-20,110.8
2013-11-21,110.2
2013-11-22,114.15
2013-11-25,115.85
2013-11-26,113.5
2013-11-27,113.4
