Date,INDIAGLYCO
2013-01-01,172.35
2013-01-02,171.85
2013-01-03,172.2
2013-01-04,172.4
2013-01-07,172.4
2013-01-08,171.05
2013-01-09,169.05
2013-01-10,168.7
2013-01-11,166.35
2013-01-14,165.4
2013-01-15,171.9
2013-01-16,168.95
2013-01-17,167.2
2013-01-18,167.1
2013-01-21,167.2
2013-01-22,162.25
2013-01-23,162.8
2013-01-24,157.1
2013-01-25,150.4
2013-01-28,149.4
2013-01-29,145.2
2013-01-30,147.5
2013-01-31,155.8
2013-02-01,157.05
2013-02-04,157.6
2013-02-05,156.15
2013-02-06,158.1
2013-02-07,147.15
2013-02-08,145.4
2013-02-11,141.9
2013-02-12,140.15
2013-02-13,137.65
2013-02-14,133.35
2013-02-15,132.0
2013-02-18,136.5
2013-02-19,138.65
2013-02-20,138.65
2013-02-21,135.3
2013-02-22,133.8
2013-02-25,132.9
2013-02-26,133.65
2013-02-27,135.0
2013-02-28,130.7
2013-03-01,133.05
2013-03-04,131.2
2013-03-05,134.95
2013-03-06,136.35
2013-03-07,141.25
2013-03-08,144.4
2013-03-11,147.6
2013-03-12,146.35
2013-03-13,144.35
2013-03-14,138.05
2013-03-15,136.3
2013-03-18,134.65
2013-03-19,130.6
2013-03-20,127.3
2013-03-21,123.6
2013-03-22,123.3
2013-03-25,124.8
2013-03-26,125.95
2013-03-28,126.9
2013-04-01,131.1
2013-04-02,138.45
2013-04-03,138.1
2013-04-04,133.7
2013-04-05,132.55
2013-04-08,132.45
2013-04-09,131.45
2013-04-10,130.35
2013-04-11,130.8
2013-04-12,130.6
2013-04-15,133.15
2013-04-16,135.95
2013-04-17,135.25
2013-04-18,135.45
2013-04-22,136.15
2013-04-23,135.8
2013-04-25,137.6
2013-04-26,136.6
2013-04-29,136.1
2013-04-30,134.75
2013-05-02,136.8
2013-05-03,138.5
2013-05-06,139.0
2013-05-07,141.6
2013-05-08,140.2
2013-05-09,141.3
2013-05-10,141.4
2013-05-11,143.05
2013-05-13,140.75
2013-05-14,140.25
2013-05-15,139.85
2013-05-16,137.8
2013-05-17,136.95
2013-05-20,138.1
2013-05-21,140.05
2013-05-22,137.4
2013-05-23,133.45
2013-05-24,135.45
2013-05-27,138.25
2013-05-28,136.15
2013-05-29,137.7
2013-05-30,136.05
2013-05-31,131.8
2013-06-03,130.45
2013-06-04,130.2
2013-06-05,130.85
2013-06-06,128.4
2013-06-07,129.2
2013-06-10,128.45
2013-06-11,122.5
2013-06-12,123.65
2013-06-13,119.95
2013-06-14,120.9
2013-06-17,120.75
2013-06-18,120.7
2013-06-19,121.6
2013-06-20,118.3
2013-06-21,118.0
2013-06-24,114.6
2013-06-25,108.85
2013-06-26,105.75
2013-06-27,106.75
2013-06-28,112.45
2013-07-01,117.2
2013-07-02,118.4
2013-07-03,111.95
2013-07-04,112.6
2013-07-05,113.35
2013-07-08,111.0
2013-07-09,111.75
2013-07-10,112.85
2013-07-11,112.75
2013-07-12,116.85
2013-07-15,117.65
2013-07-16,114.25
2013-07-17,112.45
2013-07-18,111.8
2013-07-19,117.85
2013-07-22,116.05
2013-07-23,115.15
2013-07-24,112.5
2013-07-25,109.15
2013-07-26,107.65
2013-07-29,104.0
2013-07-30,106.85
2013-07-31,105.6
2013-08-01,99.35
2013-08-02,98.15
2013-08-05,96.8
2013-08-06,94.9
2013-08-07,94.8
2013-08-08,98.15
2013-08-12,92.75
2013-08-13,92.45
2013-08-14,92.6
2013-08-16,89.9
2013-08-19,88.8
2013-08-20,87.9
2013-08-21,85.3
2013-08-22,86.6
2013-08-23,89.7
2013-08-26,102.65
2013-08-27,96.7
2013-08-28,91.7
2013-08-29,92.55
2013-08-30,93.3
2013-09-02,96.2
2013-09-03,96.05
2013-09-04,97.95
2013-09-05,98.35
2013-09-06,96.95
2013-09-10,99.25
2013-09-11,104.05
2013-09-12,103.25
2013-09-13,104.1
2013-09-16,102.35
2013-09-17,88.85
2013-09-18,89.75
2013-09-19,87.35
2013-09-20,85.85
2013-09-23,87.7
2013-09-24,90.85
2013-09-25,89.85
2013-09-26,90.2
2013-09-27,88.95
2013-09-30,86.6
2013-10-01,88.05
2013-10-03,89.35
2013-10-04,87.95
2013-10-07,87.75
2013-10-08,89.05
2013-10-09,89.05
2013-10-10,90.2
2013-10-11,89.3
2013-10-14,92.2
2013-10-15,92.1
2013-10-17,92.15
2013-10-18,91.45
2013-10-21,91.3
2013-10-22,93.15
2013-10-23,97.25
2013-10-24,97.75
2013-10-25,95.35
2013-10-28,92.95
2013-10-29,92.55
2013-10-30,91.7
2013-10-31,92.85
2013-11-01,93.7
2013-11-03,93.85
2013-11-05,95.0
2013-11-06,95.7
2013-11-07,97.3
2013-11-08,97.05
2013-11-11,94.4
2013-11-12,86.95
2013-11-13,86.2
2013-11-14,86.45
2013-11-18,85.95
2013-11-19,84.7
2013-11-20,86.4
2013-11-21,85.55
2013-11-22,89.15
2013-11-25,89.7
2013-11-26,87.5
2013-11-27,89.6
2013-11-28,89.25
2013-11-29,92.35
2013-12-02,94.85
2013-12-03,92.8
2013-12-04,93.0
2013-12-05,92.05
2013-12-06,97.5
2013-12-09,94.7
2013-12-10,91.4
2013-12-11,91.6
2013-12-12,92.2
2013-12-13,89.65
2013-12-16,89.55
2013-12-17,89.6
2013-12-18,89.35
2013-12-19,90.0
2013-12-20,91.95
2013-12-23,92.7
2013-12-24,98.85
2013-12-26,106.2
2013-12-27,106.55
2013-12-30,105.45
2013-12-31,102.55
2014-01-01,104.4
2014-01-02,103.95
2014-01-03,103.85
2014-01-06,105.65
2014-01-07,106.4
2014-01-08,105.75
2014-01-09,103.35
2014-01-10,101.55
2014-01-13,98.2
2014-01-14,98.3
2014-01-15,99.55
