Date,TIMETECHNO
2013-01-01,45.0
2013-01-02,45.35
2013-01-03,48.15
2013-01-04,49.1
2013-01-07,48.8
2013-01-08,47.6
2013-01-09,47.85
2013-01-10,47.35
2013-01-11,46.9
2013-01-14,48.1
2013-01-15,48.15
2013-01-16,47.7
2013-01-17,48.3
2013-01-18,47.5
2013-01-21,48.7
2013-01-22,48.0
2013-01-23,48.15
2013-01-24,47.1
2013-01-25,47.3
2013-01-28,48.0
2013-01-29,48.0
2013-01-30,48.35
2013-01-31,48.05
2013-02-01,47.5
2013-02-04,47.6
2013-02-05,47.15
2013-02-06,47.0
2013-02-07,47.2
2013-02-08,46.9
2013-02-11,45.85
2013-02-12,45.6
2013-02-13,45.5
2013-02-14,45.0
2013-02-15,44.85
2013-02-18,43.6
2013-02-19,42.8
2013-02-20,45.0
2013-02-21,44.4
2013-02-22,44.75
2013-02-25,44.75
2013-02-26,43.7
2013-02-27,43.8
2013-02-28,40.8
2013-03-01,42.0
2013-03-04,41.85
2013-03-05,42.0
2013-03-06,42.5
2013-03-07,42.6
2013-03-08,42.55
2013-03-11,42.0
2013-03-12,41.8
2013-03-13,42.25
2013-03-14,41.9
2013-03-15,43.0
2013-03-18,43.5
2013-03-19,43.05
2013-03-20,42.2
2013-03-21,41.05
2013-03-22,40.05
2013-03-25,39.75
2013-03-26,39.3
2013-03-28,43.45
2013-04-01,42.3
2013-04-02,42.85
2013-04-03,42.3
2013-04-04,42.8
2013-04-05,42.2
2013-04-08,40.45
2013-04-09,40.4
2013-04-10,40.6
2013-04-11,39.95
2013-04-12,41.05
2013-04-15,40.8
2013-04-16,40.95
2013-04-17,39.9
2013-04-18,39.95
2013-04-22,39.95
2013-04-23,40.3
2013-04-25,40.0
2013-04-26,39.8
2013-04-29,38.55
2013-04-30,38.2
2013-05-02,38.95
2013-05-03,38.95
2013-05-06,38.95
2013-05-07,39.0
2013-05-08,38.85
2013-05-09,38.75
2013-05-10,39.5
2013-05-11,39.1
2013-05-13,38.3
2013-05-14,39.05
2013-05-15,38.8
2013-05-16,38.35
2013-05-17,38.4
2013-05-20,39.25
2013-05-21,38.9
2013-05-22,37.9
2013-05-23,36.9
2013-05-24,37.3
2013-05-27,38.4
2013-05-28,38.3
2013-05-29,38.8
2013-05-30,37.5
2013-05-31,39.5
2013-06-03,39.85
2013-06-04,39.9
2013-06-05,40.1
