Date,FOSECOIND
2013-01-01,559.3
2013-01-02,551.1
2013-01-03,560.65
2013-01-04,567.0
2013-01-07,577.0
2013-01-08,580.8
2013-01-09,582.5
2013-01-10,571.4
2013-01-11,567.05
2013-01-14,563.4
2013-01-15,573.1
2013-01-16,559.7
2013-01-17,555.4
2013-01-18,560.7
2013-01-21,566.45
2013-01-22,552.55
2013-01-23,529.9
2013-01-24,518.15
2013-01-25,521.8
2013-01-28,521.55
2013-01-29,501.15
2013-01-30,489.8
2013-01-31,471.45
2013-02-01,473.85
2013-02-04,498.4
2013-02-05,500.35
2013-02-06,499.35
2013-02-07,498.8
2013-02-08,488.6
2013-02-11,481.4
2013-02-12,480.0
2013-02-13,446.7
2013-02-14,446.05
2013-02-15,456.8
2013-02-18,460.45
2013-02-19,459.3
2013-02-20,462.7
2013-02-21,456.45
2013-02-22,473.0
2013-02-25,464.9
2013-02-26,469.2
2013-02-27,463.65
2013-02-28,469.7
2013-03-01,465.25
2013-03-04,464.5
2013-03-05,470.25
2013-03-06,461.5
2013-03-07,464.7
2013-03-08,469.75
2013-03-11,462.8
2013-03-12,457.05
2013-03-13,455.1
2013-03-14,462.15
2013-03-15,464.8
2013-03-18,458.75
2013-03-19,460.0
2013-03-20,450.3
2013-03-21,426.7
2013-03-22,433.2
2013-03-25,434.2
2013-03-26,435.0
2013-03-28,427.35
2013-04-01,455.9
2013-04-02,460.35
2013-04-03,468.4
2013-04-04,463.5
2013-04-05,464.1
2013-04-08,460.0
2013-04-09,460.45
2013-04-10,450.5
2013-04-11,454.95
2013-04-12,442.7
2013-04-15,446.75
2013-04-16,442.85
2013-04-17,446.5
2013-04-18,442.05
2013-04-22,443.7
2013-04-23,449.5
2013-04-25,460.5
2013-04-26,460.6
2013-04-29,458.8
2013-04-30,454.85
2013-05-02,461.55
2013-05-03,452.5
2013-05-06,457.85
2013-05-07,457.8
2013-05-08,454.0
2013-05-09,456.1
2013-05-10,462.4
2013-05-13,465.2
2013-05-14,473.5
2013-05-15,478.3
2013-05-16,474.15
2013-05-17,481.5
2013-05-20,489.95
2013-05-21,492.25
2013-05-22,497.55
2013-05-23,484.95
2013-05-24,501.65
2013-05-27,507.65
2013-05-28,492.05
2013-05-29,490.45
2013-05-30,476.25
2013-05-31,471.1
2013-06-03,488.65
2013-06-04,490.0
2013-06-05,491.35
2013-06-06,494.7
2013-06-07,502.15
2013-06-10,488.95
2013-06-11,476.25
2013-06-12,475.0
2013-06-13,477.6
2013-06-14,479.95
2013-06-17,474.45
2013-06-18,484.45
2013-06-19,486.95
2013-06-20,469.9
2013-06-21,455.55
2013-06-24,455.0
2013-06-25,453.15
2013-06-26,451.15
2013-06-27,450.9
2013-06-28,459.1
2013-07-01,446.0
2013-07-02,451.0
2013-07-03,446.4
2013-07-04,444.4
2013-07-05,445.0
2013-07-08,450.0
2013-07-09,450.0
2013-07-11,450.05
2013-07-12,450.1
2013-07-15,459.25
2013-07-16,455.15
2013-07-17,450.25
2013-07-18,451.2
2013-07-19,455.0
2013-07-22,456.9
2013-07-23,451.85
2013-07-24,451.25
2013-07-25,450.2
2013-07-26,450.0
2013-07-29,444.75
2013-07-30,438.15
2013-07-31,422.95
2013-08-01,425.0
2013-08-02,426.75
2013-08-05,425.0
2013-08-06,431.35
2013-08-07,428.85
2013-08-08,432.1
2013-08-12,434.45
2013-08-13,438.0
2013-08-14,443.0
2013-08-16,453.0
2013-08-19,446.3
2013-08-20,455.2
2013-08-21,444.5
2013-08-22,452.4
2013-08-23,455.1
2013-08-26,451.0
2013-08-27,456.4
2013-08-28,452.5
2013-08-29,455.0
2013-08-30,458.95
2013-09-02,455.1
2013-09-03,443.2
2013-09-04,451.15
2013-09-05,450.0
2013-09-06,437.8
2013-09-10,442.0
2013-09-11,445.6
2013-09-12,445.65
2013-09-13,450.6
2013-09-16,450.05
2013-09-17,460.0
2013-09-18,463.1
2013-09-19,462.05
2013-09-20,468.3
2013-09-23,471.5
2013-09-24,461.75
2013-09-25,465.45
