Date,GSPL
2013-01-01,76.25
2013-01-02,76.1
2013-01-03,77.3
2013-01-04,80.8
2013-01-07,79.65
2013-01-08,79.35
2013-01-09,78.25
2013-01-10,77.55
2013-01-11,76.25
2013-01-14,77.5
2013-01-15,78.7
2013-01-16,77.15
2013-01-17,76.95
2013-01-18,77.25
2013-01-21,76.95
2013-01-22,76.0
2013-01-23,76.1
2013-01-24,73.6
2013-01-25,74.25
2013-01-28,74.2
2013-01-29,72.95
2013-01-30,72.55
2013-01-31,72.5
2013-02-01,72.1
2013-02-04,72.15
2013-02-05,71.85
2013-02-06,71.75
2013-02-07,71.25
2013-02-08,70.0
2013-02-11,70.0
2013-02-12,71.15
2013-02-13,69.8
2013-02-14,70.7
2013-02-15,71.6
2013-02-18,71.3
2013-02-19,73.2
2013-02-20,71.15
2013-02-21,69.8
2013-02-22,69.55
2013-02-25,67.85
2013-02-26,66.85
2013-02-27,68.25
2013-02-28,64.8
2013-03-01,66.1
2013-03-04,66.1
2013-03-05,67.2
2013-03-06,67.0
2013-03-07,68.7
2013-03-08,67.05
2013-03-11,67.05
2013-03-12,65.9
2013-03-13,65.0
2013-03-14,65.25
2013-03-15,64.65
2013-03-18,63.65
2013-03-19,63.3
2013-03-20,62.4
2013-03-21,62.4
2013-03-22,62.4
2013-03-25,64.0
2013-03-26,65.6
2013-03-28,67.0
2013-04-01,69.4
2013-04-02,71.95
2013-04-03,70.2
2013-04-04,68.1
2013-04-05,69.75
2013-04-08,68.0
2013-04-09,67.65
2013-04-10,67.4
2013-04-11,66.45
2013-04-12,67.35
2013-04-15,68.55
2013-04-16,68.15
2013-04-17,67.3
2013-04-18,67.35
2013-04-22,68.95
2013-04-23,68.7
2013-04-25,68.85
2013-04-26,68.1
2013-04-29,67.85
2013-04-30,67.2
2013-05-02,67.05
2013-05-03,65.8
2013-05-06,65.35
2013-05-07,65.65
2013-05-08,65.85
2013-05-09,65.5
2013-05-10,64.6
2013-05-11,64.5
2013-05-13,62.95
2013-05-14,62.8
2013-05-15,61.65
2013-05-16,62.15
2013-05-17,62.55
2013-05-20,62.2
2013-05-21,62.15
2013-05-22,61.05
2013-05-23,59.3
2013-05-24,58.45
2013-05-27,58.0
2013-05-28,60.25
2013-05-29,58.35
2013-05-30,57.9
2013-05-31,59.3
2013-06-03,58.2
2013-06-04,58.0
2013-06-05,57.9
2013-06-06,58.05
2013-06-07,57.05
2013-06-10,56.7
2013-06-11,54.95
2013-06-12,54.7
2013-06-13,53.3
2013-06-14,54.9
2013-06-17,52.95
2013-06-18,53.3
2013-06-19,54.3
2013-06-20,54.05
2013-06-21,52.6
2013-06-24,51.55
2013-06-25,53.2
2013-06-26,54.05
2013-06-27,53.05
2013-06-28,57.6
2013-07-01,57.65
2013-07-02,57.8
2013-07-03,56.3
2013-07-04,56.35
2013-07-05,57.35
2013-07-08,57.4
2013-07-09,58.65
2013-07-10,57.6
2013-07-11,58.25
2013-07-12,58.15
2013-07-15,59.35
2013-07-16,57.6
2013-07-17,56.9
2013-07-18,57.5
2013-07-19,56.25
2013-07-22,54.15
2013-07-23,54.85
2013-07-24,53.25
2013-07-25,53.5
2013-07-26,52.55
2013-07-29,51.15
2013-07-30,49.1
2013-07-31,49.55
2013-08-01,51.0
2013-08-02,49.95
2013-08-05,50.0
2013-08-06,49.35
2013-08-07,49.9
2013-08-08,51.65
2013-08-12,52.4
2013-08-13,54.6
2013-08-14,57.7
2013-08-16,54.15
2013-08-19,54.6
2013-08-20,53.6
2013-08-21,52.0
2013-08-22,53.15
2013-08-23,53.15
2013-08-26,53.1
2013-08-27,51.95
2013-08-28,50.6
2013-08-29,49.65
2013-08-30,49.75
