Date,AMBIKCO
2013-01-01,200.55
2013-01-02,204.4
2013-01-03,204.5
2013-01-04,210.0
2013-01-07,214.65
2013-01-08,222.25
2013-01-09,214.15
2013-01-10,214.5
2013-01-11,211.4
2013-01-14,219.45
2013-01-15,220.45
2013-01-16,218.85
2013-01-17,219.4
2013-01-18,219.75
2013-01-21,223.8
2013-01-22,219.2
2013-01-23,219.45
2013-01-24,215.2
2013-01-25,219.25
2013-01-28,220.9
2013-01-29,221.65
2013-01-30,225.75
2013-01-31,222.0
2013-02-01,222.55
2013-02-04,222.0
2013-02-05,222.9
2013-02-06,223.8
2013-02-07,222.6
2013-02-08,219.25
2013-02-11,219.05
2013-02-12,221.0
2013-02-13,220.85
2013-02-14,218.05
2013-02-15,211.3
2013-02-18,206.0
2013-02-19,206.0
2013-02-20,205.0
2013-02-21,203.2
2013-02-22,204.1
2013-02-25,200.0
2013-02-26,197.5
2013-02-27,199.15
2013-02-28,195.6
2013-03-01,196.0
2013-03-04,193.35
2013-03-05,193.25
2013-03-06,196.05
2013-03-07,195.0
2013-03-08,196.7
2013-03-11,199.95
2013-03-12,199.65
2013-03-13,195.05
2013-03-14,194.5
2013-03-15,192.65
2013-03-18,190.5
2013-03-19,189.15
2013-03-20,190.5
2013-03-21,186.2
2013-03-22,184.7
2013-03-25,185.25
2013-03-26,183.75
2013-03-28,187.1
2013-04-02,195.0
2013-04-03,199.9
2013-04-05,193.0
2013-04-09,193.6
2013-04-10,197.0
2013-04-11,200.75
2013-04-16,196.0
2013-04-17,205.0
2013-04-18,200.15
2013-04-22,197.5
2013-04-23,196.9
2013-04-25,197.9
2013-04-26,199.85
2013-04-29,195.5
2013-04-30,195.5
2013-05-02,200.55
2013-05-03,204.8
2013-05-06,200.0
2013-05-07,202.5
2013-05-08,199.95
2013-05-09,200.95
2013-05-10,201.1
2013-05-11,212.95
2013-05-13,207.45
2013-05-14,200.05
2013-05-15,200.0
2013-05-16,198.25
2013-05-17,205.0
2013-05-20,203.3
2013-05-21,202.7
2013-05-22,200.9
2013-05-23,205.25
2013-05-27,201.95
2013-05-28,206.95
2013-05-29,208.8
2013-05-30,210.0
2013-05-31,206.3
2013-06-03,210.75
2013-06-04,209.65
2013-06-05,209.5
2013-06-06,209.0
2013-06-07,211.0
2013-06-10,210.55
2013-06-11,209.4
2013-06-12,211.75
2013-06-13,208.0
2013-06-14,209.5
2013-06-17,214.35
2013-06-18,209.2
2013-06-19,207.65
2013-06-20,205.2
2013-06-21,205.0
2013-06-24,205.0
2013-06-25,203.85
2013-06-26,206.0
2013-06-27,204.0
2013-06-28,204.55
2013-07-01,208.1
2013-07-02,203.9
2013-07-03,202.1
2013-07-04,207.35
2013-07-05,208.85
2013-07-08,211.05
2013-07-09,210.05
2013-07-12,207.0
2013-07-16,206.55
2013-07-18,205.05
2013-07-22,220.0
2013-07-23,221.3
2013-07-25,215.0
2013-07-31,210.0
2013-08-01,201.05
2013-08-02,200.0
2013-08-05,199.0
2013-08-06,186.6
2013-08-07,187.0
2013-08-08,195.0
2013-08-12,183.1
2013-08-13,192.55
2013-08-16,200.0
2013-08-20,192.0
2013-08-21,200.0
2013-08-22,199.0
2013-08-26,215.0
2013-08-27,229.9
2013-08-28,222.0
2013-08-29,235.0
2013-08-30,224.0
2013-09-02,234.2
2013-09-03,238.0
2013-09-04,228.0
2013-09-05,229.0
2013-09-06,230.0
2013-09-10,222.0
2013-09-11,223.0
2013-09-12,218.05
2013-09-13,220.95
2013-09-16,230.0
2013-09-17,221.0
2013-09-18,215.0
2013-09-19,214.5
2013-09-20,205.0
2013-09-23,218.5
2013-09-24,205.0
2013-09-25,206.5
2013-10-04,205.0
2013-10-07,224.9
2013-10-09,223.9
2013-10-11,220.1
2013-10-14,217.0
2013-10-15,221.0
2013-10-17,222.0
2013-10-18,217.1
2013-10-22,228.85
2013-10-24,223.0
2013-10-25,225.0
2013-10-28,248.0
2013-10-29,240.0
2013-10-30,235.0
2013-10-31,230.0
2013-11-01,240.0
2013-11-05,248.0
2013-11-06,243.0
2013-11-07,244.0
2013-11-08,238.25
2013-11-11,241.1
2013-11-12,241.2
2013-11-13,241.2
2013-11-18,248.0
2013-11-19,252.0
2013-11-21,259.9
2013-11-22,253.0
2013-11-25,250.0
2013-11-26,252.0
2013-11-27,252.0
2013-11-28,250.0
2013-11-29,249.0
2013-12-03,258.3
2013-12-04,250.1
2013-12-05,250.0
2013-12-06,251.5
2013-12-09,252.0
2013-12-10,254.0
2013-12-11,252.05
2013-12-12,253.0
2013-12-16,259.95
2013-12-17,260.0
2013-12-18,260.0
2013-12-19,262.0
2013-12-20,265.0
2013-12-23,274.0
2013-12-24,260.1
2013-12-26,255.0
2013-12-27,260.0
2013-12-30,260.0
2013-12-31,260.1
2014-01-01,275.2
2014-01-02,273.95
