Date,EVERESTIND
2013-01-01,241.3
2013-01-02,256.75
2013-01-03,263.9
2013-01-04,261.1
2013-01-07,270.0
2013-01-08,278.7
2013-01-09,272.05
2013-01-10,268.45
2013-01-11,264.8
2013-01-14,269.4
2013-01-15,270.15
2013-01-16,265.35
2013-01-17,266.6
2013-01-18,263.7
2013-01-21,267.45
2013-01-22,269.4
2013-01-23,253.95
2013-01-24,248.65
2013-01-25,246.7
2013-01-28,243.35
2013-01-29,245.9
2013-01-30,245.75
2013-01-31,246.5
2013-02-01,240.9
2013-02-04,233.8
2013-02-05,231.7
2013-02-06,234.55
2013-02-07,233.55
2013-02-08,235.0
2013-02-11,229.6
2013-02-12,223.15
2013-02-13,222.35
2013-02-14,216.95
2013-02-15,214.15
2013-02-18,221.2
2013-02-19,228.7
2013-02-20,226.5
2013-02-21,225.2
2013-02-22,219.9
2013-02-25,218.65
2013-02-26,213.55
2013-02-27,215.2
2013-02-28,215.85
2013-03-01,214.1
2013-03-04,199.05
2013-03-05,206.3
2013-03-06,208.4
2013-03-07,222.4
2013-03-08,216.75
2013-03-11,226.35
2013-03-12,220.95
2013-03-13,218.0
2013-03-14,216.85
2013-03-15,217.15
2013-03-18,212.1
2013-03-19,211.85
2013-03-20,207.35
2013-03-21,202.2
2013-03-22,204.6
2013-03-25,206.1
2013-03-26,201.05
2013-03-28,203.8
2013-04-01,207.1
2013-04-02,208.7
2013-04-03,214.2
2013-04-04,204.1
2013-04-05,202.0
2013-04-08,202.8
2013-04-09,198.25
2013-04-10,202.05
2013-04-11,199.85
2013-04-12,200.8
2013-04-15,200.2
2013-04-16,201.85
2013-04-17,204.55
2013-04-18,205.25
2013-04-22,207.5
2013-04-23,204.0
2013-04-25,203.0
2013-04-26,199.05
2013-04-29,201.5
2013-04-30,199.9
2013-05-02,200.45
2013-05-03,190.25
2013-05-06,193.1
2013-05-07,195.25
2013-05-08,199.55
2013-05-09,200.0
2013-05-10,186.85
2013-05-11,188.15
2013-05-13,184.85
2013-05-14,186.1
2013-05-15,185.25
2013-05-16,185.75
2013-05-17,184.25
2013-05-20,182.65
2013-05-21,180.5
2013-05-22,177.7
2013-05-23,172.5
2013-05-24,173.8
2013-05-27,173.05
2013-05-28,176.7
2013-05-29,176.45
2013-05-30,174.65
2013-05-31,171.4
2013-06-03,170.25
2013-06-04,170.55
2013-06-05,170.95
2013-06-06,170.15
2013-06-07,172.55
2013-06-10,170.65
2013-06-11,170.1
2013-06-12,171.15
2013-06-13,171.75
2013-06-14,171.85
2013-06-17,171.9
2013-06-18,173.0
2013-06-19,174.1
2013-06-20,172.75
2013-06-21,171.8
2013-06-24,168.5
2013-06-25,166.9
2013-06-26,164.75
2013-06-27,165.25
2013-06-28,167.15
2013-07-01,172.35
2013-07-02,171.9
2013-07-03,169.8
2013-07-04,168.95
2013-07-05,174.0
2013-07-08,171.0
2013-07-09,172.75
2013-07-10,175.55
2013-07-11,176.15
2013-07-12,172.6
2013-07-15,177.95
2013-07-16,172.65
2013-07-17,174.95
2013-07-18,167.0
2013-07-19,166.05
2013-07-22,165.35
2013-07-23,163.2
2013-07-24,159.9
2013-07-25,155.75
2013-07-26,153.7
2013-07-29,140.65
2013-07-30,140.15
2013-07-31,134.15
2013-08-01,133.95
2013-08-02,127.6
2013-08-05,126.2
2013-08-06,127.2
2013-08-07,126.4
2013-08-08,128.7
2013-08-12,133.35
2013-08-13,137.8
2013-08-14,144.35
2013-08-16,142.55
2013-08-19,139.7
2013-08-20,135.3
2013-08-21,130.4
2013-08-22,130.4
2013-08-23,139.15
2013-08-26,146.2
2013-08-27,141.85
2013-08-28,138.85
2013-08-29,139.2
2013-08-30,137.05
2013-09-02,138.45
2013-09-03,132.45
2013-09-04,137.15
2013-09-05,137.7
2013-09-06,145.1
2013-09-10,143.35
2013-09-11,144.2
2013-09-12,144.25
2013-09-13,144.05
2013-09-16,146.35
2013-09-17,143.35
2013-09-18,144.0
2013-09-19,148.85
2013-09-20,145.7
2013-09-23,146.85
2013-09-24,143.75
2013-09-25,142.0
2013-09-26,140.3
2013-09-27,141.4
2013-09-30,140.05
2013-10-01,139.75
2013-10-03,140.3
2013-10-04,142.4
2013-10-07,142.75
2013-10-08,144.0
2013-10-09,144.75
2013-10-10,147.7
2013-10-11,146.35
2013-10-14,151.95
2013-10-15,148.65
2013-10-17,145.75
2013-10-18,148.6
2013-10-21,149.75
2013-10-22,151.7
2013-10-23,151.95
2013-10-24,151.5
2013-10-25,151.0
2013-10-28,129.85
2013-10-29,128.2
