Date,KWALITY
2013-01-01,33.9
2013-01-02,33.4
2013-01-03,33.3
2013-01-04,33.75
2013-01-07,37.05
2013-01-08,35.95
2013-01-09,34.9
2013-01-10,34.3
2013-01-11,33.15
2013-01-14,34.6
2013-01-15,34.4
2013-01-16,33.55
2013-01-17,33.9
2013-01-18,33.65
2013-01-21,33.25
2013-01-22,32.95
2013-01-23,32.25
2013-01-24,31.0
2013-01-25,32.15
2013-01-28,33.8
2013-01-29,33.35
2013-01-30,33.2
2013-01-31,34.0
2013-02-01,34.0
2013-02-04,34.7
2013-02-05,34.25
2013-02-06,34.2
2013-02-07,34.1
2013-02-08,33.1
2013-02-11,33.5
2013-02-12,33.7
2013-02-13,35.3
2013-02-14,34.9
2013-02-15,35.8
2013-02-18,34.8
2013-02-19,34.85
2013-02-20,35.15
2013-02-21,35.15
2013-02-22,35.4
2013-02-25,35.3
2013-02-26,34.15
2013-02-27,33.25
2013-02-28,31.95
2013-03-01,32.1
2013-03-04,32.65
2013-03-05,32.35
2013-03-06,31.95
2013-03-07,32.25
2013-03-08,32.6
2013-03-11,32.4
2013-03-12,32.4
2013-03-13,32.45
2013-03-14,32.45
2013-03-15,31.9
2013-03-18,31.6
2013-03-19,30.85
2013-03-20,29.7
2013-03-21,29.8
2013-03-22,29.8
2013-03-25,29.0
2013-03-26,30.05
2013-03-28,29.75
2013-04-01,30.05
2013-04-02,31.25
2013-04-03,30.7
2013-04-04,29.85
2013-04-05,29.8
2013-04-08,29.15
2013-04-09,29.45
2013-04-10,29.4
2013-04-11,29.6
2013-04-12,29.3
2013-04-15,29.05
2013-04-16,29.15
2013-04-17,28.85
2013-04-18,29.4
2013-04-22,29.25
2013-04-23,28.9
2013-04-25,28.75
2013-04-26,28.45
2013-04-29,28.65
2013-04-30,28.4
2013-05-02,28.6
2013-05-03,28.35
2013-05-06,28.45
2013-05-07,34.1
2013-05-08,32.1
2013-05-09,31.25
2013-05-10,31.9
2013-05-11,31.4
2013-05-13,30.6
2013-05-14,29.95
2013-05-15,30.2
2013-05-16,31.4
2013-05-17,31.05
2013-05-20,30.2
2013-05-21,30.25
2013-05-22,30.0
2013-05-23,29.2
2013-05-24,28.8
2013-05-27,29.45
2013-05-28,29.7
2013-05-29,29.05
2013-05-30,29.0
2013-05-31,28.2
2013-06-03,28.05
2013-06-04,29.05
2013-06-05,28.8
2013-06-06,28.65
2013-06-07,28.6
2013-06-10,28.05
2013-06-11,27.05
2013-06-12,27.0
2013-06-13,26.9
2013-06-14,27.0
2013-06-17,26.95
2013-06-18,27.05
2013-06-19,28.25
2013-06-20,26.95
2013-06-21,26.5
2013-06-24,26.3
2013-06-25,26.05
2013-06-26,25.25
2013-06-27,24.15
2013-06-28,24.1
2013-07-01,25.65
2013-07-02,26.45
2013-07-03,26.2
2013-07-04,27.1
2013-07-05,28.4
2013-07-08,26.45
2013-07-09,26.15
2013-07-10,25.75
2013-07-11,26.05
2013-07-12,25.1
2013-07-15,24.75
2013-07-16,23.9
2013-07-17,24.05
2013-07-18,24.0
2013-07-19,23.85
2013-07-22,24.0
2013-07-23,23.9
2013-07-24,23.75
2013-07-25,23.45
2013-07-26,23.35
2013-07-29,24.35
2013-07-30,23.75
2013-07-31,24.2
2013-08-01,23.7
2013-08-02,23.4
2013-08-05,23.5
2013-08-06,23.45
2013-08-07,23.4
2013-08-08,24.5
2013-08-12,24.4
2013-08-13,24.2
2013-08-14,24.4
2013-08-16,24.4
2013-08-19,25.1
2013-08-20,24.45
2013-08-21,24.3
2013-08-22,24.1
2013-08-23,24.05
2013-08-26,24.25
2013-08-27,24.1
2013-08-28,24.05
2013-08-29,24.15
2013-08-30,24.0
2013-09-02,24.1
2013-09-03,24.0
2013-09-04,23.8
2013-09-05,23.8
2013-09-06,24.15
2013-09-10,23.9
2013-09-11,24.2
2013-09-12,24.75
2013-09-13,24.8
2013-09-16,24.2
2013-09-17,24.0
2013-09-18,24.3
2013-09-19,24.35
2013-09-20,24.1
2013-09-23,24.05
2013-09-24,24.25
2013-09-25,24.25
2013-09-26,28.7
2013-09-27,28.05
2013-09-30,28.6
2013-10-01,27.2
2013-10-03,26.55
2013-10-04,26.0
2013-10-07,20.8
2013-10-08,21.75
2013-10-09,21.75
2013-10-10,21.75
2013-10-11,22.0
2013-10-14,22.9
2013-10-15,22.1
2013-10-17,22.7
2013-10-18,23.0
2013-10-21,23.05
2013-10-22,23.1
2013-10-23,23.55
2013-10-24,24.3
2013-10-25,26.1
2013-10-28,27.15
2013-10-29,28.95
2013-10-30,27.5
2013-10-31,27.4
2013-11-01,27.8
2013-11-03,27.75
2013-11-05,27.4
2013-11-06,27.15
2013-11-07,27.3
2013-11-08,26.85
2013-11-11,27.95
2013-11-12,27.95
2013-11-13,27.95
2013-11-14,28.0
2013-11-18,28.45
2013-11-19,28.05
2013-11-20,27.9
2013-11-21,27.3
2013-11-22,26.9
2013-11-25,28.35
2013-11-26,27.5
2013-11-27,27.5
2013-11-28,27.65
2013-11-29,27.7
2013-12-02,27.9
2013-12-03,27.8
2013-12-04,28.55
2013-12-05,28.1
2013-12-06,28.1
2013-12-09,27.95
2013-12-10,27.7
2013-12-11,27.15
2013-12-12,27.65
2013-12-13,27.4
2013-12-16,26.95
2013-12-17,26.8
2013-12-18,27.35
2013-12-19,27.25
2013-12-20,27.1
2013-12-23,27.15
2013-12-24,27.6
2013-12-26,28.05
2013-12-27,30.0
2013-12-30,29.25
2013-12-31,28.65
2014-01-01,29.25
2014-01-02,28.85
2014-01-03,29.55
2014-01-06,30.35
2014-01-07,31.15
2014-01-08,32.45
2014-01-09,33.3
2014-01-10,32.25
2014-01-13,33.0
2014-01-14,32.3
2014-01-15,31.6
2014-01-16,31.8
2014-01-17,31.3
2014-01-20,31.45
2014-01-21,34.0
2014-01-22,34.05
2014-01-23,34.15
2014-01-24,33.55
2014-01-27,33.4
2014-01-28,33.55
2014-01-29,33.65
2014-01-30,32.75
2014-01-31,33.15
2014-02-03,32.95
2014-02-04,33.4
2014-02-05,34.8
2014-02-06,34.2
2014-02-07,34.55
2014-02-10,35.55
2014-02-11,38.45
2014-02-12,38.2
2014-02-13,38.5
2014-02-14,38.65
2014-02-17,37.9
2014-02-18,36.05
2014-02-19,35.7
2014-02-20,36.55
2014-02-21,36.95
2014-02-24,37.0
2014-02-25,36.6
2014-02-26,35.95
2014-02-28,33.65
2014-03-03,32.3
2014-03-04,33.8
2014-03-05,33.5
2014-03-06,34.05
2014-03-07,33.9
2014-03-10,34.15
2014-03-11,33.8
2014-03-12,33.6
2014-03-13,32.95
2014-03-14,32.0
2014-03-18,32.75
2014-03-19,32.05
2014-03-20,31.6
2014-03-21,30.45
2014-03-22,31.4
2014-03-24,31.4
2014-03-25,30.4
2014-03-26,30.05
2014-03-27,30.75
2014-03-28,30.6
2014-03-31,31.9
2014-04-01,31.4
2014-04-02,33.35
2014-04-03,33.1
2014-04-04,33.45
2014-04-07,33.5
2014-04-09,33.5
2014-04-10,33.65
2014-04-11,33.15
2014-04-15,32.8
2014-04-16,32.4
2014-04-17,32.45
2014-04-21,37.2
2014-04-22,36.4
2014-04-23,36.4
2014-04-25,36.6
2014-04-28,35.65
2014-04-29,34.6
2014-04-30,33.6
2014-05-02,32.8
2014-05-05,31.7
2014-05-06,32.35
2014-05-07,31.95
2014-05-08,31.8
2014-05-09,32.0
2014-05-12,31.95
2014-05-13,32.35
2014-05-14,33.6
2014-05-15,32.7
2014-05-16,33.4
2014-05-19,34.15
2014-05-20,36.25
2014-05-21,37.05
2014-05-22,35.8
2014-05-23,36.65
2014-05-26,34.9
2014-05-27,34.3
2014-05-28,35.4
2014-05-29,35.1
2014-05-30,34.9
2014-06-02,35.95
2014-06-03,35.9
2014-06-04,36.4
2014-06-05,36.8
2014-06-06,36.95
2014-06-09,41.95
2014-06-10,43.8
2014-06-11,51.8
2014-06-12,47.85
2014-06-13,43.4
2014-06-16,43.4
2014-06-17,47.2
2014-06-18,45.2
2014-06-19,44.6
2014-06-20,44.0
2014-06-23,43.85
2014-06-24,44.85
2014-06-25,49.3
2014-06-26,53.15
2014-06-27,55.4
2014-06-30,56.85
2014-07-01,54.25
2014-07-02,53.3
2014-07-03,52.05
2014-07-04,54.65
2014-07-07,57.35
2014-07-08,54.5
2014-07-09,51.8
2014-07-10,49.35
2014-07-11,47.1
2014-07-14,45.6
2014-07-15,47.85
2014-07-16,50.2
2014-07-17,50.15
2014-07-18,51.1
2014-07-21,51.2
2014-07-22,49.9
2014-07-23,49.95
2014-07-24,49.75
2014-07-25,47.95
2014-07-28,47.8
2014-07-30,48.2
2014-07-31,50.6
2014-08-01,48.1
2014-08-04,48.5
2014-08-05,50.6
2014-08-06,50.65
2014-08-07,50.4
2014-08-08,48.1
2014-08-11,50.65
2014-08-12,50.3
2014-08-13,48.55
2014-08-14,49.2
2014-08-18,49.4
2014-08-19,48.6
2014-08-20,48.6
2014-08-21,47.8
2014-08-22,47.25
2014-08-25,48.1
2014-08-26,45.25
2014-08-27,44.95
2014-08-28,44.9
2014-09-01,45.45
2014-09-02,49.35
2014-09-03,48.15
2014-09-04,47.15
2014-09-05,45.9
2014-09-08,46.6
2014-09-09,45.5
2014-09-10,47.25
2014-09-11,49.4
2014-09-12,48.7
2014-09-15,49.7
2014-09-16,46.3
2014-09-17,49.35
2014-09-18,49.65
2014-09-19,50.0
2014-09-22,50.8
2014-09-23,48.7
2014-09-24,48.1
2014-09-25,48.75
2014-09-26,49.5
2014-09-29,50.7
2014-09-30,49.45
2014-10-01,48.85
2014-10-07,48.0
2014-10-08,47.15
2014-10-09,48.45
2014-10-10,47.65
2014-10-13,47.45
2014-10-14,47.7
2014-10-16,47.2
2014-10-17,46.3
2014-10-20,46.4
2014-10-21,45.55
2014-10-22,45.55
2014-10-23,45.9
2014-10-27,45.3
2014-10-28,46.45
2014-10-29,45.9
2014-10-30,46.15
2014-10-31,46.65
2014-11-03,46.65
2014-11-05,46.25
2014-11-07,45.35
2014-11-10,49.2
2014-11-11,49.55
2014-11-12,49.3
2014-11-13,47.65
2014-11-14,47.3
2014-11-17,47.75
2014-11-18,48.25
2014-11-19,48.05
