Date,JKPAPER
2013-01-01,39.75
2013-01-02,39.9
2013-01-03,39.8
2013-01-04,39.7
2013-01-07,39.95
2013-01-08,39.4
2013-01-09,39.35
2013-01-10,39.05
2013-01-11,38.4
2013-01-14,38.3
2013-01-15,38.85
2013-01-16,38.55
2013-01-17,38.35
2013-01-18,38.4
2013-01-21,38.2
2013-01-22,37.6
2013-01-23,36.75
2013-01-24,35.5
2013-01-25,35.45
2013-01-28,35.75
2013-01-29,35.2
2013-01-30,35.15
2013-01-31,35.0
2013-02-01,37.3
2013-02-04,36.7
2013-02-05,35.95
2013-02-06,35.8
2013-02-07,35.0
2013-02-08,34.25
2013-02-11,34.35
2013-02-12,33.95
2013-02-13,33.55
2013-02-14,32.75
2013-02-15,30.7
2013-02-18,31.2
2013-02-19,31.85
2013-02-20,31.45
2013-02-21,31.1
2013-02-22,31.05
2013-02-25,30.9
2013-02-26,30.65
2013-02-27,30.75
2013-02-28,30.3
2013-03-01,30.05
2013-03-04,29.95
2013-03-05,30.0
2013-03-06,29.9
2013-03-07,30.05
2013-03-08,29.95
2013-03-11,30.0
2013-03-12,30.05
2013-03-13,30.0
2013-03-14,29.9
2013-03-15,29.65
2013-03-18,29.35
2013-03-19,29.35
2013-03-20,28.6
2013-03-21,28.4
2013-03-22,28.2
2013-03-25,28.3
2013-03-26,28.05
2013-03-28,28.0
2013-04-01,28.5
2013-04-02,28.95
2013-04-03,28.9
2013-04-04,28.1
2013-04-05,27.6
2013-04-08,28.0
2013-04-09,28.1
2013-04-10,28.15
2013-04-11,28.65
2013-04-12,28.75
2013-04-15,28.85
2013-04-16,28.95
2013-04-17,28.7
2013-04-18,28.7
2013-04-22,28.65
2013-04-23,28.8
2013-04-25,28.65
2013-04-26,28.5
2013-04-29,28.75
2013-04-30,28.9
2013-05-02,29.1
2013-05-03,28.95
2013-05-06,29.55
2013-05-07,29.6
2013-05-08,29.85
2013-05-09,29.95
2013-05-10,29.95
2013-05-11,30.15
2013-05-13,29.65
2013-05-14,31.55
2013-05-15,31.6
2013-05-16,31.05
2013-05-17,30.95
2013-05-20,32.85
2013-05-21,33.05
2013-05-22,32.45
2013-05-23,30.55
2013-05-24,31.25
2013-05-27,31.65
2013-05-28,31.55
2013-05-29,31.1
2013-05-30,30.75
2013-05-31,30.35
2013-06-03,30.6
2013-06-04,30.25
2013-06-05,30.2
2013-06-06,30.15
2013-06-07,29.6
2013-06-10,29.0
2013-06-11,28.8
2013-06-12,28.4
2013-06-13,27.75
2013-06-14,28.05
2013-06-17,28.3
2013-06-18,27.55
2013-06-19,27.45
2013-06-20,26.55
2013-06-21,26.0
2013-06-24,24.0
2013-06-25,25.55
2013-06-26,26.45
2013-06-27,26.55
2013-06-28,27.3
2013-07-01,29.0
2013-07-02,28.9
2013-07-03,29.75
2013-07-04,30.95
2013-07-05,30.3
2013-07-08,29.95
2013-07-09,31.6
2013-07-10,32.1
2013-07-11,31.3
2013-07-12,30.55
2013-07-15,30.35
2013-07-16,29.15
2013-07-17,29.25
2013-07-18,29.6
2013-07-19,28.85
2013-07-22,28.4
2013-07-23,27.7
2013-07-24,27.35
2013-07-25,26.5
2013-07-26,25.95
2013-07-29,25.8
2013-07-30,25.5
2013-07-31,25.05
2013-08-01,25.05
2013-08-02,24.85
2013-08-05,24.7
2013-08-06,24.25
2013-08-07,24.95
2013-08-08,25.2
2013-08-12,25.15
2013-08-13,25.15
2013-08-14,25.35
2013-08-16,24.75
2013-08-19,24.45
2013-08-20,24.35
2013-08-21,24.8
2013-08-22,24.5
2013-08-23,25.15
2013-08-26,25.4
2013-08-27,24.55
2013-08-28,23.9
2013-08-29,25.3
2013-08-30,25.0
2013-09-02,24.8
2013-09-03,24.8
2013-09-04,24.6
2013-09-05,25.15
2013-09-06,25.15
2013-09-10,25.15
2013-09-11,25.4
2013-09-12,26.85
2013-09-13,27.6
2013-09-16,26.9
2013-09-17,27.0
2013-09-18,27.25
2013-09-19,27.3
2013-09-20,26.95
2013-09-23,26.55
2013-09-24,26.4
2013-09-25,26.15
2013-09-26,26.4
2013-09-27,26.2
2013-09-30,25.8
2013-10-01,26.4
2013-10-03,26.55
2013-10-04,26.45
2013-10-07,26.25
2013-10-08,26.6
2013-10-09,29.35
2013-10-10,30.4
2013-10-11,29.1
2013-10-14,28.65
2013-10-15,27.95
2013-10-17,27.6
2013-10-18,27.75
2013-10-21,27.9
2013-10-22,28.45
2013-10-23,28.35
2013-10-24,30.45
2013-10-25,30.95
2013-10-28,29.2
2013-10-29,29.05
2013-10-30,29.4
2013-10-31,29.5
2013-11-01,29.65
2013-11-03,29.7
2013-11-05,29.85
2013-11-06,30.35
2013-11-07,29.65
2013-11-08,29.55
2013-11-11,28.65
2013-11-12,28.3
2013-11-13,28.3
2013-11-14,27.5
2013-11-18,27.8
2013-11-19,28.05
2013-11-20,28.1
2013-11-21,27.75
2013-11-22,27.65
2013-11-25,28.0
2013-11-26,28.2
2013-11-27,28.25
2013-11-28,28.35
2013-11-29,28.4
2013-12-02,28.4
2013-12-03,28.65
2013-12-04,28.85
2013-12-05,28.95
2013-12-06,31.45
2013-12-09,30.45
2013-12-10,29.8
2013-12-11,29.6
2013-12-12,29.4
2013-12-13,29.1
2013-12-16,28.7
2013-12-17,28.5
2013-12-18,28.8
2013-12-19,28.6
2013-12-20,29.0
2013-12-23,29.05
2013-12-24,28.9
2013-12-26,29.55
2013-12-27,29.95
2013-12-30,29.9
2013-12-31,30.75
2014-01-01,31.3
2014-01-02,29.95
2014-01-03,30.1
2014-01-06,30.7
2014-01-07,30.6
2014-01-08,33.15
2014-01-09,31.15
2014-01-10,30.75
2014-01-13,31.55
2014-01-14,31.2
2014-01-15,31.25
2014-01-16,30.7
2014-01-17,30.15
2014-01-20,30.3
2014-01-21,29.95
2014-01-22,30.05
2014-01-23,30.05
2014-01-24,30.35
2014-01-27,29.45
2014-01-28,29.1
2014-01-29,29.05
2014-01-30,28.8
2014-01-31,28.95
2014-02-03,28.65
2014-02-04,28.55
2014-02-05,28.7
2014-02-06,29.1
2014-02-07,29.0
2014-02-10,29.05
2014-02-11,28.65
2014-02-12,28.45
2014-02-13,28.3
2014-02-14,28.0
2014-02-17,27.9
2014-02-18,27.8
2014-02-19,30.6
2014-02-20,29.95
2014-02-21,28.85
2014-02-24,28.6
2014-02-25,28.55
2014-02-26,28.25
2014-02-28,28.15
2014-03-03,28.05
2014-03-04,28.25
2014-03-05,28.75
2014-03-06,28.7
2014-03-07,30.0
2014-03-10,29.85
2014-03-11,30.1
2014-03-12,29.4
2014-03-13,30.3
2014-03-14,29.5
2014-03-18,29.3
2014-03-19,29.5
2014-03-20,29.1
2014-03-21,29.2
2014-03-22,29.0
2014-03-24,29.2
2014-03-25,28.9
2014-03-26,29.2
2014-03-27,29.3
2014-03-28,29.65
2014-03-31,30.0
2014-04-01,30.3
2014-04-02,32.95
2014-04-03,31.1
2014-04-04,31.95
2014-04-07,33.05
2014-04-09,32.75
2014-04-10,33.2
2014-04-11,33.05
2014-04-15,33.25
2014-04-16,32.85
2014-04-17,33.65
2014-04-21,34.0
2014-04-22,33.7
2014-04-23,33.6
2014-04-25,33.35
2014-04-28,33.25
2014-04-29,32.85
2014-04-30,31.95
2014-05-02,31.8
2014-05-05,31.8
2014-05-06,31.2
2014-05-07,30.55
2014-05-08,30.7
2014-05-09,30.8
2014-05-12,30.85
2014-05-13,30.95
2014-05-14,31.55
2014-05-15,32.35
2014-05-16,32.3
2014-05-19,34.15
2014-05-20,35.8
2014-05-21,36.3
2014-05-22,35.45
2014-05-23,35.35
2014-05-26,33.95
2014-05-27,32.85
2014-05-28,33.2
2014-05-29,32.9
2014-05-30,32.3
2014-06-02,32.75
2014-06-03,35.05
2014-06-04,34.9
2014-06-05,36.85
2014-06-06,36.65
2014-06-09,37.0
2014-06-10,36.95
2014-06-11,37.0
2014-06-12,39.05
2014-06-13,36.4
2014-06-16,34.55
2014-06-17,35.55
2014-06-18,34.7
2014-06-19,35.2
2014-06-20,35.15
2014-06-23,37.35
2014-06-24,37.6
2014-06-25,37.7
2014-06-26,37.55
2014-06-27,36.95
2014-06-30,36.8
2014-07-01,37.05
2014-07-02,37.2
2014-07-03,36.75
2014-07-04,36.55
2014-07-07,36.4
2014-07-08,34.9
2014-07-09,34.15
2014-07-10,34.15
2014-07-11,33.2
2014-07-14,32.4
2014-07-15,33.6
2014-07-16,33.85
2014-07-17,34.4
2014-07-18,34.5
2014-07-21,34.85
2014-07-22,34.6
2014-07-23,34.55
2014-07-24,34.3
2014-07-25,32.85
2014-07-28,32.3
2014-07-30,32.2
2014-07-31,32.25
2014-08-01,32.1
2014-08-04,32.35
2014-08-05,32.4
2014-08-06,32.55
2014-08-07,32.7
2014-08-08,31.7
2014-08-11,32.15
2014-08-12,30.65
2014-08-13,29.55
2014-08-14,29.65
2014-08-18,30.35
2014-08-19,30.7
2014-08-20,31.6
2014-08-21,31.6
2014-08-22,31.6
2014-08-25,31.1
2014-08-26,30.35
2014-08-27,30.15
2014-08-28,29.85
2014-09-01,29.9
2014-09-02,30.7
2014-09-03,30.5
2014-09-04,29.55
2014-09-05,29.95
2014-09-08,30.9
2014-09-09,33.25
2014-09-10,32.1
2014-09-11,32.6
2014-09-12,33.4
2014-09-15,32.7
2014-09-16,31.0
2014-09-17,31.2
2014-09-18,32.65
2014-09-19,32.15
2014-09-22,33.8
2014-09-23,32.25
2014-09-24,31.75
2014-09-25,30.8
2014-09-26,31.05
2014-09-29,31.05
2014-09-30,31.0
2014-10-01,30.7
2014-10-07,30.95
2014-10-08,30.75
2014-10-09,30.75
2014-10-10,30.3
2014-10-13,30.55
2014-10-14,30.75
2014-10-16,30.05
2014-10-17,29.8
2014-10-20,30.05
2014-10-21,29.95
2014-10-22,30.5
2014-10-23,30.5
2014-10-27,30.75
2014-10-28,30.85
2014-10-29,30.5
2014-10-30,30.55
2014-10-31,31.05
2014-11-03,30.9
2014-11-05,31.4
2014-11-07,31.15
2014-11-10,31.2
2014-11-11,31.05
2014-11-12,30.9
2014-11-13,30.95
2014-11-14,31.4
2014-11-17,31.8
2014-11-18,31.85
2014-11-19,31.7
2014-11-20,31.35
2014-11-21,31.4
2014-11-24,32.0
2014-11-25,31.5
2014-11-26,31.45
2014-11-27,32.0
2014-11-28,31.5
2014-12-01,31.5
2014-12-02,31.6
2014-12-03,31.85
2014-12-04,33.15
2014-12-05,32.45
2014-12-08,31.85
2014-12-09,31.05
2014-12-10,31.4
2014-12-11,31.05
2014-12-12,30.5
2014-12-15,30.4
2014-12-16,29.55
2014-12-17,29.4
2014-12-18,30.0
2014-12-19,29.6
2014-12-22,29.4
2014-12-23,29.95
2014-12-24,29.5
2014-12-26,32.05
2014-12-29,32.45
2014-12-30,32.05
2014-12-31,32.05
2015-01-01,33.5
2015-01-02,33.9
2015-01-05,33.2
2015-01-06,31.5
2015-01-07,30.9
2015-01-08,31.5
2015-01-09,31.6
2015-01-12,31.75
2015-01-13,32.0
2015-01-14,31.55
2015-01-15,31.4
2015-01-16,31.0
2015-01-19,30.95
2015-01-20,31.1
2015-01-21,35.6
2015-01-22,35.95
2015-01-23,34.6
2015-01-27,34.55
2015-01-28,34.7
2015-01-29,34.85
2015-01-30,34.35
2015-02-02,35.8
2015-02-03,35.55
2015-02-04,38.45
2015-02-05,36.2
2015-02-06,35.25
2015-02-09,34.6
2015-02-10,34.5
2015-02-11,36.65
2015-02-12,37.15
2015-02-13,36.15
2015-02-16,35.45
2015-02-18,35.0
2015-02-19,34.85
2015-02-20,34.85
2015-02-23,34.6
2015-02-24,35.3
2015-02-25,35.2
2015-02-26,35.5
2015-02-27,35.45
2015-02-28,35.15
2015-03-02,34.9
2015-03-03,34.75
2015-03-04,34.65
2015-03-05,34.6
2015-03-09,34.25
2015-03-10,33.8
2015-03-11,33.4
2015-03-12,34.05
2015-03-13,34.0
2015-03-16,33.5
2015-03-17,33.25
2015-03-18,31.5
2015-03-19,31.85
2015-03-20,31.25
2015-03-23,31.45
2015-03-24,31.0
2015-03-25,31.0
2015-03-26,31.0
2015-03-27,30.9
2015-03-30,31.05
2015-03-31,31.5
2015-04-01,32.9
2015-04-06,32.55
2015-04-07,33.7
2015-04-08,34.3
2015-04-09,34.2
2015-04-10,34.05
2015-04-13,35.5
2015-04-15,36.7
2015-04-16,35.25
2015-04-17,35.1
2015-04-20,34.55
2015-04-21,34.45
2015-04-22,34.35
2015-04-23,35.05
2015-04-24,33.95
2015-04-27,33.1
2015-04-28,33.8
2015-04-29,33.7
2015-04-30,33.75
