Date,LAKSHVILAS
2013-01-01,104.4
2013-01-02,105.4
2013-01-03,112.95
2013-01-04,117.4
2013-01-07,121.6
2013-01-08,121.95
2013-01-09,119.55
2013-01-10,121.75
2013-01-11,118.75
2013-01-14,117.85
2013-01-15,117.45
2013-01-16,113.65
2013-01-17,110.2
2013-01-18,111.4
2013-01-21,110.15
2013-01-22,111.65
2013-01-23,108.75
2013-01-24,104.35
2013-01-25,108.2
2013-01-28,105.55
2013-01-29,103.55
2013-01-30,105.0
2013-01-31,104.2
2013-02-01,101.85
2013-02-04,99.05
2013-02-05,96.3
2013-02-06,100.05
2013-02-07,98.5
2013-02-08,96.0
2013-02-11,96.1
2013-02-12,100.15
2013-02-13,98.15
2013-02-14,96.6
2013-02-15,97.5
2013-02-18,97.05
2013-02-19,98.0
2013-02-20,97.5
2013-02-21,94.4
2013-02-22,94.25
2013-02-25,95.85
2013-02-26,93.15
2013-02-27,93.45
2013-02-28,90.35
2013-03-01,89.2
2013-03-04,86.6
2013-03-05,88.2
2013-03-06,90.0
2013-03-07,90.3
2013-03-08,90.95
2013-03-11,89.7
2013-03-12,88.6
2013-03-13,87.35
2013-03-14,90.6
2013-03-15,86.95
2013-03-18,86.45
2013-03-19,82.7
2013-03-20,80.45
2013-03-21,79.1
2013-03-22,78.9
2013-03-25,81.65
2013-03-26,82.0
2013-03-28,81.1
2013-04-01,84.35
2013-04-02,85.85
2013-04-03,86.75
2013-04-04,84.15
2013-04-05,83.9
2013-04-08,82.45
2013-04-09,80.75
2013-04-10,81.75
2013-04-11,82.05
2013-04-12,81.85
2013-04-15,84.95
2013-04-16,86.65
2013-04-17,85.65
2013-04-18,84.8
2013-04-22,85.85
2013-04-23,84.95
2013-04-25,85.8
2013-04-26,84.25
2013-04-29,85.1
2013-04-30,84.65
2013-05-02,86.1
2013-05-03,84.55
2013-05-06,87.85
2013-05-07,86.15
2013-05-08,85.7
2013-05-09,84.95
2013-05-10,85.15
2013-05-11,85.65
2013-05-13,83.65
2013-05-14,84.25
2013-05-15,85.8
2013-05-16,86.75
2013-05-17,86.35
2013-05-20,85.95
2013-05-21,85.0
2013-05-22,83.9
2013-05-23,81.65
2013-05-24,81.7
2013-05-27,82.1
2013-05-28,80.95
