Date,LIBERTSHOE
2013-01-01,102.9
2013-01-02,108.3
2013-01-03,106.65
2013-01-04,105.35
2013-01-07,105.6
2013-01-08,104.1
2013-01-09,103.75
2013-01-10,103.5
2013-01-11,103.25
2013-01-14,103.75
2013-01-15,103.25
2013-01-16,102.0
2013-01-17,101.4
2013-01-18,100.25
2013-01-21,100.95
2013-01-22,99.0
2013-01-23,98.5
2013-01-24,95.7
2013-01-25,96.25
2013-01-28,97.6
2013-01-29,96.0
2013-01-30,95.05
2013-01-31,95.35
2013-02-01,94.45
2013-02-04,94.15
2013-02-05,93.55
2013-02-06,92.25
2013-02-07,92.4
2013-02-08,91.05
2013-02-11,89.15
2013-02-12,89.75
2013-02-13,87.9
2013-02-14,84.9
2013-02-15,82.8
2013-02-18,84.05
2013-02-19,88.2
2013-02-20,99.45
2013-02-21,94.1
2013-02-22,94.95
2013-02-25,90.25
2013-02-26,89.65
2013-02-27,87.7
2013-02-28,87.25
2013-03-01,86.9
2013-03-04,85.1
2013-03-05,86.2
2013-03-06,87.35
2013-03-07,88.7
2013-03-08,90.55
2013-03-11,96.25
2013-03-12,96.05
2013-03-13,92.95
2013-03-14,93.3
2013-03-15,91.3
2013-03-18,91.7
2013-03-19,92.75
2013-03-20,86.85
2013-03-21,85.5
2013-03-22,83.1
2013-03-25,83.5
2013-03-26,81.6
2013-03-28,84.5
2013-04-01,86.75
2013-04-02,90.85
2013-04-03,88.7
2013-04-04,85.7
2013-04-05,85.6
2013-04-08,88.4
2013-04-09,86.5
2013-04-10,85.7
2013-04-11,86.4
2013-04-12,86.25
2013-04-15,88.7
2013-04-16,88.15
2013-04-17,89.05
2013-04-18,92.05
2013-04-22,90.5
2013-04-23,90.1
2013-04-25,89.25
2013-04-26,89.4
2013-04-29,91.1
2013-04-30,91.8
2013-05-02,90.6
2013-05-03,89.4
2013-05-06,90.05
2013-05-07,90.65
2013-05-08,90.3
2013-05-09,92.45
2013-05-10,90.95
2013-05-11,92.85
2013-05-13,91.15
2013-05-14,90.4
2013-05-15,90.95
2013-05-16,91.95
2013-05-17,92.55
2013-05-20,92.9
2013-05-21,91.6
2013-05-22,89.9
2013-05-23,87.0
2013-05-24,87.7
2013-05-27,89.0
2013-05-28,89.0
2013-05-29,87.35
2013-05-30,88.35
2013-05-31,86.8
2013-06-03,85.45
2013-06-04,95.8
2013-06-05,92.8
2013-06-06,93.6
2013-06-07,92.1
2013-06-10,89.75
2013-06-11,86.65
2013-06-12,88.4
2013-06-13,86.05
2013-06-14,87.7
2013-06-17,89.4
2013-06-18,88.05
2013-06-19,87.7
2013-06-20,85.85
2013-06-21,85.35
2013-06-24,80.85
2013-06-25,79.1
2013-06-26,78.05
2013-06-27,80.2
2013-06-28,82.25
2013-07-01,83.85
2013-07-02,83.65
2013-07-03,81.8
2013-07-04,81.75
2013-07-05,80.8
2013-07-08,79.05
2013-07-09,80.55
2013-07-10,81.7
2013-07-11,80.95
2013-07-12,81.5
2013-07-15,81.3
2013-07-16,80.05
2013-07-17,81.45
2013-07-18,82.9
2013-07-19,81.6
2013-07-22,82.4
2013-07-23,81.8
2013-07-24,79.55
2013-07-25,77.9
2013-07-26,76.7
2013-07-29,80.2
2013-07-30,79.3
2013-07-31,79.1
2013-08-01,79.3
2013-08-02,75.25
2013-08-05,73.95
2013-08-06,70.7
2013-08-07,69.7
2013-08-08,71.75
2013-08-12,73.25
2013-08-13,75.0
2013-08-14,78.9
2013-08-16,74.5
2013-08-19,73.4
2013-08-20,77.0
2013-08-21,74.15
2013-08-22,74.75
2013-08-23,74.8
2013-08-26,76.3
2013-08-27,75.75
2013-08-28,77.3
2013-08-29,81.0
2013-08-30,78.1
2013-09-02,78.25
2013-09-03,74.95
2013-09-04,75.6
2013-09-05,77.85
2013-09-06,77.1
2013-09-10,78.25
2013-09-11,79.5
2013-09-12,78.85
2013-09-13,78.85
2013-09-16,80.25
2013-09-17,81.55
2013-09-18,81.45
2013-09-19,81.6
2013-09-20,81.55
2013-09-23,81.6
2013-09-24,82.15
2013-09-25,79.9
2013-09-26,81.85
2013-09-27,81.25
2013-09-30,79.4
2013-10-01,79.75
2013-10-03,81.25
2013-10-04,80.55
2013-10-07,81.2
2013-10-08,81.8
2013-10-09,82.75
2013-10-10,85.1
2013-10-11,83.05
2013-10-14,85.3
2013-10-15,83.95
2013-10-17,82.3
2013-10-18,84.35
2013-10-21,83.45
2013-10-22,88.9
2013-10-23,88.8
2013-10-24,91.25
2013-10-25,89.25
2013-10-28,88.75
2013-10-29,87.3
2013-10-30,89.4
2013-10-31,90.4
2013-11-01,88.4
2013-11-03,88.8
2013-11-05,87.15
2013-11-06,87.05
2013-11-07,90.5
2013-11-08,88.8
2013-11-11,86.5
2013-11-12,87.2
2013-11-13,87.45
2013-11-14,87.95
2013-11-18,89.45
2013-11-19,90.55
2013-11-20,93.85
2013-11-21,93.25
2013-11-22,97.9
2013-11-25,101.1
2013-11-26,98.1
2013-11-27,95.75
2013-11-28,95.8
2013-11-29,96.3
2013-12-02,102.3
2013-12-03,101.85
2013-12-04,100.6
2013-12-05,100.3
2013-12-06,99.95
2013-12-09,100.0
2013-12-10,99.55
2013-12-11,96.7
2013-12-12,97.15
2013-12-13,95.85
2013-12-16,95.2
2013-12-17,99.45
2013-12-18,98.7
2013-12-19,111.3
2013-12-20,113.1
2013-12-23,121.15
2013-12-24,138.2
2013-12-26,156.9
2013-12-27,154.2
2013-12-30,143.15
2013-12-31,155.1
2014-01-01,156.7
2014-01-02,148.65
2014-01-03,149.85
2014-01-06,153.1
2014-01-07,150.4
2014-01-08,153.7
2014-01-09,150.15
2014-01-10,148.2
2014-01-13,151.75
2014-01-14,156.5
2014-01-15,147.55
2014-01-16,141.2
2014-01-17,142.15
2014-01-20,138.3
2014-01-21,138.8
2014-01-22,139.2
2014-01-23,137.7
2014-01-24,131.1
2014-01-27,121.1
2014-01-28,119.35
2014-01-29,121.65
2014-01-30,115.95
2014-01-31,119.05
2014-02-03,119.45
2014-02-04,118.15
2014-02-05,125.5
2014-02-06,128.7
2014-02-07,124.35
2014-02-10,128.5
2014-02-11,127.35
2014-02-12,125.35
2014-02-13,121.3
2014-02-14,121.5
2014-02-17,123.45
2014-02-18,124.15
2014-02-19,124.8
2014-02-20,125.35
2014-02-21,126.3
2014-02-24,129.4
2014-02-25,128.3
2014-02-26,128.7
2014-02-28,127.6
2014-03-03,125.1
2014-03-04,125.65
2014-03-05,126.55
2014-03-06,127.75
2014-03-07,128.6
2014-03-10,127.55
2014-03-11,147.75
2014-03-12,149.6
2014-03-13,150.4
2014-03-14,153.15
2014-03-18,153.35
2014-03-19,148.95
2014-03-20,145.95
2014-03-21,147.05
2014-03-22,151.65
2014-03-24,149.35
2014-03-25,147.5
2014-03-26,147.1
2014-03-27,147.6
2014-03-28,148.75
2014-03-31,147.9
2014-04-01,150.9
2014-04-02,154.4
2014-04-03,151.65
2014-04-04,151.1
2014-04-07,155.9
2014-04-09,159.1
2014-04-10,164.5
2014-04-11,162.5
2014-04-15,168.2
2014-04-16,160.4
2014-04-17,164.2
2014-04-21,187.7
2014-04-22,181.7
2014-04-23,181.65
2014-04-25,173.6
2014-04-28,170.8
2014-04-29,177.15
2014-04-30,174.9
2014-05-02,176.3
2014-05-05,173.25
2014-05-06,173.6
2014-05-07,168.1
2014-05-08,162.8
2014-05-09,164.15
2014-05-12,167.15
2014-05-13,166.65
2014-05-14,166.65
2014-05-15,163.75
2014-05-16,161.8
2014-05-19,174.45
2014-05-20,174.0
2014-05-21,176.0
2014-05-22,179.8
2014-05-23,175.75
2014-05-26,163.15
2014-05-27,168.1
2014-05-28,166.75
2014-05-29,166.15
2014-05-30,166.5
2014-06-02,168.75
2014-06-03,178.4
2014-06-04,180.1
2014-06-05,195.95
2014-06-06,195.45
2014-06-09,212.9
2014-06-10,216.85
2014-06-11,213.4
2014-06-12,209.95
2014-06-13,197.15
2014-06-16,205.3
2014-06-17,204.65
2014-06-18,200.6
2014-06-19,203.65
2014-06-20,214.65
2014-06-23,222.85
2014-06-24,223.65
2014-06-25,220.05
2014-06-26,217.55
2014-06-27,218.1
2014-06-30,220.15
2014-07-01,235.9
2014-07-02,240.0
2014-07-03,246.0
2014-07-04,295.2
2014-07-07,310.0
2014-07-08,276.65
2014-07-09,277.7
2014-07-10,290.65
2014-07-11,277.7
2014-07-14,280.55
2014-07-15,286.3
2014-07-16,290.55
2014-07-17,308.0
2014-07-18,313.2
2014-07-21,334.5
2014-07-22,338.85
2014-07-23,319.05
2014-07-24,295.55
2014-07-25,295.25
2014-07-28,289.05
2014-07-30,284.7
2014-07-31,281.9
2014-08-01,268.6
2014-08-04,274.25
2014-08-05,308.95
2014-08-06,296.45
2014-08-07,302.05
2014-08-08,291.35
2014-08-11,300.0
2014-08-12,299.25
2014-08-13,288.85
2014-08-14,289.55
2014-08-18,301.55
2014-08-19,303.05
2014-08-20,298.1
2014-08-21,306.7
2014-08-22,298.9
2014-08-25,299.15
2014-08-26,297.75
2014-08-27,309.9
2014-08-28,304.7
2014-09-01,311.45
2014-09-02,313.55
2014-09-03,321.2
2014-09-04,317.7
2014-09-05,316.45
2014-09-08,319.45
2014-09-09,314.95
2014-09-10,325.25
2014-09-11,323.7
2014-09-12,321.85
2014-09-15,319.95
2014-09-16,300.5
2014-09-17,301.05
2014-09-18,306.2
2014-09-19,301.9
2014-09-22,315.45
2014-09-23,301.55
2014-09-24,297.1
2014-09-25,288.6
2014-09-26,284.25
2014-09-29,292.75
2014-09-30,292.25
2014-10-01,304.3
2014-10-07,302.2
2014-10-08,296.5
2014-10-09,304.6
2014-10-10,301.15
2014-10-13,315.55
2014-10-14,295.3
2014-10-16,279.95
2014-10-17,280.6
2014-10-20,280.7
2014-10-21,282.65
2014-10-22,282.35
2014-10-23,280.75
2014-10-27,278.2
2014-10-28,277.85
2014-10-29,280.35
2014-10-30,277.75
2014-10-31,280.2
2014-11-03,282.95
2014-11-05,282.2
2014-11-07,282.5
2014-11-10,280.6
2014-11-11,278.45
2014-11-12,279.25
2014-11-13,271.25
2014-11-14,273.9
2014-11-17,274.6
2014-11-18,272.7
2014-11-19,273.45
2014-11-20,273.65
2014-11-21,272.65
