Date,SHREYANIND
2013-01-01,19.4
2013-01-02,19.3
2013-01-04,19.9
2013-01-07,20.7
2013-01-08,20.45
2013-01-09,20.25
2013-01-10,20.25
2013-01-11,20.5
2013-01-14,20.25
2013-01-15,20.5
2013-01-17,21.35
2013-01-18,21.25
2013-01-21,20.75
2013-01-22,20.8
2013-01-23,20.5
2013-01-25,20.5
2013-01-28,20.75
2013-01-29,21.25
2013-01-30,22.0
2013-01-31,21.8
2013-02-01,22.0
2013-02-04,21.3
2013-02-05,21.25
2013-02-06,22.3
2013-02-07,22.85
2013-02-08,21.85
2013-02-12,21.05
2013-02-14,20.0
2013-02-15,19.5
2013-02-19,19.5
2013-02-20,19.5
2013-02-21,19.0
2013-02-22,19.1
2013-02-25,19.25
2013-02-28,18.3
2013-03-01,17.45
2013-03-04,16.65
2013-03-07,16.05
2013-03-08,16.85
2013-03-11,16.25
2013-03-12,16.35
2013-03-18,17.05
2013-03-20,16.4
2013-03-26,17.15
2013-04-01,16.3
2013-04-16,15.7
2013-04-17,15.6
2013-04-22,16.0
2013-04-25,16.0
2013-05-02,16.0
2013-05-06,16.0
2013-05-07,16.05
2013-05-13,16.0
2013-05-15,16.0
2013-05-17,16.05
2013-06-14,16.75
2013-07-11,17.55
2013-07-12,18.4
2013-07-17,19.3
2013-07-19,20.25
2013-07-23,20.2
2013-07-26,21.0
2013-07-29,20.05
2013-08-07,19.5
2013-08-20,20.45
2013-09-02,21.45
2013-09-17,20.4
2013-09-27,20.05
2013-11-01,21.05
2013-11-13,21.1
2013-11-18,22.15
2013-11-19,22.35
2013-11-29,23.05
2013-12-02,22.65
2013-12-03,21.6
2013-12-05,21.55
2013-12-23,21.25
2013-12-26,21.3
2013-12-31,22.0
2014-01-08,20.9
2014-01-10,20.0
2014-01-16,20.75
2014-01-21,20.85
2014-01-24,21.85
2014-01-27,21.35
2014-02-03,21.55
2014-02-04,21.75
2014-02-06,21.6
2014-02-07,22.25
2014-02-11,22.55
2014-02-12,22.8
2014-02-13,22.4
2014-02-18,22.35
2014-02-19,22.35
2014-02-20,22.4
2014-02-21,22.5
2014-03-05,22.5
2014-03-06,22.8
2014-03-07,22.2
2014-03-10,22.25
2014-03-11,22.5
2014-03-13,23.5
2014-03-19,22.4
2014-03-20,22.35
2014-03-21,22.35
2014-03-24,22.5
2014-03-25,23.0
2014-03-26,22.1
2014-03-27,23.2
2014-03-28,23.0
2014-03-31,22.0
2014-04-01,22.65
2014-04-03,23.75
2014-04-07,23.55
2014-04-09,24.0
2014-04-10,25.1
2014-04-17,26.3
2014-04-21,25.25
2014-04-23,25.3
2014-04-25,25.55
2014-05-02,25.55
2014-05-07,24.5
2014-05-08,22.05
2014-05-09,23.25
2014-05-12,22.05
2014-05-13,21.9
2014-05-14,23.0
2014-05-15,22.15
2014-05-16,23.0
2014-05-19,22.5
2014-05-20,22.9
2014-05-21,23.0
2014-05-26,24.15
2014-05-27,25.35
2014-05-28,26.6
2014-05-30,27.9
2014-06-02,29.25
2014-06-04,30.7
2014-06-05,32.2
2014-06-06,33.8
2014-06-09,35.45
2014-06-11,34.7
2014-06-12,36.4
2014-06-13,37.1
2014-06-16,36.2
2014-06-17,36.8
2014-06-18,37.45
2014-06-19,36.5
2014-06-23,36.15
2014-06-24,37.95
2014-06-25,36.85
2014-06-26,36.95
2014-06-27,36.5
2014-08-25,35.0
2014-08-26,33.75
2014-09-01,32.9
2014-09-03,32.9
2014-09-04,31.65
2014-09-09,34.8
2014-09-10,32.75
2014-09-11,34.0
2014-09-12,35.5
2014-09-15,37.5
2014-09-16,37.3
2014-09-17,39.1
2014-09-18,39.5
2014-09-19,37.55
2014-09-24,36.45
2014-09-25,34.65
2014-09-29,33.85
2014-09-30,35.45
2014-10-01,34.2
2014-10-07,33.5
2014-10-10,33.05
2014-10-14,32.4
2014-10-16,31.3
2014-10-20,31.55
2014-10-21,31.1
2014-10-22,31.05
2014-10-27,34.0
2014-10-30,31.8
2014-10-31,33.0
2014-11-03,34.9
2014-11-05,35.0
2014-11-10,36.25
2014-11-11,34.0
2014-11-12,34.05
2014-11-13,32.1
2014-11-14,33.0
2014-11-17,32.0
2014-11-18,32.0
2014-11-19,34.5
2014-11-20,32.1
2014-11-21,32.0
2014-11-24,31.8
2014-11-25,30.65
2014-11-27,34.0
2014-11-28,34.45
2014-12-01,35.0
2014-12-02,32.7
2014-12-03,36.8
2014-12-04,37.0
2014-12-05,36.45
2014-12-08,34.15
2014-12-09,32.7
2014-12-10,36.0
2014-12-11,36.7
2014-12-12,36.0
2014-12-15,33.2
2014-12-16,32.0
2014-12-18,36.75
2014-12-19,35.05
2014-12-22,35.5
2014-12-23,32.4
2014-12-24,36.85
2014-12-29,34.0
2014-12-31,39.9
2015-01-01,38.9
2015-01-02,37.45
2015-01-05,37.5
2015-01-06,39.0
2015-01-07,39.2
2015-01-08,39.35
2015-01-09,36.85
2015-01-12,36.1
2015-01-13,38.0
2015-01-14,37.2
2015-01-16,35.25
2015-01-20,36.2
2015-01-21,36.35
2015-01-22,36.6
2015-01-27,35.2
2015-01-28,36.2
2015-01-30,36.0
2015-02-02,34.2
2015-02-03,34.25
2015-02-04,34.05
2015-02-05,37.9
2015-02-06,35.95
2015-02-09,37.1
2015-02-10,34.75
2015-02-11,37.8
2015-02-12,33.25
2015-02-13,34.6
2015-02-16,36.7
2015-02-18,33.6
2015-02-20,33.0
2015-02-23,36.3
2015-02-24,33.0
2015-02-25,36.9
2015-02-26,34.0
2015-02-28,34.1
2015-03-02,34.7
2015-03-03,32.15
2015-03-04,32.1
2015-03-09,31.0
