Date,TITAN
2013-01-01,286.9
2013-01-02,287.8
2013-01-03,282.75
2013-01-04,285.45
2013-01-07,281.65
2013-01-08,272.15
2013-01-09,268.0
2013-01-10,266.95
2013-01-11,269.9
2013-01-14,274.55
2013-01-15,276.3
2013-01-16,276.55
2013-01-17,276.7
2013-01-18,274.25
2013-01-21,276.35
2013-01-22,269.15
2013-01-23,266.0
2013-01-24,267.6
2013-01-25,274.45
2013-01-28,270.5
2013-01-29,269.7
2013-01-30,275.6
2013-01-31,279.35
2013-02-01,286.55
2013-02-04,285.4
2013-02-05,277.35
2013-02-06,277.25
2013-02-07,263.0
2013-02-08,264.55
2013-02-11,267.8
2013-02-12,271.1
2013-02-13,270.55
2013-02-14,268.75
2013-02-15,267.8
2013-02-18,263.85
2013-02-19,263.85
2013-02-20,259.15
2013-02-21,257.7
2013-02-22,256.4
2013-02-25,252.75
2013-02-26,250.05
2013-02-27,255.1
2013-02-28,260.9
2013-03-01,274.3
2013-03-04,265.25
2013-03-05,260.15
2013-03-06,257.1
2013-03-07,253.95
2013-03-08,258.05
2013-03-11,250.9
2013-03-12,242.2
2013-03-13,236.2
2013-03-14,229.15
2013-03-15,242.15
2013-03-18,244.75
2013-03-19,242.6
2013-03-20,243.75
2013-03-21,249.0
2013-03-22,243.0
2013-03-25,245.85
2013-03-26,252.05
2013-03-28,256.4
2013-04-01,254.75
2013-04-02,260.3
2013-04-03,253.5
2013-04-04,249.2
2013-04-05,245.1
2013-04-08,252.5
2013-04-09,249.7
2013-04-10,252.75
2013-04-11,254.25
2013-04-12,249.6
2013-04-15,239.35
2013-04-16,244.4
2013-04-17,246.75
2013-04-18,259.25
2013-04-22,273.6
2013-04-23,267.35
2013-04-25,264.65
2013-04-26,264.0
2013-04-29,273.15
2013-04-30,270.7
2013-05-02,274.15
2013-05-03,270.5
2013-05-06,274.55
2013-05-07,278.35
2013-05-08,276.3
2013-05-09,276.25
2013-05-10,287.4
2013-05-11,288.6
2013-05-13,285.4
2013-05-14,282.3
2013-05-15,284.8
2013-05-16,280.65
2013-05-17,275.3
2013-05-20,271.25
2013-05-21,275.5
2013-05-22,275.25
2013-05-23,269.5
2013-05-24,276.5
2013-05-27,289.0
2013-05-28,296.7
2013-05-29,299.4
2013-05-30,301.0
2013-05-31,293.55
2013-06-03,289.8
2013-06-04,281.55
2013-06-05,279.1
2013-06-06,277.2
2013-06-07,272.5
2013-06-10,264.7
2013-06-11,237.2
2013-06-12,204.55
2013-06-13,213.75
2013-06-14,225.2
2013-06-17,229.75
2013-06-18,224.25
2013-06-19,231.65
2013-06-20,225.05
2013-06-21,223.05
2013-06-24,222.5
2013-06-25,228.65
2013-06-26,225.6
2013-06-27,222.8
2013-06-28,223.5
2013-07-01,226.95
2013-07-02,232.05
2013-07-03,225.6
2013-07-04,229.95
2013-07-05,232.05
2013-07-08,233.35
2013-07-09,239.15
2013-07-10,250.15
2013-07-11,250.05
2013-07-12,249.5
2013-07-15,252.5
2013-07-16,250.15
2013-07-17,258.85
2013-07-18,264.4
2013-07-19,261.45
2013-07-22,259.8
2013-07-23,275.0
2013-07-24,261.4
2013-07-25,260.2
2013-07-26,261.25
2013-07-29,260.05
2013-07-30,259.05
2013-07-31,263.4
2013-08-01,259.4
2013-08-02,282.5
2013-08-05,280.35
2013-08-06,259.75
2013-08-07,262.75
2013-08-08,264.15
2013-08-12,265.75
2013-08-13,262.8
2013-08-14,273.35
2013-08-16,240.25
2013-08-19,234.5
2013-08-20,220.3
2013-08-21,223.15
2013-08-22,225.75
2013-08-23,228.4
2013-08-26,228.0
2013-08-27,221.7
2013-08-28,212.35
2013-08-29,216.9
2013-08-30,224.65
2013-09-02,230.6
2013-09-03,213.75
2013-09-04,215.9
2013-09-05,231.95
2013-09-06,227.65
2013-09-10,242.45
2013-09-11,237.95
2013-09-12,231.5
2013-09-13,226.1
2013-09-16,223.95
2013-09-17,221.8
2013-09-18,222.75
