Date,ANDHRABANK
2013-01-01,122.0
2013-01-02,123.55
2013-01-03,123.55
2013-01-04,126.5
2013-01-07,129.05
2013-01-08,128.45
2013-01-09,126.05
2013-01-10,127.0
2013-01-11,123.45
2013-01-14,126.15
2013-01-15,124.95
2013-01-16,121.75
2013-01-17,121.5
2013-01-18,123.0
2013-01-21,122.3
2013-01-22,121.2
2013-01-23,118.7
2013-01-24,110.1
2013-01-25,116.55
2013-01-28,116.8
2013-01-29,114.2
2013-01-30,113.05
2013-01-31,112.1
2013-02-01,110.6
2013-02-04,106.4
2013-02-05,105.2
2013-02-06,104.9
2013-02-07,103.4
2013-02-08,102.4
2013-02-11,103.3
2013-02-12,102.95
2013-02-13,101.35
2013-02-14,100.5
2013-02-15,101.4
2013-02-18,102.85
2013-02-19,105.2
2013-02-20,103.7
2013-02-21,100.45
2013-02-22,99.6
2013-02-25,97.55
2013-02-26,94.55
2013-02-27,96.2
2013-02-28,91.0
2013-03-01,93.75
2013-03-04,92.0
2013-03-05,95.15
2013-03-06,97.7
2013-03-07,99.15
2013-03-08,100.75
2013-03-11,101.95
2013-03-12,100.9
2013-03-13,98.05
2013-03-14,100.4
2013-03-15,98.9
2013-03-18,99.45
2013-03-19,97.75
2013-03-20,93.85
2013-03-21,92.75
2013-03-22,94.9
2013-03-25,94.05
2013-03-26,93.6
2013-03-28,94.65
2013-04-01,96.3
2013-04-02,98.85
2013-04-03,96.9
2013-04-04,95.45
2013-04-05,94.15
2013-04-08,92.9
2013-04-09,91.2
2013-04-10,92.0
2013-04-11,90.65
2013-04-12,90.15
2013-04-15,91.2
2013-04-16,91.95
2013-04-17,91.25
2013-04-18,93.55
2013-04-22,95.05
2013-04-23,93.3
2013-04-25,93.1
2013-04-26,92.25
2013-04-29,92.05
2013-04-30,91.15
2013-05-02,93.15
2013-05-03,91.5
2013-05-06,90.95
2013-05-07,90.9
2013-05-08,91.0
2013-05-09,91.75
2013-05-10,90.9
2013-05-11,91.5
2013-05-13,90.25
2013-05-14,90.7
2013-05-15,92.75
2013-05-16,92.3
2013-05-17,91.45
2013-05-20,92.45
2013-05-21,91.5
2013-05-22,89.7
2013-05-23,87.35
2013-05-24,87.1
2013-05-27,88.25
2013-05-28,89.05
2013-05-29,87.0
2013-05-30,87.9
2013-05-31,85.85
2013-06-03,87.3
2013-06-04,87.05
2013-06-05,87.85
2013-06-06,89.65
2013-06-07,87.85
2013-06-10,86.75
2013-06-11,85.4
2013-06-12,85.55
2013-06-13,84.75
2013-06-14,87.6
2013-06-17,87.3
2013-06-18,86.0
2013-06-19,85.6
2013-06-20,84.05
2013-06-21,81.15
2013-06-24,79.75
2013-06-25,79.85
2013-06-26,79.5
2013-06-27,78.4
2013-06-28,82.0
2013-07-01,84.45
2013-07-02,84.4
2013-07-03,81.65
2013-07-04,82.65
2013-07-05,84.35
2013-07-08,84.7
2013-07-09,86.5
2013-07-10,85.9
2013-07-11,82.05
2013-07-12,81.1
2013-07-15,82.6
2013-07-16,79.0
2013-07-17,77.05
2013-07-18,79.4
2013-07-19,77.65
2013-07-22,78.95
2013-07-23,79.0
2013-07-24,77.05
2013-07-25,74.85
2013-07-26,74.1
2013-07-29,71.2
2013-07-30,68.95
2013-07-31,64.45
2013-08-01,59.4
2013-08-02,57.4
2013-08-05,59.0
2013-08-06,56.85
2013-08-07,58.55
2013-08-08,58.7
2013-08-12,59.4
2013-08-13,59.65
2013-08-14,59.5
2013-08-16,56.05
2013-08-19,54.5
2013-08-20,54.35
2013-08-21,53.35
