Date,TATAMTRDVR
2013-01-01,178.15
2013-01-02,180.1
2013-01-03,180.5
2013-01-04,180.1
2013-01-07,177.15
2013-01-08,179.15
2013-01-09,183.6
2013-01-10,185.55
2013-01-11,185.05
2013-01-14,186.6
2013-01-15,187.6
2013-01-16,180.75
2013-01-17,185.0
2013-01-18,187.1
2013-01-21,185.95
2013-01-22,182.4
2013-01-23,182.6
2013-01-24,170.85
2013-01-25,174.3
2013-01-28,177.55
2013-01-29,171.85
2013-01-30,171.85
2013-01-31,166.45
2013-02-01,164.7
2013-02-04,168.15
2013-02-05,162.95
2013-02-06,163.55
2013-02-07,164.65
2013-02-08,162.9
2013-02-11,165.25
2013-02-12,168.0
2013-02-13,170.75
2013-02-14,166.25
2013-02-15,167.55
2013-02-18,167.0
2013-02-19,168.75
2013-02-20,166.15
2013-02-21,164.55
2013-02-22,164.35
2013-02-25,167.4
2013-02-26,163.05
2013-02-27,163.15
2013-02-28,158.9
2013-03-01,160.45
2013-03-04,164.2
2013-03-05,167.6
2013-03-06,172.05
2013-03-07,171.45
2013-03-08,171.45
2013-03-11,171.85
2013-03-12,172.65
2013-03-13,170.5
2013-03-14,173.4
2013-03-15,169.6
2013-03-18,163.7
2013-03-19,162.3
2013-03-20,162.8
2013-03-21,156.1
2013-03-22,155.1
2013-03-25,155.7
2013-03-26,153.8
2013-03-28,152.75
2013-04-01,150.3
2013-04-02,153.0
2013-04-03,148.7
2013-04-04,148.5
2013-04-05,148.85
2013-04-08,150.15
2013-04-09,153.35
2013-04-10,156.8
2013-04-11,162.7
2013-04-12,162.85
2013-04-15,160.25
2013-04-16,162.05
2013-04-17,163.15
2013-04-18,169.55
2013-04-22,168.4
2013-04-23,165.0
2013-04-25,168.0
2013-04-26,170.15
2013-04-29,169.05
2013-04-30,172.85
2013-05-02,169.35
2013-05-03,163.2
2013-05-06,166.9
2013-05-07,169.85
2013-05-08,169.25
2013-05-09,167.45
2013-05-10,172.35
2013-05-11,172.2
2013-05-13,166.8
2013-05-14,169.2
2013-05-15,170.55
2013-05-16,168.25
2013-05-17,167.8
2013-05-20,166.2
2013-05-21,161.9
2013-05-22,161.6
2013-05-23,159.7
2013-05-24,160.5
2013-05-27,162.35
2013-05-28,161.9
2013-05-29,165.7
2013-05-30,172.9
2013-05-31,172.85
2013-06-03,172.0
2013-06-04,168.35
2013-06-05,170.1
2013-06-06,169.3
2013-06-07,165.5
2013-06-10,161.75
2013-06-11,156.8
2013-06-12,154.75
2013-06-13,149.5
2013-06-14,155.45
2013-06-17,156.25
2013-06-18,150.85
2013-06-19,149.8
2013-06-20,144.45
2013-06-21,141.95
2013-06-24,137.7
2013-06-25,133.65
2013-06-26,132.35
2013-06-27,135.1
2013-06-28,140.9
2013-07-01,143.05
2013-07-02,143.8
2013-07-03,140.35
2013-07-04,145.4
2013-07-05,147.0
2013-07-08,142.75
2013-07-09,142.5
2013-07-10,137.85
2013-07-11,138.5
2013-07-12,141.75
