Date,FEDDERELEC
2013-01-01,45.55
2013-01-02,46.7
2013-01-03,47.7
2013-01-04,47.85
2013-01-07,47.45
2013-01-08,47.9
2013-01-09,47.3
2013-01-10,46.5
2013-01-11,45.65
2013-01-14,45.45
2013-01-15,45.95
2013-01-16,45.1
2013-01-17,44.85
2013-01-18,44.35
2013-01-21,45.3
2013-01-22,44.9
2013-01-23,44.05
2013-01-24,42.8
2013-01-25,42.9
2013-01-28,43.55
2013-01-29,43.65
2013-01-30,43.0
2013-01-31,43.2
2013-02-01,42.95
2013-02-04,42.35
2013-02-05,44.45
2013-02-06,43.25
2013-02-07,42.2
2013-02-08,41.85
2013-02-11,40.85
2013-02-12,40.4
2013-02-13,40.2
2013-02-14,39.75
2013-02-15,39.1
2013-02-18,39.45
2013-02-19,40.6
2013-02-20,40.8
2013-02-21,40.3
2013-02-22,40.1
2013-02-25,39.9
2013-02-26,38.2
2013-02-27,37.65
2013-02-28,37.85
2013-03-01,36.85
2013-03-04,35.15
2013-03-05,35.35
2013-03-06,35.8
2013-03-07,35.85
2013-03-08,35.95
2013-03-11,35.7
2013-03-12,35.35
2013-03-13,35.75
2013-03-14,35.55
2013-03-15,35.8
2013-03-18,35.95
2013-03-19,35.55
2013-03-20,35.05
2013-03-21,34.5
2013-03-22,33.0
2013-03-25,32.2
2013-03-26,32.35
2013-03-28,32.55
2013-04-01,33.2
2013-04-02,35.2
2013-04-03,34.85
2013-04-04,33.45
2013-04-05,33.9
2013-04-08,33.75
2013-04-09,33.3
2013-04-10,33.25
2013-04-11,33.6
2013-04-12,34.2
2013-04-15,34.7
2013-04-16,34.7
2013-04-17,34.45
2013-04-18,34.4
2013-04-22,34.55
2013-04-23,34.95
2013-04-25,35.6
2013-04-26,34.85
2013-04-29,34.6
2013-04-30,34.95
2013-05-02,35.75
2013-05-03,35.05
2013-05-06,34.95
2013-05-07,37.35
2013-05-08,35.1
2013-05-09,34.8
2013-05-10,35.0
2013-05-11,35.15
2013-05-13,34.9
2013-05-14,34.05
2013-05-15,33.9
2013-05-16,33.5
2013-05-17,33.0
2013-05-20,32.85
2013-05-21,32.25
2013-05-22,31.65
2013-05-23,31.15
2013-05-24,31.6
2013-05-27,32.25
2013-05-28,32.95
2013-05-29,30.0
2013-05-30,30.9
2013-05-31,30.0
2013-06-03,29.55
2013-06-04,29.3
2013-06-05,29.2
2013-06-06,29.65
2013-06-07,30.05
2013-06-10,30.2
2013-06-11,29.35
2013-06-12,29.1
2013-06-13,28.7
2013-06-14,29.0
2013-06-17,29.2
2013-06-18,29.85
2013-06-19,30.25
2013-06-20,29.65
2013-06-21,29.35
2013-06-24,28.0
2013-06-25,28.15
2013-06-26,29.05
2013-06-27,28.6
2013-06-28,29.3
2013-07-01,29.5
2013-07-02,30.2
2013-07-03,29.45
2013-07-04,29.2
2013-07-05,29.05
2013-07-08,29.0
2013-07-09,29.0
2013-07-10,28.75
2013-07-11,28.8
2013-07-12,28.55
2013-07-15,30.0
2013-07-16,29.1
2013-07-17,28.75
2013-07-18,29.2
2013-07-19,29.15
2013-07-22,29.3
2013-07-23,29.3
2013-07-24,29.4
2013-07-25,28.95
2013-07-26,28.35
2013-07-29,28.1
2013-07-30,26.45
2013-07-31,26.0
2013-08-01,26.45
2013-08-02,24.95
2013-08-05,25.0
2013-08-06,24.5
2013-08-07,25.0
2013-08-08,25.3
2013-08-12,25.45
2013-08-13,27.05
2013-08-14,27.95
2013-08-16,27.25
2013-08-19,25.65
2013-08-20,26.6
2013-08-21,26.6
2013-08-22,25.6
2013-08-23,26.3
2013-08-26,27.25
2013-08-27,27.05
2013-08-28,27.75
2013-08-29,28.15
2013-08-30,31.1
2013-09-02,30.9
2013-09-03,29.35
2013-09-04,30.65
2013-09-05,30.7
2013-09-06,30.25
2013-09-10,31.4
2013-09-11,30.85
2013-09-12,30.25
2013-09-13,30.45
2013-09-16,31.25
2013-09-17,31.45
2013-09-18,30.65
2013-09-19,30.4
2013-09-20,30.4
2013-09-23,30.5
2013-09-24,30.7
2013-09-25,30.0
2013-09-26,29.3
2013-09-27,29.0
2013-09-30,28.7
2013-10-01,29.0
2013-10-03,29.0
2013-10-04,30.65
2013-10-07,35.15
2013-10-08,31.7
2013-10-09,30.9
2013-10-10,30.3
2013-10-11,29.85
2013-10-14,30.45
2013-10-15,29.45
2013-10-17,30.0
2013-10-18,30.55
2013-10-21,30.45
2013-10-22,30.55
2013-10-23,29.85
2013-10-24,29.8
2013-10-25,29.4
2013-10-28,29.8
2013-10-29,30.45
2013-10-30,30.25
2013-10-31,30.65
2013-11-01,30.75
2013-11-03,31.55
2013-11-05,30.95
2013-11-06,30.65
2013-11-07,30.7
2013-11-08,30.5
2013-11-11,30.4
2013-11-12,29.95
2013-11-13,29.65
2013-11-14,29.45
2013-11-18,29.35
2013-11-19,29.4
2013-11-20,29.4
2013-11-21,29.15
2013-11-22,29.35
2013-11-25,29.5
2013-11-26,29.45
2013-11-27,29.05
2013-11-28,29.3
2013-11-29,29.5
2013-12-02,29.0
2013-12-03,29.3
2013-12-04,28.6
2013-12-05,28.35
2013-12-06,29.4
2013-12-09,29.2
2013-12-10,29.0
2013-12-11,28.65
2013-12-12,28.7
2013-12-13,28.35
2013-12-16,28.2
2013-12-17,28.5
2013-12-18,28.65
2013-12-19,28.3
2013-12-20,28.75
2013-12-23,29.25
2013-12-24,32.55
2013-12-26,33.45
2013-12-27,33.35
2013-12-30,33.3
2013-12-31,34.05
2014-01-01,34.55
2014-01-02,34.35
2014-01-03,35.4
2014-01-06,37.05
2014-01-07,36.6
2014-01-08,36.15
2014-01-09,35.15
2014-01-10,34.95
2014-01-13,34.2
2014-01-14,34.4
2014-01-15,34.75
2014-01-16,33.45
2014-01-17,32.75
2014-01-20,33.35
2014-01-21,33.1
2014-01-22,33.7
2014-01-23,33.6
2014-01-24,32.25
2014-01-27,29.95
2014-01-28,29.0
2014-01-29,28.7
2014-01-30,28.6
2014-01-31,29.0
2014-02-03,28.4
2014-02-04,29.4
2014-02-05,29.8
2014-02-06,30.15
2014-02-07,30.6
2014-02-10,34.4
2014-02-11,33.45
2014-02-12,32.6
2014-02-13,32.6
2014-02-14,32.1
2014-02-17,32.25
2014-02-18,32.4
2014-02-19,32.7
2014-02-20,33.0
2014-02-21,35.1
2014-02-24,35.2
2014-02-25,36.15
2014-02-26,36.6
2014-02-28,35.25
2014-03-03,34.3
2014-03-04,35.25
2014-03-05,34.9
2014-03-06,35.9
2014-03-07,35.25
2014-03-10,35.6
2014-03-11,35.85
2014-03-12,35.15
2014-03-13,35.15
2014-03-14,34.45
2014-03-18,35.1
2014-03-19,34.85
2014-03-20,37.55
2014-03-21,40.3
2014-03-22,40.45
2014-03-24,41.55
2014-03-25,41.15
2014-03-26,41.1
2014-03-27,40.65
2014-03-28,42.9
2014-03-31,43.85
2014-04-01,45.65
2014-04-02,46.85
2014-04-03,45.35
2014-04-04,45.9
2014-04-07,46.0
2014-04-09,46.4
2014-04-10,46.45
2014-04-11,45.45
2014-04-15,45.2
2014-04-16,49.2
2014-04-17,49.65
2014-04-21,50.4
2014-04-22,51.75
2014-04-23,50.85
2014-04-25,49.3
2014-04-28,52.65
2014-04-29,52.3
2014-04-30,49.65
2014-05-02,49.25
2014-05-05,49.35
2014-05-06,48.2
2014-05-07,50.75
2014-05-08,51.1
2014-05-09,51.4
