Date,SUZLON
2013-01-01,18.8
2013-01-02,18.65
2013-01-03,18.3
2013-01-04,18.4
2013-01-07,18.75
2013-01-08,18.45
2013-01-09,19.75
2013-01-10,20.35
2013-01-11,19.3
2013-01-14,19.8
2013-01-15,19.55
2013-01-16,19.0
2013-01-17,19.4
2013-01-18,19.0
2013-01-21,19.0
2013-01-22,18.75
2013-01-23,18.65
2013-01-24,18.05
2013-01-25,21.1
2013-01-28,21.5
2013-01-29,21.05
2013-01-30,21.2
2013-01-31,24.55
2013-02-01,25.15
2013-02-04,24.65
2013-02-05,25.5
2013-02-06,26.75
2013-02-07,25.5
2013-02-08,24.95
2013-02-11,24.85
2013-02-12,23.9
2013-02-13,22.9
2013-02-14,23.75
2013-02-15,21.7
2013-02-18,22.35
2013-02-19,23.0
2013-02-20,23.55
2013-02-21,23.1
2013-02-22,23.2
2013-02-25,22.25
2013-02-26,21.25
2013-02-27,24.25
2013-02-28,16.0
2013-03-01,18.95
2013-03-04,17.6
2013-03-05,17.7
2013-03-06,17.65
2013-03-07,17.0
2013-03-08,16.9
2013-03-11,16.9
2013-03-12,16.25
2013-03-13,15.6
2013-03-14,15.1
2013-03-15,14.95
2013-03-18,14.95
2013-03-19,14.6
2013-03-20,14.1
2013-03-21,13.65
2013-03-22,13.45
2013-03-25,13.5
2013-03-26,13.4
2013-03-28,13.6
2013-04-01,13.8
2013-04-02,13.95
2013-04-03,13.95
2013-04-04,13.6
2013-04-05,13.6
2013-04-08,13.5
2013-04-09,13.5
2013-04-10,13.45
2013-04-11,13.45
2013-04-12,13.45
2013-04-15,13.7
2013-04-16,13.8
2013-04-17,14.0
2013-04-18,14.2
2013-04-22,14.65
2013-04-23,14.35
2013-04-25,14.2
2013-04-26,13.95
2013-04-29,14.25
2013-04-30,14.55
2013-05-02,14.5
2013-05-03,14.2
2013-05-06,14.5
2013-05-07,14.7
2013-05-08,14.55
2013-05-09,14.35
2013-05-10,14.4
2013-05-11,14.3
2013-05-13,14.0
2013-05-14,14.1
2013-05-15,14.3
2013-05-16,14.15
2013-05-17,14.45
2013-05-20,14.35
