Date,RAJTV
2013-01-01,196.4
2013-01-02,203.25
2013-01-03,209.3
2013-01-04,212.8
2013-01-07,207.4
2013-01-08,207.5
2013-01-09,212.8
2013-01-10,215.35
2013-01-11,211.4
2013-01-14,214.2
2013-01-15,215.05
2013-01-16,211.7
2013-01-17,222.15
2013-01-18,223.25
2013-01-21,227.85
2013-01-22,224.5
2013-01-23,220.05
2013-01-24,221.5
2013-01-25,219.5
2013-01-28,224.65
2013-01-29,219.75
2013-01-30,219.6
2013-01-31,211.1
2013-02-01,212.55
2013-02-04,206.65
2013-02-05,197.65
2013-02-06,193.75
2013-02-07,190.2
2013-02-08,199.7
2013-02-11,198.4
2013-02-12,207.0
2013-02-13,211.85
2013-02-14,220.35
2013-02-15,224.95
2013-02-18,223.55
2013-02-19,223.3
2013-02-20,219.65
2013-02-21,218.25
2013-02-22,222.6
2013-02-25,221.6
2013-02-26,218.85
2013-02-27,210.35
2013-02-28,199.85
2013-03-01,191.1
2013-03-04,181.55
2013-03-05,187.25
2013-03-06,187.25
2013-03-07,181.2
2013-03-08,183.9
2013-03-11,185.45
2013-03-12,181.4
2013-03-13,176.2
2013-03-14,176.6
2013-03-15,170.05
2013-03-18,177.6
2013-03-19,180.0
2013-03-20,179.3
2013-03-21,173.95
2013-03-22,165.3
2013-03-25,164.9
2013-03-26,159.9
2013-03-28,158.55
2013-04-01,163.3
2013-04-02,167.75
2013-04-03,169.2
2013-04-04,170.5
2013-04-05,176.65
2013-04-08,179.1
2013-04-09,180.9
2013-04-10,189.9
2013-04-11,199.35
2013-04-12,206.0
2013-04-15,216.3
2013-04-16,217.4
2013-04-17,218.4
2013-04-18,229.2
2013-04-22,224.5
2013-04-23,230.0
2013-04-25,230.45
2013-04-26,234.15
2013-04-29,234.95
2013-04-30,237.9
2013-05-02,241.1
2013-05-03,240.7
2013-05-06,252.35
2013-05-07,251.2
2013-05-08,256.95
2013-05-09,263.0
2013-05-10,272.3
2013-05-11,278.0
2013-05-13,273.6
2013-05-14,277.75
2013-05-15,284.95
2013-05-16,287.15
2013-05-17,294.75
2013-05-20,296.55
2013-05-21,300.6
2013-05-22,302.0
2013-05-23,300.05
2013-05-24,299.45
2013-05-27,294.75
2013-05-28,302.1
2013-05-29,300.25
2013-05-30,314.65
2013-05-31,316.9
2013-06-03,324.2
2013-06-04,325.65
2013-06-05,328.25
2013-06-06,330.05
2013-06-07,332.15
2013-06-10,332.85
2013-06-11,327.85
2013-06-12,320.95
2013-06-13,318.75
2013-08-30,396.15
2013-09-02,396.3
2013-09-03,394.0
2013-09-04,394.1
2013-09-05,402.85
2013-09-06,404.9
2013-09-10,406.65
2013-09-11,411.5
2013-09-12,412.1
2013-09-13,414.05
2013-09-16,419.8
2013-09-17,431.3
2013-09-18,432.3
2013-09-19,433.7
2013-09-20,432.5
2013-09-23,434.45
2013-09-24,433.75
2013-09-25,436.85
2013-09-26,433.6
2013-09-27,433.85
2013-09-30,435.75
2013-10-01,435.7
2013-10-03,442.9
2013-10-04,449.7
2013-10-07,447.6
2013-10-08,449.65
2013-10-09,451.15
2013-10-10,453.85
2013-10-11,453.7
2013-10-14,455.75
2013-10-15,456.75
2013-10-17,457.5
2013-10-18,458.05
2013-10-21,460.65
2013-10-22,462.9
2013-10-23,465.25
2013-10-24,465.5
2013-10-25,465.1
2013-10-28,465.55
2013-10-29,469.05
2013-10-30,474.6
2013-10-31,472.8
2013-11-01,474.25
2013-11-03,471.3
2013-11-05,471.0
2013-11-06,471.5
2013-11-07,470.8
2013-11-08,471.6
2013-11-11,475.0
2013-11-12,475.7
2013-11-13,474.05
2013-11-14,474.8
2013-11-18,472.7
2013-11-19,474.35
2013-11-20,474.6
2013-11-21,474.45
2013-11-22,474.25
2013-11-25,474.7
2013-11-26,474.35
2013-11-27,474.15
2013-11-28,474.0
2013-11-29,476.25
2013-12-02,475.05
2013-12-03,475.8
2013-12-04,474.4
2013-12-05,473.65
2013-12-06,471.25
2013-12-09,473.6
2013-12-10,473.2
2013-12-11,473.2
2013-12-12,474.1
2013-12-13,474.7
2013-12-16,475.45
2013-12-17,476.4
2013-12-18,480.1
2013-12-19,476.4
2013-12-20,474.75
2013-12-23,476.65
2013-12-24,476.9
2013-12-26,478.45
2013-12-27,479.75
2013-12-30,482.7
2013-12-31,486.15
2014-01-01,493.75
2014-01-02,494.3
2014-01-03,494.1
2014-01-06,499.35
2014-01-07,497.4
2014-01-08,498.95
2014-01-09,502.15
2014-01-10,503.0
2014-01-13,509.75
2014-01-14,514.2
2014-01-15,517.1
2014-01-16,518.2
2014-01-17,517.3
2014-01-20,523.25
2014-01-21,525.6
2014-01-22,526.3
2014-01-23,528.2
2014-01-24,527.8
2014-01-27,525.9
2014-01-28,522.85
2014-01-29,525.5
2014-01-30,526.4
2014-01-31,527.05
2014-02-03,529.25
2014-02-04,527.35
2014-02-05,527.55
2014-02-06,528.8
2014-02-07,528.6
2014-02-10,530.0
2014-02-11,529.05
2014-02-12,529.8
2014-02-13,529.65
2014-02-14,530.9
2014-02-17,528.05
2014-02-18,532.45
2014-02-19,539.35
2014-02-20,546.8
2014-02-21,550.85
2014-02-24,553.8
2014-02-25,555.55
2014-02-26,560.45
2014-02-28,562.7
2014-03-03,566.35
2014-03-04,566.1
2014-03-05,568.8
2014-03-06,575.65
2014-03-07,577.4
2014-03-10,575.65
2014-03-11,576.4
2014-03-12,576.15
2014-03-13,576.9
2014-03-14,577.25
2014-03-18,579.05
2014-03-19,577.6
2014-03-20,578.0
2014-03-21,579.15
2014-03-22,572.5
2014-03-24,577.7
2014-03-25,152.45
2014-03-26,150.4
2014-03-27,148.65
2014-03-28,148.6
2014-03-31,148.5
2014-04-01,147.7
2014-04-02,146.45
2014-04-03,147.35
2014-04-04,147.4
2014-04-07,147.7
2014-04-09,147.55
2014-04-10,147.65
2014-04-11,146.45
2014-04-15,146.5
2014-04-16,147.15
2014-04-17,146.8
2014-04-21,147.25
2014-04-22,147.7
2014-04-23,146.65
2014-04-25,145.15
2014-04-28,130.65
2014-04-29,122.15
2014-04-30,123.85
2014-05-02,130.15
2014-05-05,132.8
2014-05-06,140.5
2014-05-07,141.35
2014-05-08,142.8
2014-05-09,145.35
2014-05-12,137.9
2014-05-13,143.8
2014-05-14,143.4
2014-05-15,143.6
2014-05-16,146.85
2014-05-19,146.95
2014-05-20,147.55
2014-05-21,145.9
2014-05-22,144.9
2014-05-23,145.4
2014-05-26,145.95
2014-05-27,144.6
2014-05-28,144.35
2014-05-29,144.7
2014-05-30,144.3
2014-06-02,144.05
2014-06-03,143.95
2014-06-04,143.95
2014-06-05,142.6
2014-06-06,144.25
2014-06-09,144.75
2014-06-10,144.35
2014-06-11,143.7
2014-06-12,142.95
2014-06-13,142.5
2014-06-16,139.0
2014-06-17,138.25
2014-06-18,139.45
2014-06-19,135.55
2014-06-20,133.4
2014-06-23,135.1
2014-06-24,133.7
2014-06-25,132.75
2014-06-26,132.25
2014-06-27,135.05
2014-06-30,130.5
2014-07-01,127.45
2014-07-02,123.95
2014-07-03,121.45
2014-07-04,124.4
2014-07-07,123.25
2014-07-08,123.2
2014-07-09,122.45
2014-07-10,122.7
2014-07-11,121.55
2014-07-14,122.2
2014-07-15,123.95
2014-07-16,123.2
2014-07-17,124.9
2014-07-18,124.95
2014-07-21,124.9
2014-07-22,125.0
2014-07-23,123.35
2014-07-24,123.05
2014-07-25,123.0
2014-07-28,124.35
2014-07-30,124.65
2014-07-31,123.25
2014-08-01,124.4
2014-08-04,125.6
2014-08-05,125.9
2014-08-06,125.55
2014-08-07,126.25
2014-08-08,125.55
2014-08-11,126.15
2014-08-12,127.3
2014-08-13,126.1
2014-08-14,125.75
2014-08-18,125.9
2014-08-19,124.8
2014-08-20,126.0
2014-08-21,127.35
2014-08-22,128.15
2014-08-25,129.65
2014-08-26,131.1
2014-08-27,131.65
2014-08-28,132.0
2014-09-01,132.65
2014-09-02,132.9
2014-09-03,130.05
2014-09-04,130.15
2014-09-05,129.85
2014-09-08,130.9
2014-09-09,130.1
2014-09-10,129.7
2014-09-11,129.65
2014-09-12,125.65
2014-09-15,125.65
2014-09-16,120.4
2014-09-17,121.95
2014-09-18,124.85
2014-09-19,125.1
2014-09-22,124.3
2014-09-23,119.7
2014-09-24,121.0
2014-09-25,119.55
2014-09-26,119.45
2014-09-29,117.35
2014-09-30,118.65
2014-10-01,116.8
2014-10-07,117.4
2014-10-08,119.05
2014-10-09,119.05
2014-10-10,118.65
2014-10-13,119.2
2014-10-14,120.75
2014-10-16,119.75
2014-10-17,119.05
2014-10-20,118.95
2014-10-21,117.75
2014-10-22,118.6
2014-10-23,122.55
2014-10-27,120.8
2014-10-28,121.55
2014-10-29,121.75
2014-10-30,122.85
2014-10-31,123.05
2014-11-03,123.8
2014-11-05,123.75
2014-11-07,123.4
2014-11-10,123.15
2014-11-11,122.2
2014-11-12,122.3
2014-11-13,122.95
2014-11-14,123.55
2014-11-17,121.65
2014-11-18,122.1
2014-11-19,121.1
2014-11-20,119.8
2014-11-21,118.85
2014-11-24,117.45
2014-11-25,115.0
2014-11-26,115.1
2014-11-27,115.15
2014-11-28,114.45
2014-12-01,113.05
2014-12-02,112.65
2014-12-03,112.4
2014-12-04,112.85
2014-12-05,112.75
2014-12-08,112.55
2014-12-09,112.4
2014-12-10,112.45
2014-12-11,113.1
2014-12-12,112.5
2014-12-15,112.2
2014-12-16,111.8
2014-12-17,111.85
2014-12-18,112.0
2014-12-19,112.55
2014-12-22,112.0
2014-12-23,111.5
2014-12-24,110.6
2014-12-26,112.8
2014-12-29,113.45
2014-12-30,114.1
2014-12-31,115.2
2015-01-01,115.65
2015-01-02,115.2
2015-01-05,117.2
2015-01-06,118.95
2015-01-07,118.65
2015-01-08,120.7
2015-01-09,120.6
2015-01-12,120.6
2015-01-13,119.3
2015-01-14,117.75
2015-01-15,118.0
2015-01-16,118.05
2015-01-19,118.65
2015-01-20,118.4
2015-01-21,117.1
2015-01-22,117.1
2015-01-23,117.6
2015-01-27,116.05
2015-01-28,116.95
2015-01-29,117.15
2015-01-30,116.9
2015-02-02,117.3
2015-02-03,117.15
2015-02-04,117.2
2015-02-05,117.15
2015-02-06,117.1
2015-02-09,116.95
2015-02-10,115.9
2015-02-11,115.95
2015-02-12,115.2
2015-02-13,112.6
2015-02-16,111.25
2015-02-18,111.65
2015-02-19,114.8
2015-02-20,114.75
2015-02-23,114.6
2015-02-24,114.35
2015-02-25,119.45
2015-02-26,117.75
2015-02-27,117.35
2015-02-28,117.0
2015-03-02,116.5
2015-03-03,117.05
2015-03-04,119.8
2015-03-05,120.15
2015-03-09,118.65
2015-03-10,117.55
2015-03-11,116.55
2015-03-12,114.75
2015-03-13,115.65
2015-03-16,114.75
2015-03-17,115.15
2015-03-18,114.35
2015-03-19,115.05
2015-03-20,115.2
2015-03-23,114.85
2015-03-24,114.65
2015-03-25,114.65
2015-03-26,114.45
2015-03-27,114.45
2015-03-30,114.5
2015-03-31,114.6
2015-04-01,113.15
2015-04-06,111.75
2015-04-07,111.8
2015-04-08,112.1
2015-04-09,111.65
2015-04-10,112.2
2015-04-13,112.3
2015-04-15,111.9
2015-04-16,110.9
2015-04-17,110.75
2015-04-20,109.7
2015-04-21,109.9
2015-04-22,107.45
2015-04-23,111.35
2015-04-24,112.7
2015-04-27,112.25
2015-04-28,112.2
2015-04-29,112.5
2015-04-30,111.75
2015-05-04,111.9
2015-05-05,111.8
2015-05-06,112.05
2015-05-07,112.0
2015-05-08,112.45
2015-05-11,112.0
2015-05-12,111.1
2015-05-13,111.2
2015-05-14,113.45
2015-05-15,112.55
2015-05-18,113.05
2015-05-19,112.8
2015-05-20,112.35
2015-05-21,112.25
2015-05-22,113.05
2015-05-25,112.3
2015-05-26,112.2
2015-05-27,112.4
2015-05-28,112.05
2015-05-29,112.5
2015-06-01,112.15
2015-06-02,112.1
2015-06-03,112.6
2015-06-04,112.2
