Date,HINDNATGLS
2013-01-01,198.6
2013-01-02,193.85
2013-01-03,188.2
2013-01-04,191.75
2013-01-07,195.65
2013-01-08,193.95
2013-01-09,196.45
2013-01-10,201.25
2013-01-11,202.05
2013-01-14,199.65
2013-01-15,201.15
2013-01-16,198.75
2013-01-17,193.9
2013-01-18,197.85
2013-01-21,195.15
2013-01-22,199.25
2013-01-23,197.7
2013-01-24,197.85
2013-01-25,198.2
2013-01-28,197.0
2013-01-29,200.15
2013-01-30,197.25
2013-01-31,194.75
2013-02-01,195.0
2013-02-04,193.35
2013-02-05,190.85
2013-02-06,198.4
2013-02-07,199.25
2013-02-08,201.75
2013-02-11,199.5
2013-02-12,197.8
2013-02-13,195.75
2013-02-14,188.45
2013-02-15,187.95
2013-02-18,196.9
2013-02-19,195.95
2013-02-20,196.3
2013-02-21,196.35
2013-02-22,198.0
2013-02-25,195.5
2013-02-26,193.0
2013-02-27,196.9
2013-02-28,193.0
2013-03-01,193.25
2013-03-04,195.0
2013-03-05,195.7
2013-03-06,195.0
2013-03-07,195.0
2013-03-08,195.0
2013-03-11,195.5
2013-03-12,194.35
2013-03-13,195.1
2013-03-14,195.35
2013-03-15,195.0
2013-03-18,195.25
2013-03-19,195.4
2013-03-20,195.55
2013-03-21,195.05
2013-03-22,193.0
2013-03-25,197.5
2013-03-26,191.45
2013-03-28,198.2
2013-04-01,198.0
2013-04-02,195.25
2013-04-03,189.75
2013-04-05,195.0
2013-04-08,194.5
2013-04-09,185.0
2013-04-10,195.1
2013-04-11,194.0
2013-04-12,192.9
2013-04-15,196.75
2013-04-16,193.55
2013-04-17,194.0
2013-04-18,193.25
2013-04-22,192.65
2013-04-23,195.2
2013-04-25,196.0
2013-04-26,194.0
2013-04-29,190.8
2013-04-30,197.85
2013-05-02,195.15
2013-05-03,194.0
2013-05-06,196.2
2013-05-07,191.55
2013-05-08,195.75
2013-05-09,191.8
2013-05-10,190.2
2013-05-11,190.45
2013-05-13,194.8
2013-05-14,195.8
2013-05-15,191.0
2013-05-16,194.5
2013-05-17,194.1
2013-05-20,193.2
2013-05-21,195.0
2013-05-22,194.1
2013-05-23,193.25
2013-05-24,195.75
2013-05-27,194.2
2013-05-28,195.95
2013-05-29,194.05
2013-05-30,192.0
2013-05-31,191.0
2013-06-03,187.65
2013-06-04,185.5
2013-06-05,186.0
2013-06-06,185.0
2013-06-07,187.0
2013-06-10,186.0
2013-06-11,188.25
2013-06-12,191.95
