Date,THIRUSUGAR
2013-01-02,68.0
2013-01-03,68.3
2013-01-04,69.95
2013-01-07,70.85
2013-01-08,69.7
2013-01-09,71.8
2013-01-10,71.0
2013-01-11,69.1
2013-01-14,69.0
2013-01-15,70.6
2013-01-16,69.0
2013-01-17,71.0
2013-01-18,68.75
2013-01-21,67.0
2013-01-22,67.0
2013-01-23,67.55
2013-01-24,72.0
2013-01-25,71.0
2013-01-28,71.0
2013-01-30,68.95
2013-01-31,69.95
2013-02-04,68.4
2013-02-05,65.55
2013-02-06,65.55
2013-02-07,66.0
2013-02-08,66.0
2013-02-11,65.0
2013-02-13,65.75
2013-02-14,66.05
2013-02-15,68.15
2013-02-18,68.5
2013-02-19,68.95
2013-02-21,65.2
2013-02-22,65.45
2013-02-25,68.0
2013-02-26,60.55
2013-02-27,64.0
2013-02-28,62.0
2013-03-01,64.0
2013-03-04,64.0
2013-03-06,61.9
2013-03-07,65.0
2013-03-08,69.0
2013-03-11,68.5
2013-03-12,69.0
2013-03-13,64.45
2013-03-14,63.8
2013-03-15,67.25
2013-03-18,71.9
2013-03-19,63.0
2013-03-20,60.5
2013-03-21,62.85
2013-03-25,59.85
2013-03-26,62.8
2013-03-28,60.0
2013-04-02,66.0
2013-04-03,62.15
2013-04-05,67.0
2013-04-18,70.0
2013-04-22,68.0
2013-04-23,68.0
2013-04-25,68.5
2013-04-26,68.0
2013-04-29,69.0
2013-05-03,69.0
2013-05-10,69.0
2013-05-13,69.0
2013-05-17,69.0
2013-05-22,61.3
2013-05-30,58.0
2013-06-03,65.4
2013-06-10,70.0
2013-06-11,70.0
2013-06-13,65.0
2013-06-14,70.0
2013-09-13,66.5
2013-09-17,63.2
2013-09-18,60.05
2013-09-30,62.95
2013-10-03,65.95
2013-10-07,65.95
2013-10-09,69.0
2013-10-10,65.55
2013-10-11,62.35
2013-10-15,65.45
2013-11-01,65.75
2013-11-05,62.5
2013-11-06,59.4
2013-11-11,58.5
2013-11-20,61.4
2013-11-21,64.35
2013-11-22,67.45
2013-11-26,68.0
2013-11-27,64.6
2013-11-28,61.5
2013-11-29,64.5
2013-12-02,61.5
2013-12-03,58.65
2013-12-04,59.45
2013-12-05,60.0
2013-12-06,60.0
2013-12-09,61.0
2013-12-10,61.7
2013-12-11,60.9
2013-12-12,57.9
2013-12-13,55.1
2013-12-16,52.4
2013-12-17,52.0
2013-12-18,52.0
2013-12-19,54.6
2013-12-20,57.0
2013-12-23,59.8
2013-12-24,62.75
2013-12-26,63.0
2013-12-27,66.0
2013-12-31,65.0
2014-01-02,64.0
2014-01-06,65.0
2014-01-07,68.25
2014-02-24,63.95
2014-02-25,60.8
2014-02-26,58.5
2014-02-28,60.65
2014-03-04,58.95
2014-03-06,58.0
2014-03-07,55.1
2014-03-10,55.05
2014-03-11,53.35
2014-03-12,52.75
2014-03-13,55.35
2014-03-14,57.95
2014-03-18,57.55
2014-03-19,60.4
2014-03-20,63.15
2014-03-21,64.4
2014-03-22,66.4
2014-03-28,67.0
2014-04-01,63.65
2014-04-02,63.0
2014-04-03,64.0
2014-04-04,64.35
2014-04-07,65.05
2014-04-09,65.0
2014-04-10,65.0
2014-04-11,64.95
2014-04-15,62.45
2014-04-17,64.95
2014-04-22,64.1
2014-04-23,65.0
2014-04-25,64.25
2014-04-28,66.95
2014-04-29,65.0
2014-05-02,62.35
2014-05-06,62.0
2014-05-07,61.0
2014-05-08,59.75
2014-05-09,62.0
2014-05-12,59.55
2014-05-13,60.5
2014-05-14,55.15
2014-05-15,60.0
2014-05-16,60.0
2014-05-21,60.15
2014-05-22,66.15
2014-05-23,72.75
2014-05-26,76.35
2014-05-27,73.0
2014-05-29,70.1
2014-05-30,70.5
2014-06-02,71.95
2014-06-03,75.5
2014-06-04,77.0
2014-06-05,73.2
2014-08-07,60.85
2014-08-08,63.5
2014-08-12,60.4
2014-08-13,60.0
2014-08-18,60.0
2014-08-19,60.0
2014-08-20,58.0
2014-08-21,56.05
2014-08-22,54.35
2014-08-25,52.15
2014-08-27,54.0
2014-09-01,53.65
2014-09-02,55.75
2014-09-03,54.0
2014-09-04,53.0
2014-09-05,57.0
2014-09-08,57.7
2014-09-09,56.65
2014-09-10,55.0
2014-09-11,60.5
2014-09-12,55.05
2014-09-16,55.0
2014-09-17,53.2
2014-09-18,55.0
2014-09-19,53.55
2014-09-22,55.5
2014-09-24,54.95
2014-09-25,51.35
2014-09-26,53.7
2014-09-29,53.25
2014-09-30,54.5
2014-10-01,56.6
2014-10-07,54.2
2014-10-08,60.85
2014-10-09,62.75
2014-10-10,61.35
2014-10-13,55.9
2014-10-14,53.6
2014-10-16,53.05
2014-10-17,55.15
2014-10-20,50.8
2014-10-21,48.2
2014-10-22,48.95
2014-10-23,48.45
2014-10-27,47.2
2014-10-28,46.8
2014-10-29,46.4
2014-10-30,44.1
2014-10-31,44.6
2014-11-03,43.45
2014-11-05,44.0
2014-11-07,43.05
2014-11-10,43.65
2014-11-11,43.1
2014-11-12,45.95
2014-11-13,48.2
2014-11-14,48.4
2014-11-17,47.0
2014-11-18,48.55
2014-11-19,48.0
2014-11-20,44.55
2014-11-21,43.7
2014-11-24,43.9
2014-11-25,43.85
2014-11-26,43.35
2014-11-27,43.3
2014-11-28,43.1
2014-12-01,42.6
2014-12-02,42.3
2014-12-03,42.35
2014-12-04,42.85
2014-12-05,45.95
2014-12-08,45.1
2014-12-09,45.65
2014-12-10,46.5
2014-12-11,48.05
2014-12-12,44.25
2014-12-15,44.15
2014-12-16,41.3
2014-12-17,41.65
2014-12-18,43.95
2014-12-19,42.3
2014-12-22,42.55
2014-12-23,41.9
2014-12-24,41.45
2014-12-26,42.3
