Date,PERSISTENT
2013-01-01,515.05
2013-01-02,524.85
2013-01-03,531.85
2013-01-04,535.2
2013-01-07,531.1
2013-01-08,528.05
2013-01-09,536.5
2013-01-10,530.3
2013-01-11,540.8
2013-01-14,544.2
2013-01-15,552.7
2013-01-16,563.75
2013-01-17,574.85
2013-01-18,574.45
2013-01-21,568.25
2013-01-22,576.25
2013-01-23,576.4
2013-01-24,561.9
2013-01-25,562.0
2013-01-28,521.4
2013-01-29,539.7
2013-01-30,559.4
2013-01-31,553.65
2013-02-01,537.25
2013-02-04,538.3
2013-02-05,529.85
2013-02-06,532.75
2013-02-07,524.05
2013-02-08,531.3
2013-02-11,535.0
2013-02-12,543.0
2013-02-13,537.5
2013-02-14,534.6
2013-02-15,527.05
2013-02-18,527.35
2013-02-19,530.55
2013-02-20,550.2
2013-02-21,541.35
2013-02-22,556.35
2013-02-25,566.2
2013-02-26,563.3
2013-02-27,551.6
2013-02-28,552.8
2013-03-01,541.05
2013-03-04,541.9
2013-03-05,556.35
2013-03-06,565.65
2013-03-07,571.85
2013-03-08,577.2
2013-03-11,577.75
2013-03-12,570.8
2013-03-13,572.65
2013-03-14,574.45
2013-03-15,569.15
2013-03-18,566.6
2013-03-19,560.8
2013-03-20,538.6
2013-03-21,519.25
2013-03-22,521.2
2013-03-25,537.3
2013-03-26,549.4
2013-03-28,544.0
2013-04-01,544.25
2013-04-02,546.05
2013-04-03,547.35
2013-04-04,540.5
2013-04-05,544.85
2013-04-08,535.1
2013-04-09,540.15
2013-04-10,530.75
2013-04-11,539.05
2013-04-12,531.6
2013-04-15,534.95
2013-04-16,545.85
2013-04-17,545.05
2013-04-18,549.35
2013-04-22,547.2
2013-04-23,552.25
2013-04-25,534.6
2013-04-26,509.5
2013-04-29,520.6
2013-04-30,519.95
2013-05-02,519.85
2013-05-03,512.85
2013-05-06,511.65
2013-05-07,516.05
2013-05-08,518.8
2013-05-09,520.3
2013-05-10,527.6
2013-05-11,534.4
2013-05-13,533.95
2013-05-14,527.95
2013-05-15,528.05
2013-05-16,527.65
2013-05-17,521.15
2013-05-20,512.25
2013-05-21,509.15
2013-05-22,514.1
2013-05-23,505.9
2013-05-24,509.95
2013-05-27,513.4
2013-05-28,511.2
2013-05-29,517.85
2013-05-30,515.55
2013-05-31,512.95
2013-06-03,517.15
2013-06-04,518.55
2013-06-05,518.1
2013-06-06,527.05
2013-06-07,525.75
2013-06-10,525.15
2013-06-11,519.95
2013-06-12,520.75
2013-06-13,501.3
2013-06-14,506.8
2013-06-17,506.3
2013-06-18,510.35
2013-06-19,520.3
2013-06-20,510.3
2013-06-21,508.6
2013-06-24,501.55
2013-06-25,499.45
2013-06-26,497.45
2013-06-27,500.05
2013-06-28,501.8
2013-07-01,503.75
2013-07-02,503.1
2013-07-03,482.6
2013-07-04,492.25
2013-07-05,489.7
2013-07-08,497.5
2013-07-09,510.7
2013-07-10,511.2
2013-07-11,506.75
2013-07-12,514.4
2013-07-15,523.8
2013-07-16,518.55
2013-07-17,523.95
2013-07-18,532.95
2013-07-19,523.5
2013-07-22,524.1
2013-07-23,543.1
2013-07-24,540.1
2013-07-25,537.65
2013-07-26,520.35
2013-07-29,525.75
2013-07-30,522.2
2013-07-31,519.7
2013-08-01,527.85
2013-08-02,536.95
2013-08-05,539.95
2013-08-06,513.05
2013-08-07,520.05
2013-08-08,515.8
2013-08-12,519.65
2013-08-13,530.05
2013-08-14,546.8
2013-08-16,541.05
2013-08-19,556.8
2013-08-20,556.35
2013-08-21,558.0
2013-08-22,549.85
2013-08-23,558.1
2013-08-26,571.75
2013-08-27,575.75
2013-08-28,585.9
2013-08-29,586.5
2013-08-30,587.3
2013-09-02,578.95
2013-09-03,583.65
2013-09-04,587.2
2013-09-05,583.3
2013-09-06,568.3
2013-09-10,582.5
2013-09-11,572.4
2013-09-12,604.0
2013-09-13,588.25
2013-09-16,574.1
2013-09-17,572.45
2013-09-18,585.5
2013-09-19,582.15
2013-09-20,590.1
2013-09-23,595.0
2013-09-24,607.35
2013-09-25,623.75
2013-09-26,609.95
2013-09-27,621.3
2013-09-30,633.4
2013-10-01,630.65
2013-10-03,642.25
2013-10-04,661.55
2013-10-07,688.9
2013-10-08,681.75
2013-10-09,684.8
2013-10-10,686.5
2013-10-11,683.8
2013-10-14,690.3
2013-10-15,702.3
2013-10-17,701.5
2013-10-18,722.15
2013-10-21,741.65
2013-10-22,745.25
2013-10-23,757.2
2013-10-24,773.65
2013-10-25,796.3
2013-10-28,800.4
2013-10-29,828.2
2013-10-30,806.25
2013-10-31,813.1
2013-11-01,793.0
2013-11-03,819.0
2013-11-05,806.25
2013-11-06,810.2
2013-11-07,804.35
2013-11-08,811.5
2013-11-11,815.15
2013-11-12,825.55
2013-11-13,809.95
2013-11-14,817.55
2013-11-18,810.95
2013-11-19,811.3
2013-11-20,820.95
2013-11-21,844.7
2013-11-22,871.15
2013-11-25,889.0
2013-11-26,881.95
2013-11-27,874.45
2013-11-28,869.95
2013-11-29,867.0
2013-12-02,866.55
2013-12-03,856.05
2013-12-04,870.55
2013-12-05,856.65
2013-12-06,851.95
2013-12-09,848.25
2013-12-10,882.05
2013-12-11,882.8
2013-12-12,878.7
2013-12-13,875.8
2013-12-16,916.25
2013-12-17,900.75
2013-12-18,903.2
2013-12-19,938.15
2013-12-20,1007.7
2013-12-23,986.45
2013-12-24,998.6
2013-12-26,983.05
2013-12-27,988.45
2013-12-30,985.6
2013-12-31,977.9
2014-01-01,979.65
2014-01-02,968.05
2014-01-03,975.35
2014-01-06,988.85
2014-01-07,991.2
2014-01-08,1020.9
2014-01-09,1018.85
2014-01-10,1004.4
2014-01-13,1037.5
2014-01-14,1015.5
2014-01-15,1023.35
2014-01-16,1019.35
2014-01-17,990.2
2014-01-20,1006.2
2014-01-21,990.95
2014-01-22,999.4
2014-01-23,999.9
2014-01-24,1008.2
2014-01-27,990.05
2014-01-28,999.5
2014-01-29,992.45
2014-01-30,980.8
2014-01-31,965.2
2014-02-03,968.35
2014-02-04,940.1
2014-02-05,944.7
2014-02-06,928.9
2014-02-07,956.6
2014-02-10,986.75
2014-02-11,1025.45
2014-02-12,1020.15
2014-02-13,1003.65
2014-02-14,990.85
2014-02-17,993.45
2014-02-18,1002.5
2014-02-19,1011.2
2014-02-20,1046.6
2014-02-21,1069.5
2014-02-24,1124.6
2014-02-25,1151.3
2014-02-26,1120.7
2014-02-28,1134.05
2014-03-03,1128.4
2014-03-04,1133.0
2014-03-05,1119.7
2014-03-06,1179.1
2014-03-07,1127.05
2014-03-10,1092.55
2014-03-11,1094.95
2014-03-12,1111.3
2014-03-13,1085.3
2014-03-14,1072.15
2014-03-18,1059.4
2014-03-19,1026.15
2014-03-20,1053.75
2014-03-21,1075.6
2014-03-22,1082.1
2014-03-24,1086.55
2014-03-25,1073.05
2014-03-26,1076.0
2014-03-27,1057.5
2014-03-28,1041.7
2014-03-31,1049.45
2014-04-01,1037.65
2014-04-02,1075.45
2014-04-03,1075.35
2014-04-04,1086.15
2014-04-07,1078.9
2014-04-09,1089.4
2014-04-10,1055.65
2014-04-11,1051.8
2014-04-15,1066.95
2014-04-16,1047.7
2014-04-17,1065.75
2014-04-21,1052.4
2014-04-22,1068.2
2014-04-23,1060.6
2014-04-25,1042.55
2014-04-28,1042.05
2014-04-29,1035.95
2014-04-30,1007.35
2014-05-02,1024.45
2014-05-05,994.35
2014-05-06,987.65
2014-05-07,983.75
2014-05-08,994.25
2014-05-09,990.4
2014-05-12,968.95
2014-05-13,973.4
2014-05-14,990.25
2014-05-15,959.9
2014-05-16,978.95
2014-05-19,903.25
2014-05-20,921.2
2014-05-21,948.75
2014-05-22,999.85
2014-05-23,986.9
2014-05-26,998.45
2014-05-27,999.25
2014-05-28,1045.75
2014-05-29,1070.75
2014-05-30,1067.7
2014-06-02,1075.1
2014-06-03,1054.6
2014-06-04,1059.8
2014-06-05,1057.0
2014-06-06,1074.4
2014-06-09,1060.7
2014-06-10,1073.15
2014-06-11,1073.25
2014-06-12,1069.4
2014-06-13,1060.75
2014-06-16,1075.1
2014-06-17,1072.25
2014-06-18,1032.8
2014-06-19,1072.75
2014-06-20,1099.65
2014-06-23,1126.4
2014-06-24,1146.85
2014-06-25,1106.7
2014-06-26,1074.1
2014-06-27,1098.95
2014-06-30,1081.2
2014-07-01,1091.8
2014-07-02,1061.0
2014-07-03,1086.8
2014-07-04,1100.7
2014-07-07,1110.1
2014-07-08,1132.25
2014-07-09,1185.4
2014-07-10,1202.5
2014-07-11,1201.85
2014-07-14,1217.55
2014-07-15,1225.5
2014-07-16,1249.95
2014-07-17,1319.1
2014-07-18,1334.9
2014-07-21,1276.15
2014-07-22,1252.35
2014-07-23,1255.2
2014-07-24,1255.75
2014-07-25,1285.1
2014-07-28,1307.65
2014-07-30,1254.8
2014-07-31,1250.85
2014-08-01,1258.65
2014-08-04,1267.6
2014-08-05,1247.6
2014-08-06,1243.2
2014-08-07,1247.25
2014-08-08,1239.3
2014-08-11,1222.8
2014-08-12,1223.8
2014-08-13,1217.4
2014-08-14,1221.25
2014-08-18,1219.35
2014-08-19,1248.85
2014-08-20,1242.45
2014-08-21,1222.1
2014-08-22,1270.55
2014-08-25,1312.7
