Date,MASTEK
2013-01-01,138.2
2013-01-02,137.9
2013-01-03,137.85
2013-01-04,137.9
2013-01-07,138.95
2013-01-08,147.85
2013-01-09,147.4
2013-01-10,147.1
2013-01-11,148.45
2013-01-14,146.0
2013-01-15,144.7
2013-01-16,142.2
2013-01-17,151.45
2013-01-18,150.75
2013-01-21,152.95
2013-01-22,151.7
2013-01-23,149.7
2013-01-24,144.55
2013-01-25,147.85
2013-01-28,154.0
2013-01-29,156.3
2013-01-30,160.35
2013-01-31,160.8
2013-02-01,158.1
2013-02-04,155.25
2013-02-05,154.55
2013-02-06,152.25
2013-02-07,149.65
2013-02-08,147.35
2013-02-11,147.55
2013-02-12,145.75
2013-02-13,144.9
2013-02-14,141.9
2013-02-15,138.75
2013-02-18,140.25
2013-02-19,141.7
2013-02-20,141.85
2013-02-21,139.7
2013-02-22,137.35
2013-02-25,135.4
2013-02-26,128.65
2013-02-27,131.85
2013-02-28,128.85
2013-03-01,126.7
2013-03-04,123.95
2013-03-05,124.6
2013-03-06,128.75
2013-03-07,133.9
2013-03-08,133.7
2013-03-11,133.65
2013-03-12,134.65
2013-03-13,129.0
2013-03-14,132.65
2013-03-15,132.35
2013-03-18,130.15
2013-03-19,128.05
2013-03-20,123.0
2013-03-21,124.8
2013-03-22,121.85
2013-03-25,120.85
2013-03-26,118.3
2013-03-28,118.4
2013-04-01,121.85
2013-04-02,125.6
2013-04-03,123.85
2013-04-04,122.35
2013-04-05,121.05
2013-04-08,118.85
2013-04-09,120.5
2013-04-10,120.05
2013-04-11,130.05
2013-04-12,125.35
2013-04-15,128.3
2013-04-16,129.1
2013-04-17,128.35
2013-04-18,127.65
2013-04-22,125.6
2013-04-23,136.5
2013-04-25,132.35
2013-04-26,135.85
2013-04-29,132.8
2013-04-30,130.2
2013-05-02,130.7
2013-05-03,128.15
2013-05-06,128.25
2013-05-07,128.25
2013-05-08,125.85
2013-05-09,127.4
2013-05-10,130.35
2013-05-11,130.2
2013-05-13,127.25
2013-05-14,126.4
2013-05-15,127.6
2013-05-16,127.6
2013-05-17,126.6
2013-05-20,126.4
2013-05-21,125.1
2013-05-22,126.45
2013-05-23,122.0
2013-05-24,122.8
2013-05-27,122.05
2013-05-28,122.05
2013-05-29,121.9
