Date,CIMMCO
2013-01-01,45.1
2013-01-02,45.3
2013-01-03,44.7
2013-01-04,44.6
2013-01-07,43.7
2013-01-08,44.2
2013-01-09,46.4
2013-01-10,43.9
2013-01-11,45.75
2013-01-14,43.4
2013-01-15,45.6
2013-01-16,42.9
2013-01-17,43.95
2013-01-18,43.0
2013-01-21,46.35
2013-01-22,44.5
2013-01-23,42.05
2013-01-24,42.15
2013-01-25,40.15
2013-01-28,41.5
2013-01-29,42.0
2013-01-30,41.9
2013-01-31,42.7
2013-02-01,40.2
2013-02-04,42.1
2013-02-05,39.3
2013-02-06,40.75
2013-02-07,40.0
2013-02-08,39.25
2013-02-11,37.7
2013-02-12,37.6
2013-02-13,39.0
2013-02-14,36.9
2013-02-15,36.65
2013-02-18,40.0
2013-02-19,39.95
2013-02-20,39.35
2013-02-21,36.15
2013-02-22,36.6
2013-02-25,35.1
2013-02-26,37.3
2013-02-27,34.0
2013-02-28,36.3
2013-03-01,35.85
2013-03-04,33.45
2013-03-05,34.0
2013-03-06,34.55
2013-03-07,34.25
2013-03-08,31.35
2013-03-11,31.25
2013-03-12,30.7
2013-03-13,32.0
2013-03-14,31.0
2013-03-15,30.85
2013-03-18,30.55
2013-03-19,28.8
2013-03-20,29.95
2013-03-21,28.55
2013-03-22,28.0
2013-03-25,27.5
2013-03-26,22.45
2013-03-28,23.0
2013-04-01,23.85
2013-04-03,23.9
2013-04-04,22.85
2013-04-05,23.25
2013-04-10,22.1
2013-04-11,20.2
2013-04-16,18.35
2013-05-02,18.5
2013-05-06,18.4
2013-05-07,19.3
2013-05-08,21.0
2013-05-10,21.05
2013-05-11,19.05
2013-05-15,19.55
2013-05-17,19.25
2013-05-20,18.6
2013-05-21,19.05
2013-05-28,19.8
2013-06-04,19.1
2013-06-05,20.95
2013-06-06,20.75
2013-06-11,20.75
2013-06-14,21.0
2013-07-04,19.95
2013-07-08,19.9
2013-07-09,19.0
2013-07-12,19.7
2013-07-15,18.9
2013-07-31,18.0
2013-08-01,18.0
2013-08-02,18.0
2013-08-14,17.1
2013-08-16,17.0
2013-08-21,17.85
2013-08-28,17.0
2013-09-19,16.15
2013-09-20,15.35
2013-09-30,14.6
2013-10-15,14.6
2013-10-21,14.5
2013-11-05,15.2
2013-11-06,15.25
2013-11-18,16.0
2013-11-19,16.0
2013-11-20,16.8
2013-11-21,16.8
2013-11-22,16.8
2013-11-25,16.0
2013-11-26,16.8
2013-11-28,17.0
2013-12-02,17.85
2013-12-03,18.0
2013-12-05,18.7
2014-03-03,14.5
2014-03-04,14.5
2014-03-05,14.0
2014-03-06,14.55
2014-03-07,14.05
2014-03-10,14.25
2014-03-11,14.05
2014-03-12,14.35
2014-03-13,14.25
2014-03-14,14.2
2014-03-18,14.25
2014-03-20,14.05
2014-03-21,14.5
2014-03-22,13.8
2014-03-24,14.05
2014-03-25,13.8
2014-03-26,14.3
2014-03-27,13.6
2014-03-28,13.6
2014-03-31,13.55
2014-04-01,13.65
2014-04-02,14.3
2014-04-03,15.0
2014-04-04,15.05
2014-04-07,15.05
2014-04-09,15.35
2014-04-10,15.25
2014-04-11,16.0
2014-04-15,16.7
2014-04-16,17.5
2014-04-17,18.35
2014-04-21,19.25
2014-04-22,20.2
2014-04-23,21.2
2014-04-25,22.25
2014-08-06,37.1
2014-08-07,37.1
2014-08-08,37.0
2014-08-11,35.35
2014-08-12,34.0
2014-08-13,32.4
2014-08-14,32.5
2014-08-18,31.1
2014-08-19,32.65
2014-08-20,33.65
2014-08-21,33.7
2014-08-22,34.6
2014-08-25,36.3
2014-08-26,37.7
2014-08-27,39.5
2014-08-28,38.6
2014-09-01,40.5
2014-09-02,42.5
2014-09-03,44.6
2014-09-04,46.8
2014-09-05,49.1
2014-09-08,51.55
2014-09-09,49.0
2014-09-10,49.7
2014-09-11,47.6
2014-09-12,45.25
2014-09-15,43.1
2014-09-16,41.75
2014-09-17,40.7
2014-09-18,42.7
2014-09-19,44.8
2014-09-22,47.0
2014-09-23,46.65
2014-09-24,48.7
2014-09-25,47.7
2014-09-26,47.5
2014-09-29,46.9
2014-09-30,46.65
2014-10-01,46.5
2014-10-07,46.0
2014-10-08,41.65
2014-10-09,44.8
2014-10-10,41.9
2014-10-13,44.8
2014-10-14,42.5
2014-10-16,42.2
2014-10-17,40.25
2014-10-20,43.55
2014-10-22,44.2
2014-10-23,45.0
2014-10-27,42.5
2014-10-28,40.55
2014-10-29,42.0
2014-10-30,42.5
2014-10-31,44.15
2014-11-03,46.0
2014-11-05,45.75
2014-11-07,45.85
2014-11-10,47.05
2014-11-11,56.4
2014-11-12,53.7
2014-11-13,52.1
2014-11-14,53.45
2014-11-17,52.45
2014-11-18,51.5
2014-11-19,49.55
2014-11-20,50.3
2014-11-21,60.35
2014-11-24,66.8
2014-11-25,61.85
2014-11-26,68.35
2014-11-27,70.55
2014-11-28,66.25
2014-12-01,64.4
