Date,PDSMFL
2014-11-07,140.85
2014-11-10,142.05
2014-11-11,145.25
2014-11-12,143.5
2014-11-13,142.7
2014-11-14,136.6
2014-11-17,125.25
2014-11-18,135.5
2014-11-19,138.25
2014-11-20,139.8
2014-11-21,137.55
2014-11-24,139.4
2014-11-25,137.0
2014-11-26,146.05
2014-11-27,150.65
2014-11-28,161.15
2014-12-01,165.0
2014-12-02,168.2
2014-12-03,173.25
2014-12-04,185.9
2014-12-05,193.7
2014-12-08,192.75
2014-12-09,191.0
2014-12-10,195.25
2014-12-11,199.0
2014-12-12,198.1
2014-12-15,200.05
2014-12-16,195.9
2014-12-17,198.5
2014-12-18,200.4
2014-12-19,199.05
2014-12-22,199.1
2014-12-23,197.85
2014-12-24,198.45
2014-12-26,202.65
2014-12-29,203.8
2014-12-30,202.3
2014-12-31,204.9
2015-01-01,205.15
2015-01-02,205.6
2015-01-05,210.9
2015-01-06,203.55
2015-01-07,202.95
2015-01-08,207.65
2015-01-09,204.95
2015-01-12,207.5
2015-01-13,211.1
2015-01-14,211.5
2015-01-15,209.6
2015-01-16,209.6
2015-01-19,209.9
2015-01-20,217.45
2015-01-21,214.7
2015-01-22,209.35
2015-01-23,206.0
2015-01-27,204.0
2015-01-28,204.75
2015-01-29,204.0
2015-01-30,201.8
2015-02-02,200.9
2015-02-03,196.2
2015-02-04,195.75
2015-02-05,195.6
2015-02-06,193.5
2015-02-09,194.95
2015-02-10,195.0
2015-02-11,196.45
2015-02-12,194.9
2015-02-13,193.4
2015-02-16,193.35
2015-02-18,192.55
2015-02-19,190.55
2015-02-20,191.9
2015-02-23,190.0
2015-02-24,190.1
2015-02-25,187.6
2015-02-26,184.5
2015-02-27,185.0
2015-02-28,181.2
2015-03-02,178.1
2015-03-03,183.25
2015-03-04,177.95
2015-03-05,179.0
2015-03-09,176.0
2015-03-10,180.0
2015-03-11,179.35
2015-03-12,174.5
2015-03-13,172.1
2015-03-16,167.2
2015-03-17,159.7
2015-03-18,163.9
2015-03-19,163.9
2015-03-20,160.1
2015-03-23,156.4
2015-03-24,155.0
2015-03-25,154.0
2015-03-26,152.6
2015-03-27,152.0
2015-03-30,152.0
2015-03-31,152.0
2015-04-01,155.45
2015-04-06,160.05
2015-04-07,163.9
2015-04-08,174.35
2015-04-09,172.05
2015-04-10,170.75
2015-04-13,175.0
2015-04-15,184.75
2015-04-16,181.2
2015-04-17,187.1
2015-04-20,188.9
2015-04-21,187.0
2015-04-22,188.65
2015-04-23,193.0
2015-04-24,188.25
2015-04-27,183.1
2015-04-28,187.0
2015-04-29,188.4
2015-04-30,184.0
2015-05-04,184.0
2015-05-05,184.0
2015-05-06,180.35
2015-05-07,178.0
2015-05-08,178.45
2015-05-11,188.8
2015-05-12,188.55
2015-05-13,190.6
2015-05-14,198.45
2015-05-15,202.85
2015-05-18,204.5
2015-05-19,205.3
2015-05-20,208.75
2015-05-21,209.9
2015-05-22,212.4
2015-05-25,205.0
2015-05-26,202.65
2015-05-27,200.1
2015-05-28,198.0
2015-05-29,203.65
2015-06-01,201.35
2015-06-02,199.45
2015-06-03,192.5
2015-06-04,194.0
2015-06-05,197.45
2015-06-08,197.8
2015-06-09,199.7
2015-06-10,201.05
2015-06-11,200.0
2015-06-12,206.7
2015-06-15,213.8
2015-06-16,227.8
2015-06-17,233.65
2015-06-18,235.55
2015-06-19,231.8
2015-06-22,243.7
2015-06-23,235.8
2015-06-24,236.3
2015-06-25,235.2
2015-06-26,235.2
2015-06-29,226.9
2015-06-30,225.0
2015-07-01,227.35
2015-07-02,227.75
2015-07-03,227.0
2015-07-06,229.15
2015-07-07,229.75
2015-07-08,229.5
2015-07-09,228.3
2015-07-10,239.0
2015-07-13,242.75
2015-07-14,243.2
2015-07-15,238.9
2015-07-16,238.95
2015-07-17,233.7
2015-07-20,235.4
2015-07-21,233.45
2015-07-22,242.6
2015-07-23,241.35
2015-07-24,238.75
2015-07-27,235.75
2015-07-28,235.55
2015-07-29,235.25
2015-07-30,245.5
2015-07-31,253.5
2015-08-03,261.35
2015-08-04,258.85
2015-08-05,264.05
2015-08-06,264.15
2015-08-07,261.65
2015-08-10,260.05
2015-08-11,259.0
2015-08-12,253.05
2015-08-13,251.2
2015-08-14,250.9
2015-08-17,246.0
2015-08-18,247.75
2015-08-19,246.6
2015-08-20,244.2
2015-08-21,240.3
2015-08-24,225.9
2015-08-25,237.9
2015-08-26,239.9
2015-08-27,237.1
2015-08-28,237.2
2015-08-31,235.0
2015-09-01,231.05
2015-09-02,229.45
2015-09-03,225.45
2015-09-04,220.35
2015-09-07,220.75
2015-09-08,221.15
2015-09-09,210.75
2015-09-10,202.85
2015-09-11,200.55
2015-09-14,200.0
2015-09-15,199.0
2015-09-16,199.45
2015-09-18,199.0
2015-09-21,198.75
2015-09-22,196.25
2015-09-23,184.85
2015-09-24,169.9
2015-09-28,167.15
2015-09-29,177.1
2015-09-30,182.3
2015-10-01,183.0
2015-10-05,191.5
2015-10-06,198.85
2015-10-07,200.7
2015-10-08,201.7
2015-10-09,209.95
2015-10-12,213.0
2015-10-13,218.55
2015-10-14,218.8
2015-10-15,216.1
2015-10-16,214.1
2015-10-19,217.85
2015-10-20,216.0
2015-10-21,220.2
2015-10-23,224.2
2015-10-26,223.0
2015-10-27,225.9
2015-10-28,225.3
2015-10-29,224.0
2015-10-30,224.5
2015-11-02,223.1
2015-11-03,225.1
2015-11-04,224.3
2015-11-05,217.75
2015-11-06,216.55
2015-11-09,218.0
2015-11-10,220.2
2015-11-11,224.95
2015-11-13,228.05
2015-11-16,226.1
2015-11-17,225.05
2015-11-18,220.75
2015-11-19,220.0
2015-11-20,219.65
2015-11-23,220.1
2015-11-24,219.0
2015-11-26,222.9
2015-11-27,217.4
2015-11-30,215.85
2015-12-01,214.0
2015-12-02,213.0
2015-12-03,210.55
2015-12-04,213.55
2015-12-07,211.95
2015-12-08,211.15
2015-12-09,208.8
2015-12-10,211.0
2015-12-11,210.3
2015-12-14,212.9
2015-12-15,210.0
2015-12-16,210.0
2015-12-17,215.1
2015-12-18,219.5
2015-12-21,220.2
2015-12-22,220.5
2015-12-23,226.4
