Date,DWARKESH
2013-01-01,34.85
2013-01-02,35.65
2013-01-03,35.75
2013-01-04,35.8
2013-01-07,35.75
2013-01-08,35.25
2013-01-09,34.95
2013-01-10,34.7
2013-01-11,33.45
2013-01-14,33.95
2013-01-15,34.35
2013-01-16,34.2
2013-01-17,34.0
2013-01-18,33.6
2013-01-21,33.55
2013-01-22,33.35
2013-01-23,31.8
2013-01-24,32.2
2013-01-25,30.9
2013-01-28,31.35
2013-01-29,31.85
2013-01-30,32.05
2013-01-31,33.05
2013-02-01,32.9
2013-02-04,32.85
2013-02-05,32.65
2013-02-06,34.0
2013-02-07,33.85
2013-02-08,33.1
2013-02-11,32.1
2013-02-12,32.0
2013-02-13,31.05
2013-02-14,32.85
2013-02-15,33.05
2013-02-18,35.65
2013-02-19,36.35
2013-02-20,35.65
2013-02-21,33.85
2013-02-22,33.85
2013-02-25,33.9
2013-02-26,31.9
2013-02-27,30.9
2013-02-28,30.15
2013-03-01,30.55
2013-03-04,29.45
2013-03-05,30.2
2013-03-06,33.7
2013-03-07,33.05
2013-03-08,33.5
2013-03-11,35.45
2013-03-12,36.05
2013-03-13,35.4
2013-03-14,34.8
2013-03-15,33.1
2013-03-18,33.4
2013-03-19,32.35
2013-03-20,29.55
2013-03-21,28.5
2013-03-22,28.3
2013-03-25,27.95
2013-03-26,27.85
2013-03-28,28.9
2013-04-01,31.85
2013-04-02,32.45
2013-04-03,31.0
2013-04-04,32.4
2013-04-05,33.25
2013-04-08,32.2
2013-04-09,30.7
2013-04-10,29.45
2013-04-11,29.5
2013-04-12,30.65
2013-04-15,30.95
2013-04-16,30.1
2013-04-17,30.85
2013-04-18,30.2
2013-04-22,30.5
2013-04-23,30.25
2013-04-25,30.2
2013-04-26,30.45
2013-04-29,29.4
2013-04-30,29.45
2013-05-02,29.7
2013-05-03,29.05
2013-05-06,29.75
2013-05-07,30.4
2013-05-08,30.25
2013-05-09,29.8
2013-05-10,30.35
2013-05-11,30.35
2013-05-13,29.7
2013-05-14,28.85
2013-05-15,28.65
2013-05-16,28.8
2013-05-17,28.45
2013-05-20,27.65
2013-05-21,27.95
2013-05-22,27.0
2013-05-23,25.5
2013-05-24,26.05
2013-05-27,27.0
2013-05-28,26.75
2013-05-29,25.75
2013-05-30,26.6
2013-05-31,26.45
2013-06-03,26.55
2013-06-04,27.0
2013-06-05,27.0
2013-06-06,27.9
2013-06-07,27.25
2013-06-10,26.85
2013-06-11,25.25
2013-06-12,26.15
2013-06-13,25.4
2013-06-14,25.05
2013-06-17,24.25
2013-06-18,25.15
2013-06-19,26.2
2013-06-20,24.1
2013-06-21,22.95
2013-06-24,22.65
2013-06-25,22.5
2013-06-26,22.6
2013-06-27,21.6
2013-06-28,22.0
2013-07-01,23.1
2013-07-02,23.35
2013-07-03,23.25
2013-07-04,22.5
2013-07-05,23.7
2013-07-08,22.9
2013-07-09,24.4
2013-07-10,23.65
2013-07-11,23.2
2013-07-12,22.55
2013-07-15,23.35
2013-07-16,23.1
2013-07-17,22.85
2013-07-18,23.45
2013-07-19,24.0
2013-07-22,23.3
2013-07-23,24.15
2013-07-24,22.7
2013-07-25,22.35
2013-07-26,22.35
2013-07-29,20.75
2013-07-30,19.9
2013-07-31,19.95
2013-08-01,19.85
2013-08-02,18.1
2013-08-05,17.9
2013-08-06,17.0
2013-08-07,16.65
2013-08-08,17.0
2013-08-12,16.9
2013-08-13,16.95
2013-08-14,16.45
2013-08-16,16.05
2013-08-19,15.05
2013-08-20,14.9
2013-08-21,14.6
2013-08-22,14.95
2013-08-23,14.95
2013-08-26,15.05
2013-08-27,15.5
2013-08-28,15.15
2013-08-29,14.8
2013-08-30,15.0
2013-09-02,18.0
2013-09-03,17.75
2013-09-04,16.95
2013-09-05,17.6
2013-09-06,17.3
2013-09-10,17.1
2013-09-11,17.45
2013-09-12,17.4
2013-09-13,17.5
2013-09-16,17.0
2013-09-17,16.8
2013-09-18,16.85
2013-09-19,17.2
2013-09-20,17.05
2013-09-23,17.05
2013-09-24,16.9
2013-09-25,16.9
2013-09-26,16.95
2013-09-27,16.95
2013-09-30,16.75
2013-10-01,17.0
2013-10-03,17.4
2013-10-04,17.4
2013-10-07,17.15
2013-10-08,16.9
2013-10-09,18.1
2013-10-10,18.05
2013-10-11,18.1
2013-10-14,18.3
2013-10-15,18.15
2013-10-17,18.6
2013-10-18,18.85
2013-10-21,20.3
2013-10-22,22.5
2013-10-23,22.65
2013-10-24,22.85
2013-10-25,22.7
2013-10-28,22.2
2013-10-29,22.0
2013-10-30,21.35
2013-10-31,20.6
2013-11-01,21.05
2013-11-03,21.55
2013-11-05,22.1
2013-11-06,21.75
2013-11-07,21.6
2013-11-08,21.7
2013-11-11,22.0
2013-11-12,20.85
2013-11-13,20.1
2013-11-14,20.6
2013-11-18,20.1
2013-11-19,20.3
2013-11-20,23.9
2013-11-21,24.3
2013-11-22,25.6
2013-11-25,25.8
2013-11-26,25.4
2013-11-27,25.85
2013-11-28,26.85
2013-11-29,26.3
2013-12-02,25.5
2013-12-03,25.4
2013-12-04,24.9
2013-12-05,23.95
2014-03-03,21.7
2014-03-04,22.75
2014-03-05,22.55
2014-03-06,23.65
2014-03-07,23.6
2014-03-10,22.9
2014-03-11,23.1
2014-03-12,24.15
2014-03-13,25.3
2014-03-14,25.65
2014-03-18,26.75
2014-03-19,27.6
2014-03-20,27.7
2014-03-21,27.6
2014-03-22,27.7
2014-03-24,27.55
2014-03-25,27.05
2014-03-26,26.0
2014-03-27,27.05
2014-03-28,27.75
2014-03-31,28.15
2014-04-01,29.55
2014-04-02,31.0
2014-04-03,30.9
2014-04-04,32.4
2014-04-07,33.3
2014-04-09,33.05
2014-04-10,32.05
2014-04-11,32.1
2014-04-15,31.8
2014-04-16,31.2
2014-04-17,30.6
2014-04-21,31.6
2014-04-22,31.55
2014-04-23,32.35
2014-04-25,30.9
2014-04-28,31.15
2014-04-29,30.75
2014-04-30,29.4
2014-05-02,28.1
2014-05-05,27.05
2014-05-06,26.4
2014-05-07,26.25
2014-05-08,25.7
2014-05-09,26.95
2014-05-12,28.25
2014-05-13,29.55
2014-05-14,29.95
2014-05-15,28.6
2014-05-16,28.2
2014-05-19,29.6
2014-05-20,31.05
2014-05-21,32.6
2014-05-22,34.2
2014-05-23,35.9
2014-05-26,34.25
2014-05-27,34.0
2014-05-28,34.9
2014-05-29,33.65
2014-05-30,33.75
2014-06-02,35.4
2014-06-03,37.15
2014-06-04,39.0
2014-06-05,40.95
2014-06-06,42.95
2014-06-09,43.4
2014-06-10,42.8
2014-06-11,43.2
2014-06-12,41.3
2014-06-13,39.25
2014-06-16,38.15
2014-06-17,40.05
2014-06-18,39.85
2014-06-19,39.25
2014-06-20,40.1
2014-06-23,42.1
2014-06-24,43.0
2014-06-25,41.7
2014-06-26,42.85
2014-06-27,43.6
2014-06-30,44.65
2014-07-01,46.65
2014-07-02,46.1
2014-07-03,44.25
2014-07-04,45.2
2014-07-07,44.4
2014-07-08,43.45
2014-07-09,42.15
2014-07-10,42.95
2014-07-11,42.05
2014-07-14,40.2
2014-07-15,40.75
2014-07-16,41.0
2014-07-17,41.3
2014-07-18,41.6
2014-07-21,41.8
2014-07-22,42.0
2014-07-23,40.25
2014-07-24,41.55
2014-07-25,39.45
2014-07-28,38.4
2014-07-30,36.55
2014-07-31,36.1
2014-08-01,37.05
2014-08-04,38.15
2014-08-05,37.9
2014-08-06,38.25
2014-08-07,37.15
2014-08-08,36.15
2014-08-11,36.95
2014-08-12,36.55
2014-08-13,36.75
2014-08-14,37.15
2014-08-18,36.1
2014-08-19,35.75
2014-08-20,35.15
2014-08-21,34.7
2014-08-22,37.35
2014-08-25,35.95
2014-08-26,35.6
2014-08-27,34.55
2014-08-28,37.8
2014-09-01,37.65
2014-09-02,37.4
2014-09-03,36.6
2014-09-04,36.85
2014-09-05,37.7
2014-09-08,37.2
2014-09-09,36.75
2014-09-10,37.0
2014-09-11,38.4
2014-09-12,37.25
2014-09-15,37.2
2014-09-16,36.1
2014-09-17,36.4
2014-09-18,37.35
2014-09-19,36.1
2014-09-22,36.7
2014-09-23,34.0
2014-09-24,34.15
2014-09-25,33.05
2014-09-26,32.4
2014-09-29,33.0
2014-09-30,32.25
2014-10-01,32.8
2014-10-07,32.5
2014-10-08,33.35
2014-10-09,34.2
2014-10-10,33.05
2014-10-13,33.2
2014-10-14,32.85
2014-10-16,32.4
2014-10-17,31.0
2014-10-20,32.15
2014-10-21,31.75
2014-10-22,31.9
2014-10-23,32.1
2014-10-27,32.15
2014-10-28,32.8
2014-10-29,32.65
2014-10-30,32.15
2014-10-31,32.45
2014-11-03,32.3
2014-11-05,33.45
2014-11-07,32.8
2014-11-10,32.15
2014-11-11,32.4
2014-11-12,33.1
2014-11-13,36.15
2014-11-14,38.6
2014-11-17,37.45
2014-11-18,40.15
2014-11-19,38.15
2014-11-20,36.95
2014-11-21,35.1
2014-11-24,35.15
2014-11-25,33.6
2014-11-26,33.95
2014-11-27,33.5
2014-11-28,32.75
2014-12-01,34.05
2014-12-02,32.55
2014-12-03,32.9
2014-12-04,32.1
2014-12-05,32.05
2014-12-08,31.85
2014-12-09,31.4
2014-12-10,32.75
2014-12-11,33.65
2014-12-12,31.3
2014-12-15,30.1
2014-12-16,28.75
2014-12-17,28.35
2014-12-18,30.6
2014-12-19,29.0
2014-12-22,29.25
2014-12-23,29.9
2014-12-24,28.45
2014-12-26,28.4
2014-12-29,28.5
2014-12-30,28.35
2014-12-31,28.75
2015-01-01,29.8
2015-01-02,30.1
2015-01-05,30.4
2015-01-06,32.0
2015-01-07,32.2
2015-01-08,32.2
2015-01-09,32.6
2015-01-12,32.9
2015-01-13,31.35
2015-01-14,30.4
2015-01-15,30.65
2015-01-16,30.7
2015-01-19,30.55
2015-01-20,30.25
2015-01-21,31.0
2015-01-22,31.8
2015-01-23,30.55
2015-01-27,31.6
2015-01-28,31.3
2015-01-29,32.15
2015-01-30,31.0
2015-02-02,31.0
2015-02-03,30.4
2015-02-04,30.55
2015-02-05,30.2
2015-02-06,29.8
2015-02-09,29.55
2015-02-10,28.0
2015-02-11,28.65
2015-02-12,29.05
2015-02-13,28.75
2015-02-16,28.8
2015-02-18,30.05
2015-02-19,29.8
