Date,WEIZMANIND
2013-01-01,8.8
2013-01-02,8.45
2013-01-03,9.0
2013-01-04,9.0
2013-01-07,8.6
2013-01-08,9.2
2013-01-09,8.9
2013-01-11,8.85
2013-01-14,9.3
2013-01-15,9.35
2013-01-16,8.65
2013-01-17,8.85
2013-01-18,8.75
2013-01-21,8.8
2013-01-22,8.7
2013-01-23,8.6
2013-01-25,8.75
2013-01-28,8.25
2013-01-29,8.6
2013-01-30,8.75
2013-01-31,8.65
2013-02-01,8.4
2013-02-04,8.7
2013-02-05,8.25
2013-02-06,8.55
2013-02-07,8.6
2013-02-08,8.2
2013-02-11,8.85
2013-02-12,8.35
2013-02-13,8.05
2013-02-14,8.45
2013-02-15,8.3
2013-02-18,8.55
2013-02-19,8.05
2013-02-20,8.4
2013-02-21,8.5
2013-02-22,8.45
2013-02-25,7.7
2013-02-26,7.6
2013-02-27,7.6
2013-02-28,7.95
2013-03-01,8.1
2013-03-04,7.95
2013-03-05,7.75
2013-03-06,7.5
2013-03-07,7.8
2013-03-08,7.85
2013-03-11,8.25
2013-03-12,7.7
2013-03-13,7.75
2013-03-15,8.4
2013-03-18,8.4
2013-03-19,7.7
2013-03-20,8.25
2013-03-21,7.6
2013-03-22,8.3
2013-03-25,7.6
2013-03-26,7.95
2013-03-28,7.25
2013-04-01,7.9
2013-04-02,8.5
2013-04-03,7.9
2013-04-04,8.6
2013-04-05,8.55
2013-04-16,7.7
2013-04-17,7.05
2013-04-26,6.4
2013-04-29,6.4
2013-05-07,6.4
2013-05-10,6.9
2013-05-14,6.25
2013-05-15,6.85
2013-05-21,6.3
2013-06-03,5.7
2013-06-04,6.25
2013-06-07,6.25
2013-06-24,6.8
2013-06-27,6.8
2013-07-17,6.8
2013-07-30,6.8
2013-07-31,6.8
2013-08-07,6.5
2013-08-26,6.3
2013-09-03,6.0
2013-09-11,6.0
2013-09-16,6.0
2013-09-18,6.0
2013-10-03,6.05
2013-10-04,5.8
2013-10-08,5.8
2013-10-15,5.55
2013-10-18,5.8
2013-10-21,6.05
2013-10-24,6.05
2013-10-25,6.05
2013-10-28,6.35
2013-11-08,6.05
2013-11-13,6.05
2013-11-14,6.2
2013-11-19,5.9
2013-11-20,5.9
2013-11-21,6.15
2013-11-22,6.45
2013-11-27,6.15
2013-12-02,6.35
2013-12-06,6.65
2013-12-10,6.4
2013-12-20,6.35
2013-12-31,6.65
2014-01-03,6.35
2014-01-07,6.65
2014-01-16,6.95
2014-01-17,7.25
2014-01-21,7.6
2014-01-22,7.7
2014-01-23,7.35
2014-01-27,7.0
2014-01-28,6.65
2014-01-30,6.65
2014-01-31,6.95
2014-02-03,6.85
2014-02-04,7.15
2014-02-06,7.5
2014-02-10,7.8
2014-02-12,8.05
2014-02-14,8.1
2014-02-21,8.5
2014-03-03,8.1
2014-03-05,8.0
2014-03-07,7.2
2014-03-10,7.85
2014-03-11,8.0
2014-03-12,7.65
2014-03-14,7.95
2014-03-19,7.95
2014-03-24,7.3
2014-03-25,6.9
2014-03-26,7.3
2014-03-27,7.15
2014-04-01,7.2
2014-04-02,7.25
2014-04-03,7.95
2014-04-09,8.55
2014-04-11,8.7
2014-04-15,8.55
2014-04-16,7.75
2014-04-17,8.4
2014-04-21,8.0
2014-04-22,8.0
2014-04-23,8.8
2014-04-25,7.95
2014-04-28,8.45
2014-04-29,8.2
2014-04-30,8.2
2014-05-02,8.6
2014-05-05,7.8
2014-05-06,8.55
2014-05-07,7.85
2014-05-08,8.5
2014-05-09,8.25
2014-05-12,8.05
2014-05-13,8.7
2014-05-14,8.9
2014-05-15,8.9
2014-05-16,9.25
2014-05-19,9.45
2014-05-20,8.55
