Date,SBIN
2013-01-01,2426.45
2013-01-02,2450.55
2013-01-03,2471.6
2013-01-04,2486.7
2013-01-07,2467.6
2013-01-08,2493.35
2013-01-09,2522.8
2013-01-10,2539.1
2013-01-11,2491.05
2013-01-14,2499.75
2013-01-15,2489.85
2013-01-16,2432.4
2013-01-17,2469.85
2013-01-18,2492.05
2013-01-21,2499.45
2013-01-22,2464.45
2013-01-23,2480.4
2013-01-24,2459.15
2013-01-25,2513.7
2013-01-28,2491.55
2013-01-29,2462.45
2013-01-30,2436.1
2013-01-31,2438.0
2013-02-01,2412.35
2013-02-04,2352.6
2013-02-05,2371.5
2013-02-06,2348.7
2013-02-07,2326.6
2013-02-08,2286.15
2013-02-11,2294.35
2013-02-12,2296.4
2013-02-13,2254.7
2013-02-14,2215.75
2013-02-15,2233.45
2013-02-18,2262.7
2013-02-19,2273.5
2013-02-20,2252.05
2013-02-21,2210.55
2013-02-22,2196.0
2013-02-25,2220.9
2013-02-26,2198.4
2013-02-27,2213.4
2013-02-28,2080.9
2013-03-01,2087.65
2013-03-04,2099.5
2013-03-05,2128.55
2013-03-06,2168.6
2013-03-07,2166.15
2013-03-08,2209.5
2013-03-11,2204.7
2013-03-12,2206.85
2013-03-13,2179.35
2013-03-14,2255.05
2013-03-15,2262.0
2013-03-18,2249.8
2013-03-19,2203.55
2013-03-20,2120.4
2013-03-21,2119.45
2013-03-22,2083.95
2013-03-25,2058.25
2013-03-26,2050.3
2013-03-28,2072.75
2013-04-01,2090.6
2013-04-02,2140.45
2013-04-03,2104.6
2013-04-04,2067.6
2013-04-05,2056.7
2013-04-08,2033.7
2013-04-09,1988.25
2013-04-10,2023.15
2013-04-11,2042.35
2013-04-12,2081.8
2013-04-15,2146.3
2013-04-16,2183.1
2013-04-17,2245.15
2013-04-18,2299.65
2013-04-22,2327.1
2013-04-23,2287.5
2013-04-25,2334.55
2013-04-26,2287.95
2013-04-29,2273.55
2013-04-30,2264.3
2013-05-02,2299.45
2013-05-03,2213.8
2013-05-06,2226.1
2013-05-07,2256.8
2013-05-08,2254.7
2013-05-09,2290.95
2013-05-10,2293.6
2013-05-11,2305.7
