Date,STCINDIA
2013-01-01,221.45
2013-01-02,224.25
2013-01-03,226.1
2013-01-04,231.05
2013-01-07,233.4
2013-01-08,233.5
2013-01-09,233.15
2013-01-10,235.35
2013-01-11,228.15
2013-01-14,232.9
2013-01-15,231.1
2013-01-16,226.5
2013-01-17,225.9
2013-01-18,227.85
2013-01-21,226.5
2013-01-22,224.7
2013-01-23,221.3
2013-01-24,218.2
2013-01-25,218.55
2013-01-28,217.45
2013-01-29,219.2
2013-01-30,216.15
2013-01-31,215.1
2013-02-01,215.7
2013-02-04,212.25
2013-02-05,204.7
2013-02-06,204.0
2013-02-07,198.1
2013-02-08,190.15
2013-02-11,225.65
2013-02-12,232.3
2013-02-13,218.55
2013-02-14,206.45
2013-02-15,198.5
2013-02-18,223.2
2013-02-19,218.2
2013-02-20,214.35
2013-02-21,208.05
2013-02-22,209.25
2013-02-25,204.4
2013-02-26,200.8
2013-02-27,197.9
2013-02-28,195.1
2013-03-01,193.0
2013-03-04,191.05
2013-03-05,191.55
2013-03-06,199.6
2013-03-07,200.7
2013-03-08,203.3
2013-03-11,201.6
2013-03-12,214.7
2013-03-13,208.15
2013-03-14,201.2
2013-03-15,191.4
2013-03-18,183.45
2013-03-19,178.4
2013-03-20,170.7
2013-03-21,161.65
2013-03-22,149.85
2013-03-25,145.8
2013-03-26,137.5
2013-03-28,136.2
2013-04-01,163.4
2013-04-02,167.25
2013-04-03,164.3
2013-04-04,175.45
2013-04-05,171.0
2013-04-08,171.45
2013-04-09,169.25
2013-04-10,166.1
2013-04-11,166.9
2013-04-12,163.75
2013-04-15,162.4
2013-04-16,171.35
2013-04-17,168.8
2013-04-18,169.5
2013-04-22,172.1
2013-04-23,173.2
2013-04-25,171.2
2013-04-26,169.95
2013-04-29,170.0
2013-04-30,170.35
2013-05-02,170.3
2013-05-03,169.35
2013-05-06,170.5
2013-05-07,182.3
2013-05-08,179.1
2013-05-09,179.95
2013-05-10,189.7
2013-05-11,203.35
2013-05-13,194.95
2013-05-14,188.25
2013-05-15,191.15
2013-05-16,192.25
2013-05-17,188.85
2013-05-20,188.95
2013-05-21,185.05
2013-05-22,181.35
2013-05-23,169.55
2013-05-24,175.05
2013-05-27,172.45
2013-05-28,175.0
2013-05-29,171.75
2013-05-30,170.75
2013-05-31,165.05
2013-06-03,163.3
2013-06-04,164.55
2013-06-05,166.15
2013-06-06,164.1
2013-06-07,162.85
2013-06-10,160.3
2013-06-11,151.95
2013-06-12,152.5
2013-06-13,122.0
2013-06-14,101.4
2013-06-17,96.55
2013-06-18,98.6
2013-06-19,96.6
2013-06-20,93.05
2013-06-21,87.45
2013-06-24,83.05
2013-06-25,79.75
2013-06-26,82.75
2013-06-27,84.4
2013-06-28,89.55
2013-07-01,95.2
2013-07-02,92.6
2013-07-03,89.3
2013-07-04,89.15
2013-07-05,89.5
2013-07-08,102.7
2013-07-09,103.85
2013-07-10,105.4
2013-07-11,100.15
2013-07-12,96.6
2013-07-15,97.6
2013-07-16,91.85
2013-07-17,92.7
2013-07-18,90.9
2013-07-19,93.65
2013-07-22,93.85
2013-07-23,93.55
2013-07-24,89.05
2013-07-25,86.9
2013-07-26,85.2
2013-07-29,83.35
2013-07-30,80.8
2013-07-31,74.5
2013-08-01,74.65
2013-08-02,74.3
2013-08-05,72.9
2013-08-06,82.75
2013-08-07,99.3
2013-08-08,119.15
2013-08-12,131.05
2013-08-13,144.15
2013-08-14,148.05
2013-08-16,133.35
2013-08-19,128.6
2013-08-20,139.7
2013-08-21,128.2
2013-08-22,135.85
2013-08-23,132.8
2013-08-26,136.25
2013-08-27,128.55
2013-08-28,129.95
2013-08-29,130.65
2013-08-30,129.55
2013-09-02,134.05
2013-09-03,132.85
2013-09-04,134.55
2013-09-05,139.8
2013-09-06,150.45
2013-09-10,154.1
2013-09-11,154.3
2013-09-12,151.9
2013-09-13,151.0
2013-09-16,151.5
2013-09-17,146.05
2013-09-18,142.6
2013-09-19,147.35
2013-09-20,146.4
2013-09-23,145.55
2013-09-24,143.7
2013-09-25,141.2
2013-09-26,140.0
2013-09-27,142.3
2013-09-30,138.15
2013-10-01,139.95
2013-10-03,141.7
2013-10-04,142.55
2013-10-07,142.9
