Date,JISLDVREQS
2013-01-01,37.7
2013-01-02,38.25
2013-01-03,38.55
2013-01-04,39.4
2013-01-07,42.0
2013-01-08,42.4
2013-01-09,42.7
2013-01-10,42.05
2013-01-11,41.75
2013-01-14,42.5
2013-01-15,42.5
2013-01-16,41.2
2013-01-17,41.15
2013-01-18,41.0
2013-01-21,41.15
2013-01-22,40.65
2013-01-23,39.85
2013-01-24,37.6
2013-01-25,38.65
2013-01-28,37.5
2013-01-29,36.95
2013-01-30,36.8
2013-01-31,37.7
2013-02-01,37.45
2013-02-04,37.15
2013-02-05,35.3
2013-02-06,35.4
2013-02-07,35.15
2013-02-08,34.75
2013-02-11,33.85
2013-02-12,34.0
2013-02-13,34.25
2013-02-14,34.0
2013-02-15,34.05
2013-02-18,34.45
2013-02-19,34.45
2013-02-20,34.65
2013-02-21,34.15
2013-02-22,34.0
2013-02-25,33.55
2013-02-26,33.2
2013-02-27,31.9
2013-02-28,31.3
2013-03-01,32.0
2013-03-04,30.55
2013-03-05,32.4
2013-03-06,32.8
2013-03-07,32.75
2013-03-08,33.55
2013-03-11,34.8
2013-03-12,33.4
2013-03-13,32.9
2013-03-14,33.75
2013-03-15,33.15
2013-03-18,33.05
2013-03-19,32.2
2013-03-20,30.9
2013-03-21,31.05
2013-03-22,30.6
2013-03-25,29.95
2013-03-26,29.65
2013-03-28,29.65
2013-04-01,30.7
2013-04-02,31.2
2013-04-03,30.0
2013-04-04,28.25
2013-04-05,28.3
2013-04-08,28.15
2013-04-09,27.85
2013-04-10,27.95
2013-04-11,28.7
2013-04-12,28.7
2013-04-15,28.7
2013-04-16,28.8
2013-04-17,29.5
2013-04-18,29.7
2013-04-22,30.0
2013-04-23,29.3
2013-04-25,29.25
2013-04-26,29.2
2013-04-29,30.2
2013-04-30,30.45
2013-05-02,30.6
2013-05-03,32.2
2013-05-06,33.7
2013-05-07,34.6
2013-05-08,33.65
2013-05-09,33.1
2013-05-10,32.95
2013-05-11,33.4
2013-05-13,32.45
2013-05-14,32.1
2013-05-15,33.0
2013-05-16,33.65
2013-05-17,33.25
2013-05-20,32.4
2013-05-21,32.25
2013-05-22,32.9
2013-05-23,32.0
2013-05-24,33.0
2013-05-27,33.4
2013-05-28,32.55
2013-05-29,33.25
2013-05-30,34.0
2013-05-31,33.9
2013-06-03,34.85
2013-06-04,33.9
2013-06-05,32.5
2013-06-06,31.85
2013-06-07,30.45
2013-06-10,28.3
2013-06-11,27.9
2013-06-12,28.8
2013-06-13,27.85
2013-06-14,28.4
2013-06-17,27.7
2013-06-18,27.3
2013-06-19,28.2
2013-06-20,27.4
2013-06-21,27.45
2013-06-24,26.15
2013-06-25,25.85
2013-06-26,25.35
2013-06-27,25.25
2013-06-28,25.6
2013-07-01,26.4
2013-07-02,25.4
2013-07-03,24.45
2013-07-04,24.8
2013-07-05,24.65
2013-07-08,24.6
2013-07-09,25.1
2013-07-10,24.9
2013-07-11,25.3
2013-07-12,24.5
2013-07-15,25.7
2013-07-16,25.4
2013-07-17,25.7
2013-07-18,26.2
2013-07-19,27.6
2013-07-22,27.8
2013-07-23,27.95
2013-07-24,27.0
2013-07-25,27.05
2013-07-26,26.9
2013-07-29,27.0
2013-07-30,27.15
2013-07-31,25.75
2013-08-01,24.9
2013-08-02,23.95
2013-08-05,24.85
2013-08-06,23.75
2013-08-07,24.55
2013-08-08,24.0
2013-08-12,24.7
2013-08-13,25.3
2013-08-14,26.75
2013-08-16,24.75
2013-08-19,24.9
2013-08-20,25.7
2013-08-21,25.0
2013-08-22,25.85
2013-08-23,27.25
2013-08-26,27.55
2013-08-27,26.05
2013-08-28,24.95
2013-08-29,25.3
2013-08-30,24.9
2013-09-02,25.3
2013-09-03,24.95
2013-09-04,25.1
2013-09-05,25.45
2013-09-06,25.1
2013-09-10,25.3
2013-09-11,25.55
2013-09-12,24.8
2013-09-13,25.05
2013-09-16,24.8
2013-09-17,25.1
2013-09-18,24.9
2013-09-19,26.25
2013-09-20,26.75
2013-09-23,25.85
2013-09-24,26.35
2013-09-25,25.7
2013-09-26,25.85
2013-09-27,26.1
2013-09-30,25.15
2013-10-01,26.4
2013-10-03,28.0
2013-10-04,28.15
2013-10-07,28.15
2013-10-08,28.0
2013-10-09,27.55
2013-10-10,27.3
2013-10-11,26.7
2013-10-14,26.0
2013-10-15,25.5
2013-10-17,25.65
2013-10-18,27.5
2013-10-21,27.35
2013-10-22,28.05
2013-10-23,27.4
2013-10-24,27.3
2013-10-25,26.4
2013-10-28,26.0
2013-10-29,26.65
2013-10-30,27.6
2013-10-31,29.1
2013-11-01,29.85
2013-11-03,29.8
2013-11-05,32.3
2013-11-06,34.05
2013-11-07,32.0
2013-11-08,31.15
2013-11-11,29.45
2013-11-12,29.05
2013-11-13,28.1
2013-11-14,28.9
2013-11-18,29.25
2013-11-19,30.15
2013-11-20,30.75
2013-11-21,30.1
2013-11-22,29.9
2013-11-25,30.85
2013-11-26,30.25
2013-11-27,31.0
2013-11-28,31.15
2013-11-29,31.7
2013-12-02,31.05
2013-12-03,30.6
2013-12-04,31.0
2013-12-05,30.75
2013-12-06,31.5
2013-12-09,31.7
2013-12-10,31.1
2013-12-11,31.0
2013-12-12,30.4
2013-12-13,29.35
2013-12-16,29.35
2013-12-17,29.7
2013-12-18,30.05
2013-12-19,29.75
2013-12-20,29.75
2013-12-23,30.1
2013-12-24,30.75
2013-12-26,32.5
2013-12-27,32.0
2013-12-30,31.7
2013-12-31,32.85
2014-01-01,33.25
2014-01-02,31.95
2014-01-03,31.9
2014-01-06,32.65
2014-01-07,32.25
2014-01-08,32.35
2014-01-09,32.45
2014-01-10,32.6
2014-01-13,32.35
2014-01-14,31.9
2014-01-15,32.4
2014-01-16,31.6
2014-01-17,31.05
2014-01-20,31.7
2014-01-21,31.4
2014-01-22,31.1
2014-01-23,30.5
2014-01-24,29.95
2014-01-27,28.75
2014-01-28,28.75
2014-01-29,28.8
2014-01-30,30.05
2014-01-31,29.6
2014-02-03,28.6
2014-02-04,29.3
2014-02-05,29.3
2014-02-06,29.75
2014-02-07,29.3
2014-02-10,29.35
2014-02-11,28.95
2014-02-12,28.85
2014-02-13,28.6
2014-02-14,27.95
2014-02-17,28.35
2014-02-18,28.15
2014-02-19,28.25
2014-02-20,28.45
2014-02-21,28.35
2014-02-24,28.15
2014-02-25,27.9
2014-02-26,28.0
2014-02-28,28.2
2014-03-03,27.9
2014-03-04,27.9
2014-03-05,27.9
2014-03-06,28.6
2014-03-07,28.95
2014-03-10,28.25
2014-03-11,28.0
2014-03-12,27.95
2014-03-13,27.45
2014-03-14,27.65
2014-03-18,27.3
2014-03-19,27.35
2014-03-20,27.25
2014-03-21,28.0
2014-03-22,28.2
2014-03-24,28.1
2014-03-25,28.0
2014-03-26,28.05
2014-03-27,28.25
2014-03-28,29.3
2014-03-31,30.85
2014-04-01,30.95
2014-04-02,31.6
2014-04-03,30.6
2014-04-04,31.4
2014-04-07,31.3
2014-04-09,32.2
2014-04-10,32.95
2014-04-11,33.1
2014-04-15,33.9
2014-04-16,32.35
2014-04-17,33.45
2014-04-21,33.75
2014-04-22,34.7
2014-04-23,35.55
2014-04-25,35.95
2014-04-28,38.4
2014-04-29,38.25
2014-04-30,36.45
2014-05-02,37.25
2014-05-05,37.75
2014-05-06,37.3
2014-05-07,36.45
2014-05-08,37.15
2014-05-09,37.9
2014-05-12,39.4
2014-05-13,38.8
2014-05-14,38.45
2014-05-15,38.0
2014-05-16,38.35
2014-05-19,41.7
2014-05-20,47.65
2014-05-21,48.35
2014-05-22,49.15
2014-05-23,53.35
2014-05-26,49.7
2014-05-27,51.2
2014-05-28,51.15
2014-05-29,49.4
