Date,MANGTIMBER
2013-01-01,20.75
2013-01-02,20.25
2013-01-03,20.4
2013-01-04,20.25
2013-01-07,20.4
2013-01-08,20.5
2013-01-09,20.7
2013-01-10,20.0
2013-01-11,20.3
2013-01-14,20.05
2013-01-15,20.1
2013-01-16,19.65
2013-01-17,20.5
2013-01-18,19.75
2013-01-21,20.5
2013-01-22,20.25
2013-01-23,20.2
2013-01-24,19.45
2013-01-25,19.25
2013-01-28,19.25
2013-01-29,21.05
2013-01-30,20.05
2013-01-31,20.5
2013-02-01,19.55
2013-02-04,19.15
2013-02-05,19.2
2013-02-06,18.35
2013-02-07,18.2
2013-02-11,17.5
2013-02-12,17.4
2013-02-13,17.15
2013-02-14,16.95
2013-02-15,16.25
2013-02-18,15.6
2013-02-19,15.9
2013-02-20,16.8
2013-02-21,17.15
2013-02-22,17.1
2013-02-25,16.5
2013-02-26,16.4
2013-02-27,15.7
2013-02-28,15.5
2013-03-01,15.55
2013-03-04,15.95
2013-03-05,15.75
2013-03-06,14.75
2013-03-07,14.3
2013-03-08,14.5
2013-03-11,14.95
2013-03-12,14.55
2013-03-13,14.6
2013-03-14,14.6
2013-03-15,15.25
2013-03-18,14.55
2013-03-19,14.2
2013-03-20,13.5
2013-03-21,14.5
2013-03-22,14.0
2013-03-25,12.85
2013-03-26,14.0
2013-03-28,13.05
2013-04-01,14.0
2013-04-02,13.9
2013-04-03,13.25
2013-04-04,13.4
2013-04-05,13.05
2013-04-08,11.75
2013-04-11,10.6
2013-04-15,11.2
2013-04-16,9.55
2013-04-29,11.45
2013-05-02,11.55
2013-05-06,11.1
2013-05-07,13.2
2013-05-09,14.0
2013-05-10,11.5
2013-05-15,9.5
2013-05-16,10.45
2013-05-17,11.45
2013-05-20,11.5
2013-05-21,12.5
2013-05-22,12.65
2013-05-28,12.65
2013-06-21,12.05
2013-07-03,12.2
2013-07-17,11.6
2013-07-30,12.15
2013-08-01,12.15
2013-08-07,12.15
2013-08-30,11.55
2013-09-02,11.0
2013-09-03,11.0
2013-09-04,10.45
2013-09-10,10.7
2013-09-11,10.9
2013-09-12,10.4
2013-09-13,9.9
2013-09-18,9.45
2013-09-19,9.15
2013-09-20,9.0
2013-09-24,9.0
2013-10-08,9.0
2013-10-10,9.0
2013-10-11,9.45
2013-10-15,9.0
2013-10-21,8.6
2013-10-22,9.0
2013-10-25,8.55
2013-10-28,8.2
2013-10-29,7.85
2013-10-30,7.7
2013-11-01,7.4
2013-11-05,7.1
2013-11-07,7.45
2013-11-08,7.3
2013-11-11,7.65
2013-11-14,7.35
2013-11-18,7.3
2013-11-19,7.05
2013-11-21,7.4
2013-11-25,7.3
2013-11-26,7.1
2013-11-27,7.45
2013-11-29,7.25
2013-12-02,7.25
2013-12-03,7.1
2013-12-05,6.95
2013-12-06,6.8
2013-12-09,7.1
2013-12-10,7.45
2013-12-12,7.2
2013-12-16,7.05
2013-12-23,7.25
2013-12-27,7.25
2013-12-31,7.15
2014-01-06,7.5
2014-01-07,7.85
2014-01-08,7.85
2014-01-10,8.2
2014-01-13,8.6
2014-01-14,8.4
2014-01-15,8.45
2014-01-16,8.65
2014-01-17,8.75
2014-01-20,9.05
2014-01-21,9.5
2014-01-22,9.4
2014-01-23,9.2
2014-01-24,9.0
2014-01-27,8.7
2014-01-28,8.4
2014-01-29,8.2
2014-01-30,8.15
2014-01-31,8.5
2014-02-03,8.75
2014-02-04,8.85
2014-02-05,8.5
2014-02-06,8.15
2014-02-07,8.15
2014-02-11,8.0
2014-02-13,7.75
2014-02-14,7.65
2014-02-17,8.0
2014-02-18,8.4
2014-02-19,8.75
2014-02-20,8.4
2014-02-21,8.7
2014-02-24,8.9
2014-02-25,9.05
2014-02-26,9.2
2014-02-28,9.35
2014-03-03,9.45
2014-03-04,9.75
2014-03-05,9.75
2014-03-06,10.0
