Date,TATACOMM
2013-01-01,242.9
2013-01-02,242.65
2013-01-03,251.35
2013-01-04,252.55
2013-01-07,250.1
2013-01-08,247.45
2013-01-09,249.85
2013-01-10,245.35
2013-01-11,237.0
2013-01-14,244.4
2013-01-15,245.7
2013-01-16,240.4
2013-01-17,242.9
2013-01-18,238.7
2013-01-21,243.25
2013-01-22,242.5
2013-01-23,241.05
2013-01-24,230.45
2013-01-25,232.65
2013-01-28,232.0
2013-01-29,227.75
2013-01-30,230.0
2013-01-31,232.75
2013-02-01,230.05
2013-02-04,228.5
2013-02-05,227.05
2013-02-06,228.15
2013-02-07,224.9
2013-02-08,224.1
2013-02-11,227.85
2013-02-12,228.6
2013-02-13,226.95
2013-02-14,225.6
2013-02-15,225.25
2013-02-18,233.8
2013-02-19,232.75
2013-02-20,231.1
2013-02-21,225.8
2013-02-22,227.1
2013-02-25,222.85
2013-02-26,220.55
2013-02-27,221.85
2013-02-28,222.9
2013-03-01,222.8
2013-03-04,223.1
2013-03-05,224.8
2013-03-06,230.8
2013-03-07,229.85
2013-03-08,229.65
2013-03-11,230.3
2013-03-12,230.25
2013-03-13,233.9
2013-03-14,233.75
2013-03-15,228.1
2013-03-18,227.55
2013-03-19,225.45
2013-03-20,221.2
2013-03-21,217.7
2013-03-22,212.8
2013-03-25,212.35
2013-03-26,213.7
2013-03-28,233.95
2013-04-01,227.55
2013-04-02,229.85
2013-04-03,229.45
2013-04-04,225.65
2013-04-05,225.9
2013-04-08,225.75
2013-04-09,223.2
2013-04-10,226.9
2013-04-11,229.3
2013-04-12,228.7
2013-04-15,224.0
2013-04-16,227.1
2013-04-17,230.6
2013-04-18,227.65
2013-04-22,229.9
2013-04-23,225.4
2013-04-25,226.95
2013-04-26,228.0
2013-04-29,228.85
2013-04-30,228.65
2013-05-02,229.55
2013-05-03,229.3
2013-05-06,229.85
2013-05-07,230.05
2013-05-08,231.4
2013-05-09,231.4
2013-05-10,238.05
2013-05-11,238.45
2013-05-13,233.8
2013-05-14,237.35
2013-05-15,239.15
2013-05-16,229.15
2013-05-17,225.1
2013-05-20,224.7
2013-05-21,224.2
