Date,TIIL
2013-01-01,73.0
2013-01-02,75.0
2013-01-03,75.0
2013-01-04,75.0
2013-01-07,74.35
2013-01-08,75.8
2013-01-09,74.5
2013-01-10,74.0
2013-01-11,74.65
2013-01-14,73.35
2013-01-15,74.5
2013-01-16,72.45
2013-01-17,71.5
2013-01-18,72.95
2013-01-21,73.3
2013-01-22,73.45
2013-01-23,74.0
2013-01-24,71.55
2013-01-25,72.0
2013-01-28,73.35
2013-01-29,71.5
2013-01-30,74.0
2013-01-31,73.8
2013-02-01,73.5
2013-02-04,76.5
2013-02-05,75.55
2013-02-06,74.0
2013-02-07,72.8
2013-02-08,73.0
2013-02-11,72.65
2013-02-12,70.4
2013-02-13,71.5
2013-02-14,70.5
2013-02-15,69.15
2013-02-18,71.65
2013-02-19,72.8
2013-02-20,70.2
2013-02-21,68.5
2013-02-22,70.0
2013-02-25,67.45
2013-02-26,67.0
2013-02-27,67.65
2013-02-28,69.5
2013-03-01,66.9
2013-03-04,63.3
2013-03-05,64.0
2013-03-06,66.25
2013-03-07,67.3
2013-03-08,67.9
2013-03-11,66.05
2013-03-12,68.0
2013-03-13,66.45
2013-03-14,68.65
2013-03-15,64.0
2013-03-18,62.1
2013-03-19,65.0
2013-03-20,63.1
2013-03-21,64.85
2013-03-22,60.85
2013-03-25,63.35
2013-03-26,62.95
2013-03-28,60.7
2013-04-01,64.95
2013-04-02,64.85
2013-04-03,63.0
2013-04-04,59.0
2013-04-05,63.95
2013-04-09,64.0
2013-04-11,66.05
2013-04-12,66.1
2013-04-15,67.0
2013-04-16,67.0
2013-04-18,61.0
2013-04-22,66.05
2013-04-26,65.0
2013-04-29,65.0
2013-04-30,64.0
2013-05-02,66.9
2013-05-03,67.0
2013-05-06,67.0
2013-05-07,67.0
2013-05-08,67.0
2013-05-09,67.0
2013-05-10,68.5
2013-05-11,69.0
2013-05-13,69.0
2013-05-14,70.0
2013-05-16,71.95
2013-05-17,70.0
2013-05-20,70.0
2013-05-21,65.15
2013-05-22,69.95
2013-05-24,69.05
2013-05-27,69.0
2013-05-28,68.0
2013-05-29,68.0
2013-05-30,62.0
2013-05-31,65.05
2013-06-04,65.25
2013-06-05,66.75
2013-06-07,65.05
2013-06-11,65.05
2013-06-19,61.1
2013-06-20,67.5
2013-06-21,69.45
2013-06-28,64.0
2013-07-01,69.4
2013-07-08,74.4
2013-07-09,70.0
2013-07-10,73.0
2013-07-11,72.0
2013-07-12,72.25
2013-07-15,75.0
2013-07-16,76.0
2013-07-17,78.5
2013-07-18,78.1
2013-07-19,78.0
2013-07-23,75.0
