Date,MANAKCOAT
2015-04-16,10.0
2015-04-17,10.45
2015-04-20,8.7
2015-04-21,8.35
2015-04-22,8.0
2015-04-23,7.45
2015-04-24,7.1
2015-04-27,6.4
2015-04-28,6.35
2015-04-29,6.6
2015-04-30,6.9
2015-05-04,6.8
2015-05-05,7.05
2015-05-06,6.7
2015-05-07,6.4
2015-05-08,6.15
2015-05-11,5.95
2015-05-12,5.95
2015-05-13,5.7
2015-05-14,5.45
2015-05-15,5.2
2015-05-18,4.95
2015-05-19,4.95
2015-05-20,4.75
2015-05-21,4.55
2015-05-22,4.35
2015-05-25,4.15
2015-05-26,4.15
2015-05-27,4.0
2015-05-28,3.95
2015-05-29,3.8
2015-06-01,3.95
2015-06-02,3.95
2015-06-03,3.8
2015-06-04,3.65
2015-06-05,3.8
2015-06-08,3.65
2015-06-10,3.8
2015-06-11,3.9
2015-06-12,3.75
2015-06-15,3.9
2015-06-16,3.75
2015-06-17,3.6
2015-06-18,3.45
2015-06-19,3.3
2015-06-22,3.45
2015-06-23,3.3
2015-06-24,3.15
2015-06-25,3.25
2015-06-26,3.1
2015-06-29,2.95
2015-06-30,2.85
2015-07-01,2.75
2015-07-02,2.65
2015-07-03,2.55
2015-07-06,2.45
2015-07-07,2.55
2015-07-08,2.65
2015-07-09,2.75
2015-07-10,2.85
2015-07-13,2.95
2015-07-14,3.05
2015-07-15,3.2
2015-07-16,3.35
2015-07-17,3.5
2015-07-20,3.65
2015-07-21,3.8
2015-07-22,3.95
2015-07-23,4.1
2015-07-24,4.15
2015-07-27,3.95
2015-07-28,3.8
2015-07-29,3.95
2015-07-30,3.85
2015-07-31,4.0
2015-08-03,4.0
2015-08-04,3.85
2015-08-05,3.75
2015-08-06,3.7
2015-08-07,3.55
2015-08-10,3.4
2015-09-08,3.1
2015-09-09,3.0
2015-09-10,2.85
2015-09-11,2.9
2015-09-14,2.95
2015-09-15,3.05
2015-09-16,3.2
2015-09-18,3.15
2015-09-21,3.2
2015-09-22,3.05
2015-09-23,3.2
2015-09-24,3.05
2015-09-28,3.2
2015-09-29,3.3
2015-09-30,3.4
2015-10-01,3.25
2015-10-05,3.1
2015-10-06,3.05
2015-10-07,3.2
2015-10-08,2.95
2015-10-09,3.0
2015-10-12,3.3
2015-10-13,3.15
2015-10-14,3.35
2015-10-15,3.2
2015-10-16,3.5
2015-10-19,3.3
2015-10-20,3.1
2015-10-21,3.0
2015-10-23,3.1
2015-10-26,3.35
2015-10-27,3.05
2015-10-28,3.3
2015-10-29,3.15
2015-10-30,3.1
2015-11-02,3.2
2015-11-03,3.25
2015-11-04,3.1
2015-11-05,3.3
2015-11-06,3.95
2015-11-09,3.55
2015-11-10,3.45
2015-11-11,3.15
2015-11-13,3.4
2015-11-16,3.6
2015-11-17,3.55
2015-11-18,4.25
2015-11-19,4.65
2015-11-20,5.1
2015-11-23,5.6
2015-11-24,5.85
2015-11-26,6.1
2015-11-27,6.4
2015-11-30,6.7
2015-12-01,7.0
2015-12-02,6.7
2015-12-03,7.0
2015-12-04,7.35
2015-12-07,7.7
2015-12-08,8.05
2015-12-09,7.95
2015-12-10,7.95
2015-12-11,8.0
2015-12-14,7.6
2015-12-16,7.9
2015-12-17,7.85
2015-12-18,7.5
2015-12-21,7.15
2015-12-22,6.85
2015-12-23,6.85
2015-12-24,6.75
2015-12-28,6.9
2015-12-29,6.9
2015-12-30,6.85
2015-12-31,7.1
2016-01-01,6.85
2016-01-04,6.6
2016-01-05,6.45
2016-01-06,6.45
2016-01-07,6.3
2016-01-08,6.85
2016-01-11,7.5
2016-01-12,8.25
2016-01-13,8.65
2016-01-14,9.05
2016-01-15,9.5
2016-01-18,9.05
2016-01-19,8.6
2016-01-20,8.2
2016-01-21,7.8
2016-01-22,7.45
2016-01-25,7.1
2016-01-27,6.75
2016-01-28,6.9
2016-01-29,6.6
2016-02-01,6.6
2016-02-02,6.6
2016-02-03,6.9
2016-02-04,6.6
2016-02-05,6.35
2016-02-08,6.2
2016-02-09,6.5
2016-02-10,6.2
2016-02-12,6.15
2016-02-15,6.0
2016-02-16,5.7
2016-02-17,5.45
2016-02-18,5.3
2016-02-19,5.05
2016-02-22,4.8
2016-02-23,4.7
2016-02-24,4.55
2016-02-25,4.35
2016-02-26,4.15
2016-02-29,3.95
2016-03-01,4.1
2016-03-02,4.05
2016-03-03,4.25
2016-03-04,4.1
2016-03-08,4.0
2016-03-09,4.0
2016-03-10,4.05
2016-03-11,4.0
2016-03-14,3.85
2016-03-15,3.7
2016-03-16,3.85
2016-03-17,4.0
2016-03-18,4.0
2016-03-21,3.9
2016-03-22,3.95
2016-03-23,4.1
2016-03-28,3.9
2016-03-29,3.75
2016-03-30,3.85
2016-03-31,4.0
2016-04-01,3.75
