Date,MOHOTAIND
2013-01-28,81.95
2013-01-29,84.9
2013-01-30,83.0
2013-12-24,72.95
2014-01-13,80.1
2014-01-22,88.1
2014-01-23,96.9
2014-01-24,106.55
2014-01-27,102.75
2014-01-28,107.85
2014-01-29,105.0
2014-01-30,101.0
2014-04-15,35.0
2014-04-16,36.5
2014-04-17,38.25
2014-04-21,39.9
2014-04-22,39.75
2014-04-23,41.6
2014-04-25,43.35
2014-04-28,44.5
2014-04-29,44.0
2014-04-30,45.2
2014-05-05,43.65
2014-05-06,43.7
2014-05-07,43.85
2014-05-08,43.75
2014-05-09,43.95
2014-05-12,44.7
2014-05-13,45.0
2014-05-14,43.05
2014-05-15,43.5
2014-05-16,44.5
2014-05-19,44.4
2014-05-20,44.05
2014-05-21,43.8
2014-05-22,44.0
2014-05-23,43.15
2014-05-26,43.5
2014-05-27,43.2
2014-05-28,45.0
2014-05-29,45.0
2014-06-02,44.3
2014-06-03,44.95
2014-06-04,43.0
2014-06-05,41.65
2014-06-06,40.4
2014-06-09,38.95
2014-06-10,39.05
2014-06-11,37.3
2014-06-12,38.95
2014-06-13,39.15
2014-06-17,41.1
2014-06-18,40.4
2014-06-19,41.15
2014-06-20,41.65
2014-06-23,40.55
2014-06-24,41.5
2014-06-25,41.85
2014-06-26,42.75
2014-06-27,42.0
2014-06-30,41.6
2014-07-01,42.45
2014-07-02,41.3
2014-07-03,41.6
2014-07-04,40.3
2014-07-07,41.25
2014-07-08,40.15
2014-07-09,43.95
2014-07-10,44.9
2014-07-11,44.25
2014-07-14,43.3
2014-07-15,44.2
2014-07-16,44.4
2014-07-17,41.05
2014-07-18,43.5
2014-07-21,40.9
2014-07-22,40.0
2014-07-23,39.5
2014-07-24,43.45
2014-07-25,46.8
2014-07-28,47.0
2014-07-30,46.5
2014-07-31,46.05
2014-08-01,47.0
2014-08-04,46.75
2014-08-05,46.95
2014-08-06,43.0
2014-08-07,41.9
2014-08-08,40.35
2014-08-11,40.85
2014-08-12,41.15
2014-08-13,42.5
2014-08-14,41.5
2014-08-18,43.35
2014-08-20,46.1
2014-08-21,54.9
2014-08-22,55.45
2014-08-25,57.0
2014-08-26,59.5
2014-08-27,61.25
2014-08-28,59.55
2014-09-01,62.0
2014-09-02,62.5
2014-09-03,63.2
2014-09-04,61.9
2014-09-05,64.0
2014-09-08,61.2
2014-09-09,61.55
2014-09-10,59.9
2014-09-11,58.1
2014-09-12,69.7
2014-09-15,81.0
2014-09-16,77.35
2014-09-17,82.75
