Date,NITESHEST
2013-01-01,18.4
2013-01-02,18.5
2013-01-03,18.8
2013-03-01,12.65
2013-03-04,12.05
2013-03-05,12.4
2013-03-06,13.0
2013-03-07,12.85
2013-03-08,13.05
2013-03-11,12.8
2013-03-12,12.4
2013-03-13,12.45
2013-03-14,12.95
2013-03-15,13.05
2013-03-18,12.8
2013-03-19,12.4
2013-03-20,11.75
2013-03-21,11.5
2013-03-22,11.65
2013-03-25,11.9
2013-03-26,11.9
2013-03-28,12.1
2013-04-01,12.45
2013-04-02,12.8
2013-04-03,12.65
2013-04-04,12.25
2013-04-05,12.1
2013-04-08,11.7
2013-04-09,11.55
2013-04-10,11.9
2013-04-11,11.8
2013-04-12,11.55
2013-04-15,11.6
2013-04-16,11.85
2013-04-17,11.85
2013-04-18,12.25
2013-04-22,12.4
2013-04-23,12.2
2013-04-25,12.0
2013-04-26,12.1
2013-04-29,12.0
2013-04-30,11.8
2013-05-02,11.95
2013-05-03,11.85
2013-05-06,11.8
2013-05-07,12.5
2013-05-08,12.35
2013-05-09,12.1
2013-05-10,11.7
2013-05-11,12.0
2013-05-13,11.5
2013-05-14,11.5
2013-05-15,11.9
2013-05-16,12.75
2013-05-17,12.75
2013-05-20,12.35
2013-05-21,12.4
2013-05-22,11.7
2013-05-23,11.35
2013-05-24,11.5
2013-05-27,11.7
2013-05-28,11.6
2013-05-29,11.35
2013-05-30,11.25
2013-05-31,10.9
2013-06-03,10.5
2013-06-04,11.1
2013-06-05,11.1
2013-06-06,10.85
2013-06-07,11.2
2013-06-10,10.95
2013-06-11,10.75
2013-06-12,10.9
2013-06-13,10.55
2013-06-14,10.7
2013-06-17,10.75
2013-06-18,11.4
2013-06-19,11.45
2013-06-20,10.6
2013-06-21,10.3
2013-06-24,9.95
2013-06-25,9.9
2013-06-26,9.75
2013-06-27,9.35
2013-06-28,9.4
2013-07-01,9.75
2013-07-02,9.75
2013-07-03,9.4
2013-07-04,9.7
2013-07-05,9.6
2013-07-08,9.55
2013-07-09,9.55
2013-07-10,9.8
2013-07-11,9.45
2013-07-12,9.4
2013-07-15,9.55
2013-07-16,9.95
2013-07-17,10.35
2013-07-18,11.15
2013-07-19,11.75
2013-07-22,11.9
2013-07-23,11.2
2013-07-24,10.55
2013-07-25,9.55
2013-07-26,9.8
2013-07-29,9.55
2013-07-30,9.6
2013-07-31,9.2
2013-08-01,9.1
2013-08-02,9.15
2013-08-05,9.2
2013-08-06,10.1
2013-08-07,11.3
2013-08-08,11.75
2013-08-12,11.95
2013-08-13,11.8
2013-08-14,11.45
2013-08-16,10.4
2013-11-29,13.85
2013-12-02,13.4
2013-12-03,13.35
2013-12-04,13.5
2013-12-05,13.45
2013-12-06,13.4
2013-12-09,14.05
2013-12-10,13.9
2013-12-11,14.25
2013-12-12,14.25
2013-12-13,14.05
2013-12-16,13.9
2013-12-17,13.85
2013-12-18,14.15
2013-12-19,14.2
2013-12-20,13.95
2013-12-23,14.15
2013-12-24,14.3
2013-12-26,13.7
2013-12-27,13.5
2013-12-30,13.8
2013-12-31,13.75
2014-01-01,13.95
2014-01-02,13.75
2014-01-03,13.7
2014-01-06,13.9
2014-01-07,14.0
2014-01-08,13.85
2014-01-09,13.7
2014-01-10,13.55
2014-01-13,13.55
2014-01-14,12.95
2014-01-15,13.0
2014-01-16,12.75
2014-01-17,12.55
2014-01-20,13.35
2014-01-21,13.0
2014-01-22,13.2
2014-01-23,13.35
2014-01-24,13.5
2014-01-27,13.0
2014-01-28,12.85
2014-01-29,12.6
2014-01-30,12.4
2014-01-31,13.0
2014-02-03,12.8
2014-02-04,12.75
2014-02-05,12.8
2014-02-06,12.8
2014-02-07,12.85
2014-02-10,12.9
2014-02-11,13.25
2014-02-12,13.45
2014-02-13,12.15
2014-02-14,12.25
2014-02-17,12.3
2014-02-18,12.1
2014-02-19,12.25
2014-02-20,12.2
2014-02-21,12.05
2014-02-24,11.9
2014-02-25,12.1
2014-02-26,11.5
2014-02-28,11.1
2014-03-03,10.95
2014-03-04,11.0
2014-03-05,10.95
2014-03-06,11.3
2014-03-07,11.65
2014-03-10,11.75
2014-03-11,11.3
2014-03-12,11.65
2014-03-13,11.1
2014-03-14,11.6
2014-03-18,10.95
2014-03-19,10.8
2014-03-20,10.75
2014-03-21,10.75
2014-03-22,10.9
2014-03-24,10.7
2014-03-25,10.75
2014-03-26,10.0
2014-03-27,10.3
2014-03-28,10.45
2014-03-31,11.6
2014-04-01,11.2
2014-04-02,11.3
2014-04-03,11.45
2014-04-04,12.55
2014-04-07,12.7
2014-04-09,13.1
2014-04-10,13.2
2014-04-11,13.65
2014-04-15,12.6
2014-04-16,12.35
2014-04-17,12.25
2014-04-21,12.95
2014-04-22,13.05
2014-04-23,12.85
2014-04-25,12.75
2014-04-28,12.85
2014-04-29,12.3
2014-04-30,11.55
2014-05-02,11.65
2014-05-05,11.35
2014-05-06,11.35
2014-05-07,11.15
2014-05-08,11.4
2014-05-09,11.5
2014-05-12,11.75
2014-05-13,11.7
2014-05-14,12.55
2014-05-15,12.1
2014-05-16,12.5
2014-05-19,14.1
2014-05-20,14.7
2014-05-21,14.8
2014-05-22,15.2
2014-05-23,15.9
2014-05-26,14.85
2014-05-27,14.65
2014-05-28,14.85
2014-05-29,15.15
2014-05-30,15.0
2014-06-02,15.2
2014-06-03,16.1
2014-06-04,16.25
2014-06-05,16.8
2014-06-06,17.1
2014-06-09,17.75
2014-06-10,16.95
2014-06-11,16.35
2014-06-12,17.0
2014-06-30,17.4
2014-07-01,17.2
2014-07-02,16.7
2014-07-03,16.4
2014-07-04,16.9
2014-07-07,16.8
2014-07-08,16.0
2014-07-09,15.3
2014-07-10,16.05
2014-07-11,15.35
2014-07-14,15.1
2014-07-15,15.3
2014-07-16,16.05
2014-07-17,16.1
2014-07-18,15.9
2014-07-21,16.0
2014-07-22,15.7
2014-07-23,15.3
2014-07-24,15.3
2014-07-25,14.85
2014-07-28,14.6
2014-07-30,14.8
2014-07-31,14.55
2014-08-01,14.6
2014-08-04,14.7
2014-08-05,14.85
2014-08-06,14.25
2014-08-07,14.15
2014-08-08,13.75
2014-08-11,13.9
2014-08-12,13.4
2014-08-13,13.2
2014-08-14,13.45
2014-08-18,13.65
2014-08-19,14.1
2014-08-20,14.15
2014-08-21,14.0
2014-08-22,13.95
2014-08-25,13.4
2014-08-26,13.5
2014-08-27,13.7
2014-08-28,14.9
2014-09-01,14.1
2014-09-02,14.0
2014-09-03,13.45
2014-09-04,13.0
2014-09-05,12.55
2014-09-08,12.95
2014-09-09,12.8
2014-09-10,13.25
2014-09-11,13.5
2014-09-12,14.3
2014-09-15,16.25
2014-09-16,14.75
2014-09-17,14.75
2014-09-18,15.1
2014-09-19,15.25
2014-09-22,14.95
2014-09-23,14.6
2014-09-24,13.95
2014-09-25,13.65
2014-09-26,13.6
2014-09-29,13.9
2014-09-30,13.9
2014-10-01,14.15
2014-10-07,13.95
2014-10-08,13.9
2014-10-09,13.9
2014-10-10,13.7
2014-10-13,13.7
2014-10-14,13.6
2014-10-16,13.15
2014-10-17,13.05
2014-10-20,13.1
2014-10-21,13.05
2014-10-22,12.95
2014-10-23,13.45
2014-10-27,13.05
2014-10-28,13.2
2014-10-29,13.2
2014-10-30,13.5
2014-10-31,13.8
2014-11-03,14.15
2014-11-05,14.2
2014-11-07,13.75
2014-11-10,14.1
2014-11-11,14.05
2014-11-12,13.75
2014-11-13,13.4
2014-11-14,13.3
2014-11-17,13.0
2014-11-18,13.15
2014-11-19,12.95
2014-11-20,12.95
2014-11-21,12.85
2014-11-24,12.55
2014-11-25,11.95
2014-11-26,12.4
2014-11-27,12.1
2014-11-28,11.8
2014-12-01,12.1
2014-12-02,11.6
2014-12-03,12.3
2014-12-04,11.9
2014-12-05,11.8
2014-12-08,11.75
2014-12-09,11.6
2014-12-10,11.25
2014-12-11,10.95
2014-12-12,10.5
2014-12-15,10.8
2014-12-16,10.25
2014-12-17,10.45
2014-12-18,11.0
2014-12-19,10.8
2014-12-22,10.7
2014-12-23,9.4
2014-12-24,10.2
2014-12-26,10.3
2014-12-29,10.45
2014-12-30,10.3
2014-12-31,10.4
2015-01-01,10.5
2015-01-02,10.85
2015-01-05,10.8
2015-01-06,10.45
2015-01-07,10.3
2015-01-08,10.65
2015-01-09,10.75
2015-01-12,11.3
2015-01-13,11.2
2015-01-14,10.9
2015-01-15,11.4
2015-01-16,11.45
2015-01-19,11.55
2015-01-20,11.1
2015-01-21,11.1
2015-01-22,11.1
2015-01-23,10.95
2015-01-27,11.05
2015-01-28,11.45
2015-01-29,11.15
2015-01-30,11.3
2015-02-02,11.9
2015-02-03,12.25
2015-02-04,11.9
2015-02-05,11.5
2015-02-06,10.95
2015-02-09,10.7
2015-02-10,10.55
2015-02-11,10.75
2015-02-12,10.35
2015-02-13,10.55
2015-02-16,10.6
2015-02-18,11.3
2015-02-19,11.2
2015-02-20,11.05
2015-02-23,10.7
2015-02-24,10.5
2015-02-25,10.35
2015-02-26,10.2
2015-02-27,10.75
2015-02-28,11.05
2015-03-02,10.85
2015-03-03,10.4
2015-03-04,12.45
2015-03-05,14.9
2015-03-09,17.8
2015-03-10,16.5
2015-03-11,15.15
2015-03-12,15.65
2015-03-13,14.9
2015-03-16,14.1
2015-03-17,13.65
2015-03-18,13.75
