Date,MANINDS
2013-01-01,132.15
2013-01-02,131.6
2013-01-03,132.45
2013-01-04,131.6
2013-01-07,132.65
2013-01-08,131.6
2013-01-09,132.85
2013-01-10,131.4
2013-01-11,124.3
2013-01-14,125.85
2013-01-15,126.65
2013-01-16,127.0
2013-01-17,125.15
2013-01-18,125.7
2013-01-21,121.5
2013-01-22,123.1
2013-01-23,121.65
2013-01-24,120.4
2013-01-25,121.0
2013-01-28,121.65
2013-01-29,120.1
2013-01-30,120.95
2013-01-31,119.45
2013-02-01,121.25
2013-02-04,120.9
2013-02-05,119.9
2013-02-06,119.85
2013-02-07,119.5
2013-02-08,117.6
2013-02-11,117.3
2013-02-12,121.45
2013-02-13,117.65
2013-02-14,116.9
2013-02-15,116.85
2013-02-18,121.45
2013-02-19,126.65
2013-02-20,125.55
2013-02-21,122.3
2013-02-22,121.7
2013-02-25,117.6
2013-02-26,114.0
2013-02-27,114.55
2013-02-28,115.0
2013-03-01,115.05
2013-03-04,115.05
2013-03-05,113.6
2013-03-06,113.35
2013-03-07,113.4
2013-03-08,114.85
2013-03-11,118.45
2013-03-12,115.8
2013-03-13,114.9
2013-03-14,114.1
2013-03-15,112.95
2013-03-18,114.1
2013-03-19,113.75
2013-03-20,113.1
2013-03-21,108.6
2013-03-22,109.4
2013-03-25,110.75
2013-03-26,109.7
2013-03-28,107.75
2013-04-01,107.8
2013-04-02,108.6
2013-04-03,107.75
2013-04-04,104.85
2013-04-05,101.7
2013-04-08,106.3
2013-04-09,103.15
2013-04-10,103.1
2013-04-11,102.0
2013-04-12,101.95
2013-04-15,101.8
2013-04-16,103.2
2013-04-17,101.95
2013-04-18,101.15
2013-04-22,101.15
2013-04-23,100.85
2013-04-25,101.5
2013-04-26,100.6
2013-04-29,99.4
2013-04-30,98.0
2013-05-02,100.7
2013-05-03,98.8
2013-05-06,96.35
2013-05-07,96.05
2013-05-08,94.8
2013-05-09,96.85
2013-05-10,102.0
2013-05-11,100.4
2013-05-13,97.15
2013-05-14,96.25
2013-05-15,96.5
2013-05-16,95.6
2013-05-17,95.8
2013-05-20,95.6
2013-05-21,95.5
2013-05-22,94.5
2013-05-23,93.55
2013-05-24,92.4
2013-05-27,93.95
2013-05-28,92.5
2013-05-29,91.4
2013-05-30,91.15
2013-05-31,93.45
2013-06-03,93.65
2013-06-04,93.9
2013-06-05,94.0
2013-06-06,93.75
2013-06-07,92.25
2013-06-10,90.65
2013-06-11,93.55
2013-06-12,96.0
2013-06-13,89.85
2013-06-14,89.25
2013-06-17,91.1
2013-06-18,91.3
2013-06-19,90.9
2013-06-20,90.05
2013-06-21,89.65
2013-06-24,90.8
2013-06-25,96.2
2013-06-26,92.5
2013-06-27,93.05
2013-06-28,92.95
2013-07-01,101.8
2013-07-02,101.9
2013-07-03,99.85
2013-07-04,99.05
2013-07-05,98.75
2013-07-08,95.7
2013-07-09,101.4
2013-07-10,104.9
2013-07-11,99.5
2013-07-12,99.1
2013-07-15,99.2
2013-07-16,98.5
2013-07-17,98.1
2013-07-18,96.0
2013-07-19,93.1
2013-07-22,92.0
2013-07-23,90.95
2013-07-24,88.15
2013-07-25,90.25
2013-07-26,88.8
2013-07-29,86.6
2013-07-30,89.8
2013-07-31,88.55
2013-08-01,83.8
2013-08-02,84.05
2013-08-05,83.3
2013-08-06,80.4
2013-08-07,80.0
2013-08-08,78.35
2013-08-12,78.95
2013-08-13,78.25
2013-08-14,78.8
2013-08-16,78.25
2013-08-19,78.6
2013-08-20,78.3
2013-08-21,75.6
2013-08-22,71.25
2013-08-23,70.4
2013-08-26,67.1
2013-08-27,66.45
2013-08-28,63.45
2013-08-29,69.4
2013-08-30,70.1
2013-09-02,66.0
2013-09-03,64.95
2013-09-04,65.95
2013-09-05,64.95
2013-09-06,62.75
2013-09-10,63.0
2013-09-11,65.2
2013-09-12,63.7
2013-09-13,69.1
2013-09-16,68.55
2013-09-17,72.05
2013-09-18,69.4
2013-09-19,70.55
2013-09-20,68.5
2013-09-23,67.25
2013-09-24,66.6
2013-09-25,66.35
2013-09-26,66.7
2013-09-27,63.35
2013-09-30,62.6
2013-10-01,68.25
2013-10-03,64.15
2013-10-04,61.65
2013-10-07,59.75
2013-10-08,58.95
2013-10-09,56.85
2013-10-10,59.4
2013-10-11,59.9
2013-10-14,59.7
2013-10-15,59.6
2013-10-17,59.85
2013-10-18,59.75
2013-10-21,57.75
2013-10-22,56.85
2013-10-23,56.3
2013-10-24,56.75
2013-10-25,55.4
2013-10-28,54.55
2013-10-29,54.15
2013-10-30,53.5
2013-10-31,52.35
2013-11-01,52.35
2013-11-03,53.9
2013-11-05,54.75
2013-11-06,56.3
2013-11-07,57.45
2013-11-08,56.45
2013-11-11,55.8
2013-11-12,54.15
2013-11-13,52.9
2013-11-14,53.4
2013-11-18,54.45
2013-11-19,58.1
2013-11-20,56.1
2013-11-21,55.05
2013-11-22,56.1
2013-11-25,54.95
2013-11-26,54.25
2013-11-27,53.55
2013-11-28,55.4
2013-11-29,54.9
2013-12-02,54.6
2013-12-03,55.0
2013-12-04,51.6
2013-12-05,53.6
2013-12-06,54.05
2013-12-09,56.7
2013-12-10,56.05
2013-12-11,56.5
2013-12-12,56.5
2013-12-13,56.7
2013-12-16,57.7
2013-12-17,56.3
2013-12-18,57.0
2013-12-19,57.45
2013-12-20,58.05
2013-12-23,57.1
2013-12-24,58.5
2013-12-26,60.5
2013-12-27,59.75
2013-12-30,59.35
2013-12-31,58.75
2014-01-01,61.3
2014-01-02,58.6
2014-01-03,58.55
2014-01-06,59.25
2014-01-07,59.95
2014-01-08,59.05
2014-01-09,58.45
2014-01-10,56.7
2014-01-13,57.2
2014-01-14,56.9
2014-01-15,56.7
2014-01-16,57.1
2014-01-17,55.45
2014-01-20,56.65
2014-01-21,57.9
2014-01-22,58.8
2014-01-23,58.85
2014-01-24,57.8
2014-01-27,55.75
2014-01-28,55.65
2014-01-29,55.7
2014-01-30,55.95
2014-01-31,56.05
2014-02-03,55.3
2014-02-04,55.05
2014-02-05,56.6
2014-02-06,55.35
2014-02-07,55.75
2014-02-10,55.3
2014-02-11,54.6
2014-02-12,55.0
2014-02-13,54.4
2014-02-14,54.35
2014-02-17,55.8
2014-02-18,57.05
2014-02-19,57.85
2014-02-20,58.5
2014-02-21,58.75
2014-02-24,58.4
2014-02-25,58.9
2014-02-26,59.55
2014-02-28,56.35
2014-03-03,58.0
2014-03-04,59.25
2014-03-05,59.75
2014-03-06,59.15
2014-03-07,59.95
2014-03-10,60.1
2014-03-11,59.5
2014-03-12,59.95
2014-03-13,59.0
2014-03-14,60.1
2014-03-18,59.5
2014-03-19,59.65
2014-03-20,59.35
2014-03-21,63.2
2014-03-22,62.2
2014-03-24,60.2
2014-03-25,61.5
2014-03-26,60.2
2014-03-27,59.95
2014-03-28,60.2
2014-03-31,60.2
2014-04-01,61.2
2014-04-02,61.6
2014-04-03,61.75
2014-04-04,63.0
2014-04-07,63.95
2014-04-09,65.15
2014-04-10,70.8
2014-04-11,71.15
2014-04-15,68.0
2014-04-16,65.45
2014-04-17,65.75
2014-04-21,67.4
2014-04-22,67.45
2014-04-23,67.25
2014-04-25,66.4
2014-04-28,65.9
2014-04-29,65.55
2014-04-30,63.85
2014-05-02,63.2
2014-05-05,61.6
2014-05-06,61.25
2014-05-07,61.7
2014-05-08,61.7
2014-05-09,62.7
2014-05-12,61.9
2014-05-13,62.05
2014-05-14,64.15
2014-05-15,64.0
2014-05-16,62.85
2014-05-19,66.0
