Date,CELEBRITY
2013-01-01,4.65
2013-01-02,4.6
2013-01-03,4.45
2013-01-04,4.4
2013-01-07,4.4
2013-01-08,4.6
2013-01-09,4.4
2013-01-10,4.65
2013-01-11,4.35
2013-01-14,4.45
2013-01-15,4.25
2013-01-16,4.35
2013-01-17,4.3
2013-01-18,4.2
2013-01-21,4.35
2013-01-22,4.15
2013-01-23,4.2
2013-01-24,4.0
2013-01-25,4.05
2013-01-28,3.95
2013-01-29,4.1
2013-01-30,4.1
2013-01-31,3.4
2013-02-01,3.7
2013-02-04,3.7
2013-02-05,3.55
2013-02-06,3.7
2013-02-07,3.65
2013-02-08,3.55
2013-02-11,3.45
2013-02-12,3.35
2013-02-13,3.6
2013-02-14,3.55
2013-02-15,3.3
2013-02-18,3.35
2013-02-19,3.55
2013-02-20,3.55
2013-02-21,3.45
2013-02-22,3.5
2013-02-25,3.0
2013-02-26,2.95
2013-02-27,2.75
2013-02-28,2.55
2013-03-01,2.8
2013-03-04,2.25
2013-03-05,2.15
2013-03-06,2.15
2013-03-07,2.2
2013-03-08,2.2
2013-03-11,2.35
2013-03-12,2.55
2013-03-13,2.65
2013-03-14,2.65
2013-03-15,2.65
2013-03-18,2.7
2013-03-19,2.9
2013-03-20,2.95
2013-03-21,2.7
2013-03-22,2.85
2013-03-25,2.6
2013-03-26,2.5
2013-03-28,2.3
2013-04-01,2.4
2013-09-06,5.5
2013-09-10,4.95
2013-09-18,4.5
2013-09-19,4.05
2013-09-20,4.05
2013-09-23,4.0
2013-09-24,3.8
2013-09-25,3.95
2013-09-26,4.1
2013-10-03,3.9
2013-10-04,3.75
2013-10-07,3.6
2013-10-08,3.55
2013-10-09,3.55
2013-10-10,3.55
2013-10-11,3.4
2013-10-15,3.55
2013-10-17,3.7
2013-10-18,3.65
2013-10-21,3.8
2013-10-23,3.95
2013-10-24,4.1
2013-10-25,4.3
2013-10-28,2.6
2013-10-29,2.7
2013-10-31,2.8
2013-11-01,2.9
2013-11-05,2.9
2013-11-08,3.0
2013-11-12,3.15
2013-11-13,3.3
2013-11-14,3.45
2013-11-18,3.6
2013-11-19,3.75
2013-11-20,3.9
2013-11-21,4.05
2013-11-22,4.25
2013-11-25,4.1
2013-11-27,4.3
2013-11-28,4.3
2013-11-29,4.2
2013-12-02,4.25
2013-12-03,4.05
2013-12-05,4.0
2013-12-06,3.8
2013-12-09,3.95
2013-12-18,3.8
2013-12-23,3.95
2013-12-24,4.1
2013-12-26,4.3
2013-12-27,4.1
2013-12-30,4.25
2013-12-31,4.35
2014-01-13,4.35
2014-01-14,4.4
2014-01-15,4.6
2014-01-16,4.4
2014-01-17,4.2
2014-01-20,4.2
2014-01-22,4.05
2014-01-23,3.95
2014-01-24,3.8
2014-01-27,3.75
2014-01-28,3.9
2014-01-29,3.75
2014-01-30,3.9
2014-01-31,4.05
2014-02-03,3.9
2014-02-05,4.0
2014-02-06,3.8
2014-02-07,3.75
2014-02-10,3.9
2014-02-11,3.9
2014-02-12,4.05
2014-02-13,4.25
2014-02-14,4.45
2014-02-17,4.65
2014-02-18,4.85
2014-02-19,4.85
2014-02-20,5.05
2014-02-21,5.3
2014-02-24,5.55
2014-02-25,5.5
2014-02-26,5.25
2014-02-28,5.15
2014-06-13,11.15
2014-06-16,11.7
2014-06-17,12.25
2014-06-18,12.85
2014-06-19,13.45
2014-06-20,14.1
2014-06-23,13.4
2014-06-24,13.35
2014-06-25,12.95
2014-06-26,12.35
2014-06-27,12.95
2014-08-06,14.05
2014-08-07,13.45
2014-08-08,13.15
2014-08-11,12.8
2014-08-12,12.2
2014-08-13,11.85
2014-08-14,12.1
2014-08-18,11.75
2014-08-19,12.05
2014-08-20,12.65
2014-08-21,13.25
2014-08-22,13.9
2014-08-25,14.0
2014-08-26,14.0
2014-08-27,14.7
2014-08-28,15.4
2014-09-01,16.15
2014-09-02,16.95
2014-09-03,17.75
2014-09-04,18.5
2014-09-05,18.5
2014-09-08,18.45
2014-09-09,17.9
2014-09-10,17.1
2014-09-11,17.05
2014-09-12,16.5
2014-09-15,16.1
2014-09-16,15.3
2014-09-17,15.05
2014-09-18,15.8
2014-09-19,16.55
2014-09-22,17.35
2014-09-23,18.1
2014-09-24,17.2
2014-09-25,16.35
2014-09-26,15.55
2014-09-29,15.3
2014-09-30,16.05
2014-10-01,16.5
2014-10-07,15.9
2014-10-08,16.0
2014-10-09,17.45
2014-10-10,17.75
2014-10-13,17.85
2014-10-14,19.1
2014-10-16,17.85
2014-10-17,17.4
2014-10-20,16.85
2014-10-21,16.45
2014-10-22,17.4
2014-10-23,18.25
2014-10-27,17.4
2014-10-28,17.7
2014-10-29,18.15
2014-10-30,17.0
2014-10-31,17.25
2014-11-03,17.9
2014-11-05,17.6
2014-11-07,17.4
2014-11-10,17.45
2014-11-11,17.3
2014-11-12,16.8
2014-11-13,17.0
2014-11-14,16.15
2014-11-17,15.95
2014-11-18,14.9
2014-11-19,14.55
2014-11-20,14.8
2014-11-21,14.0
2014-11-24,14.3
2014-11-25,13.2
2014-11-26,14.5
2014-11-27,13.0
2014-11-28,12.35
2014-12-01,12.0
2014-12-02,14.4
2014-12-03,15.1
2014-12-04,14.2
2014-12-05,14.35
2014-12-08,14.15
2014-12-09,13.4
2014-12-10,14.0
2014-12-11,14.0
2014-12-12,13.7
2014-12-15,13.4
2014-12-16,13.45
2014-12-17,13.55
2014-12-18,13.3
2014-12-19,14.6
2014-12-22,14.55
2014-12-23,14.55
2014-12-24,13.85
2014-12-26,13.75
2014-12-29,13.8
2014-12-30,13.7
2014-12-31,13.65
2015-01-01,13.75
2015-01-02,13.8
2015-01-05,13.95
2015-01-06,13.55
2015-01-07,13.5
2015-01-08,13.4
2015-01-09,13.5
2015-01-12,13.5
2015-01-13,13.3
2015-01-14,13.05
2015-01-15,12.9
2015-01-16,13.35
2015-01-19,13.1
2015-01-20,12.95
2015-01-21,13.5
2015-01-22,13.15
2015-01-23,13.1
2015-01-27,13.25
2015-01-28,12.95
2015-01-29,12.85
2015-01-30,13.0
2015-02-02,13.7
2015-02-03,13.05
2015-02-04,13.4
2015-02-05,13.4
2015-02-06,13.1
2015-02-09,12.55
2015-02-10,12.65
2015-02-11,12.55
2015-02-12,12.35
2015-02-13,12.4
2015-02-16,12.85
2015-02-18,13.55
2015-02-19,13.9
2015-02-20,14.9
2015-02-23,15.1
2015-02-24,14.6
2015-02-25,14.4
2015-02-26,14.25
2015-02-27,14.6
2015-02-28,14.35
2015-03-02,13.4
2015-03-03,14.0
2015-03-04,14.25
2015-03-05,13.9
2015-03-09,13.9
2015-03-10,13.5
2015-03-11,13.05
2015-03-12,13.4
2015-03-13,13.05
2015-03-16,12.7
2015-03-17,12.8
2015-03-18,12.45
2015-03-19,12.2
2015-03-20,12.1
2015-03-23,11.7
2015-03-24,11.55
2015-03-25,11.5
2015-03-26,11.4
2015-03-27,11.2
2015-03-31,11.35
2015-04-01,12.1
2015-04-06,12.6
2015-04-07,13.45
2015-04-08,13.8
2015-04-09,14.25
2015-04-10,14.4
2015-04-13,15.55
2015-04-15,15.1
2015-04-16,14.65
2015-04-17,14.7
2015-04-20,14.5
2015-04-21,15.0
2015-04-22,15.3
2015-04-23,14.8
2015-04-24,14.25
2015-04-27,14.15
2015-04-28,13.3
2015-04-29,13.35
2015-04-30,13.55
2015-05-04,14.15
2015-05-05,13.85
2015-05-06,13.35
2015-05-08,13.2
2015-05-11,13.2
2015-05-12,12.9
2015-05-13,13.05
2015-05-14,13.25
2015-05-15,13.25
2015-05-18,13.9
2015-05-19,13.95
2015-05-20,13.6
2015-05-21,13.6
2015-05-22,13.85
2015-05-25,13.55
2015-05-26,13.3
2015-05-27,13.3
2015-05-28,13.4
2015-05-29,12.9
2015-06-01,13.45
2015-06-02,12.45
2015-06-03,11.85
2015-06-04,11.95
2015-06-05,11.7
2015-06-08,12.35
2015-06-09,12.0
2015-06-10,12.3
2015-06-11,12.45
2015-06-12,11.6
2015-06-15,11.5
2015-06-16,11.8
2015-06-17,11.95
2015-06-18,11.85
2015-06-19,12.85
2015-06-22,12.6
2015-06-23,12.5
2015-06-24,12.55
2015-06-25,13.4
2015-06-26,13.35
2015-06-29,13.5
2015-06-30,13.15
2015-07-01,13.5
2015-07-02,13.9
2015-07-03,13.8
2015-07-06,14.1
2015-07-07,13.85
2015-07-08,13.75
2015-07-09,13.75
2015-07-10,13.7
2015-07-13,13.85
2015-07-14,14.35
2015-07-15,14.7
2015-07-16,14.4
2015-07-17,14.2
2015-07-20,14.3
2015-07-21,13.95
2015-07-22,14.1
2015-07-23,14.0
2015-07-24,13.85
2015-07-27,13.0
2015-07-28,13.3
2015-07-29,13.5
2015-07-30,13.7
2015-07-31,13.9
2015-08-03,14.25
