Date,MIRCELECTR
2013-01-01,10.25
2013-01-02,10.35
2013-01-03,10.5
2013-01-04,10.25
2013-01-07,10.8
2013-01-08,10.45
2013-01-09,10.55
2013-01-10,10.45
2013-01-11,11.25
2013-01-14,11.35
2013-01-15,10.9
2013-01-16,10.6
2013-01-17,10.65
2013-01-18,10.25
2013-01-21,10.2
2013-01-22,10.1
2013-01-23,10.05
2013-01-24,9.95
2013-01-25,9.75
2013-01-28,9.8
2013-01-29,9.85
2013-01-30,9.8
2013-01-31,9.85
2013-02-01,9.9
2013-02-04,9.75
2013-02-05,9.6
2013-02-06,9.45
2013-02-07,9.45
2013-02-08,9.25
2013-02-11,9.05
2013-02-12,9.05
2013-02-13,8.95
2013-02-14,8.35
2013-02-15,8.55
2013-02-18,8.9
2013-02-19,8.75
2013-02-20,8.7
2013-02-21,8.45
2013-02-22,8.45
2013-02-25,8.35
2013-02-26,7.95
2013-02-27,8.0
2013-02-28,8.0
2013-03-01,7.75
2013-03-04,7.85
2013-03-05,7.85
2013-03-06,7.85
2013-03-07,7.95
2013-03-08,8.15
2013-03-11,7.8
2013-03-12,7.6
2013-03-13,7.7
2013-03-14,7.6
2013-03-15,7.55
2013-03-18,7.2
2013-03-19,7.4
2013-03-20,7.15
2013-03-21,7.05
2013-03-22,6.95
2013-03-25,6.8
2013-03-26,6.35
2013-03-28,6.6
2013-04-01,6.65
2013-04-02,7.0
2013-04-03,7.0
2013-04-04,7.1
2013-04-05,6.9
2013-04-08,6.95
2013-04-09,6.85
2013-04-10,7.0
2013-04-11,7.0
2013-04-12,6.75
2013-04-15,6.75
2013-04-16,6.8
2013-04-17,6.75
2013-04-18,7.0
2013-04-22,6.85
2013-04-23,6.7
2013-04-25,6.85
2013-04-26,6.65
2013-04-29,6.6
2013-04-30,6.5
2013-05-02,6.5
2013-05-03,6.45
2013-05-06,6.3
2013-05-07,6.35
2013-05-08,6.35
2013-05-09,6.35
2013-05-10,6.55
2013-05-11,6.4
2013-05-13,6.5
2013-05-14,6.5
2013-05-15,6.95
2013-05-16,7.0
2013-05-17,6.9
2013-05-20,6.8
2013-05-21,6.85
2013-05-22,6.75
2013-05-23,6.55
2013-05-24,6.55
2013-05-27,6.55
2013-05-28,6.35
2013-05-29,6.2
2013-05-30,6.2
2013-05-31,6.15
2013-06-03,6.1
2013-06-04,6.15
2013-06-05,6.1
2013-06-06,6.2
2013-06-07,6.1
2013-06-10,6.0
2013-06-11,6.0
2013-06-12,6.0
2013-06-13,6.15
2013-06-14,6.05
2013-06-17,6.05
2013-06-18,6.2
2013-06-19,6.25
2013-06-20,6.15
2013-06-21,6.0
2013-06-24,5.75
2013-06-25,5.75
2013-06-26,5.75
2013-06-27,5.6
2013-06-28,5.85
2013-07-01,6.2
2013-07-02,6.1
2013-07-03,6.15
2013-07-04,6.05
2013-07-05,6.3
2013-07-08,6.65
2013-07-09,7.0
2013-07-10,7.0
2013-07-11,8.0
2013-07-12,7.5
2013-07-15,7.1
2013-07-16,6.95
2013-07-17,7.15
2013-07-18,7.1
2013-08-30,5.1
2013-09-02,5.05
2013-09-03,4.95
2013-09-04,4.9
2013-09-05,5.0
2013-09-06,4.95
2013-09-10,5.0
2013-09-11,4.95
2013-09-12,4.85
2013-09-13,4.9
2013-09-16,4.8
2013-09-17,4.65
2013-09-18,4.65
2013-09-19,4.65
2013-09-20,4.5
2013-09-23,4.45
2013-09-24,4.65
2013-09-25,4.55
2013-09-26,4.65
2013-09-27,5.05
2013-09-30,4.95
2013-10-01,4.7
2013-10-03,4.85
2013-10-04,4.85
2013-10-07,5.1
2013-10-08,5.05
2013-10-09,5.0
2013-10-10,5.0
2013-10-11,5.05
2013-10-14,5.05
2013-10-15,5.55
2013-10-17,6.1
2013-10-18,6.3
2013-10-21,6.0
2013-10-22,6.05
2013-10-23,5.9
2013-10-24,6.0
2013-11-29,5.35
2013-12-02,5.25
2013-12-03,5.1
2013-12-04,5.25
2013-12-05,5.5
2013-12-06,5.75
2013-12-09,6.0
2013-12-10,5.7
2013-12-11,5.65
2013-12-12,5.45
2013-12-13,5.4
2013-12-16,5.5
2013-12-17,5.45
2013-12-18,5.45
2013-12-19,5.35
2013-12-20,5.45
