Date,WELCORP
2013-01-01,106.1
2013-01-02,105.15
2013-01-03,104.8
2013-01-04,106.5
2013-01-07,108.7
2013-01-08,107.85
2013-01-09,106.8
2013-01-10,104.65
2013-01-11,103.65
2013-01-14,105.6
2013-01-15,104.7
2013-01-16,101.55
2013-01-17,99.95
2013-01-18,99.35
2013-01-21,100.9
2013-01-22,99.0
2013-01-23,98.7
2013-01-24,97.6
2013-01-25,97.45
2013-01-28,97.25
2013-01-29,95.15
2013-01-30,93.75
2013-01-31,100.5
2013-02-01,98.15
2013-02-04,97.8
2013-02-05,95.4
2013-02-06,94.15
2013-02-07,94.95
2013-02-08,93.55
2013-02-11,92.85
2013-02-12,92.95
2013-02-13,91.7
2013-02-14,87.05
2013-02-15,90.75
2013-02-18,90.7
2013-02-19,91.5
2013-02-20,87.25
2013-02-21,85.75
2013-02-22,83.95
2013-02-25,66.8
2013-02-26,62.0
2013-02-27,58.1
2013-02-28,58.35
2013-03-01,58.85
2013-03-04,55.85
2013-03-05,58.2
2013-03-06,60.05
2013-03-07,59.0
2013-03-08,59.4
2013-03-11,59.1
2013-03-12,57.8
2013-03-13,51.9
2013-03-14,52.75
2013-03-15,52.55
2013-03-18,52.0
2013-03-19,51.55
2013-03-20,48.95
2013-03-21,47.6
2013-03-22,49.8
2013-03-25,49.75
2013-03-26,49.7
2013-03-28,50.35
2013-04-01,55.4
2013-04-02,55.85
2013-04-03,57.6
2013-04-04,55.45
2013-04-05,56.3
2013-04-08,56.0
2013-04-09,55.4
2013-04-10,54.8
2013-04-11,51.25
2013-04-12,49.75
2013-04-15,48.05
2013-04-16,48.75
2013-04-17,51.1
2013-04-18,52.05
2013-04-22,53.4
2013-04-23,50.75
2013-04-25,51.0
2013-04-26,54.15
2013-04-29,53.55
2013-04-30,53.1
2013-05-02,50.7
2013-05-03,50.3
2013-05-06,50.15
2013-05-07,50.8
2013-05-08,50.9
2013-05-09,50.9
2013-05-10,51.25
2013-05-11,50.95
2013-05-13,49.55
2013-05-14,49.5
2013-05-15,51.3
2013-05-16,50.8
2013-05-17,50.15
2013-05-20,51.4
2013-05-21,50.1
2013-05-22,49.3
2013-05-23,47.75
2013-05-24,47.5
2013-05-27,48.2
2013-05-28,48.15
2013-05-29,47.75
2013-05-30,49.7
2013-05-31,45.45
2013-06-03,47.8
2013-06-04,47.15
2013-06-05,46.9
2013-06-06,46.6
2013-06-07,46.1
2013-06-10,45.35
2013-06-11,43.55
2013-06-12,43.25
2013-06-13,43.75
2013-06-14,43.7
2013-06-17,44.6
2013-06-18,44.25
2013-06-19,46.4
2013-06-20,48.35
